I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
M,Alonso,CHE,D,0.53,177,31,5.7,2693,86.0,7.0,14.5
V,Kompany,MCI,D,0.53,57,11,5.2,820,74.0,6.0,6.0
N,Aké,BOU,D,0.52,55,12,4.6,834,69.0,5.0,9.6
S,Coleman,EVE,D,0.48,133,26,5.1,2316,89.0,6.5,0.3
M,Sakho,LIV,D,0.48,35,8,4.4,686,85.0,5.0,0.1
R,Bertrand,SOU,D,0.44,123,28,4.4,2507,89.0,5.5,12.4
G,Cahill,CHE,D,0.43,178,37,4.8,3296,89.0,6.5,14.2
K,Gibbs,ARS,D,0.42,45,11,4.1,702,63.0,5.0,0.3
L,Shaw,MUN,D,0.42,45,11,4.1,688,62.0,5.0,0.1
D,Blind,MUN,D,0.42,98,23,4.3,1830,79.0,5.5,1.6
D,Rose,TOT,D,0.42,84,18,4.7,1530,85.0,6.5,0.6
K,Trippier,TOT,D,0.42,51,12,4.3,568,47.0,5.5,17.5
C,Daniels,BOU,D,0.38,134,34,3.9,3060,90.0,5.0,21.7
C,Azpilicueta,CHE,D,0.38,170,38,4.5,3420,90.0,6.5,11.9
P,Jagielka,EVE,D,0.38,104,27,3.9,2251,83.0,5.0,6.8
L,Baines,EVE,D,0.37,135,32,4.2,2819,88.0,6.0,11.4
E,Bailly,MUN,D,0.37,105,25,4.2,2058,82.0,6.0,9.8
A,Valencia,MUN,D,0.35,120,28,4.3,2483,88.0,6.5,7.7
M,Darmian,MUN,D,0.35,70,18,3.9,1333,74.0,5.5,0.4
K,Walker,MCI,D,0.35,142,33,4.3,2701,81.0,6.5,20.7
B,Davies,TOT,D,0.35,90,23,3.9,1739,75.0,5.5,1.9
D,David Luiz,CHE,D,0.33,132,33,4.0,2954,89.0,6.0,22.1
T,Alderweireld,TOT,D,0.33,120,30,4.0,2601,86.0,6.0,14.8
R,Holding,ARS,D,0.32,32,9,3.6,810,90.0,5.0,1.6
G,McAuley,WBA,D,0.32,131,36,3.6,3140,87.0,5.0,5.4
D,Lovren,LIV,D,0.31,106,29,3.7,2553,88.0,5.5,1.6
M,Rojo,MUN,D,0.31,77,21,3.7,1663,79.0,5.5,0.1
M,Muniesa,STK,D,0.31,34,10,3.4,650,65.0,4.5,0.2
C,Martina,EVE,D,0.31,31,9,3.4,592,65.0,4.5,0.9
J,Stephens,SOU,D,0.3,60,17,3.5,1471,86.0,5.0,0.4
A,Mawson,SWA,D,0.3,94,27,3.5,2430,90.0,5.0,1.6
M,Olsson,SWA,D,0.3,52,15,3.5,1252,83.0,5.0,0.3
J,Vertonghen,TOT,D,0.3,126,33,3.8,2894,87.0,6.0,9.8
J,Milner,LIV,D,0.29,139,36,3.9,3154,87.0,6.5,5.4
V,van Dijk,SOU,D,0.29,75,21,3.6,1852,88.0,5.5,3.7
L,Koscielny,ARS,D,0.28,121,33,3.7,2821,85.0,6.0,0.7
M,Yoshida,SOU,D,0.28,78,23,3.4,2070,90.0,5.0,1.4
C,Cédric,SOU,D,0.28,102,30,3.4,2515,83.0,5.0,14.2
W,Reid,WHU,D,0.28,102,30,3.4,2587,86.0,5.0,1.1
H,Bellerín,ARS,D,0.27,119,33,3.6,2503,75.0,6.0,13.8
S,Mustafi,ARS,D,0.27,90,26,3.5,2274,87.0,5.5,3.5
A,Williams,EVE,D,0.27,127,36,3.5,3160,87.0,5.5,5.5
N,Clyne,LIV,D,0.27,129,37,3.5,3323,89.0,5.5,1.8
