I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
J,Robles,EVE,G,0.56,89,20,4.5,1737,86.0,4.5,0.4
T,Heaton,BUR,G,0.46,149,35,4.3,3150,90.0,5.0,11.6
H,Lloris,TOT,G,0.4,143,34,4.2,3004,88.0,5.5,13.1
A,Adrián,WHU,G,0.44,64,16,4.0,1440,90.0,4.5,0.7
T,Courtois,CHE,G,0.35,141,36,3.9,3240,90.0,5.5,18.2
S,Mignolet,LIV,G,0.38,110,28,3.9,2520,90.0,5.0,1.7
D,de Gea,MUN,G,0.35,136,35,3.9,3150,90.0,5.5,29.1
E,Jakupovic,LEI,G,0.42,86,22,3.9,1980,90.0,4.5,0.3
P,Cech,ARS,G,0.33,134,35,3.8,3097,88.0,5.5,5.4
W,Caballero,CHE,G,0.36,64,17,3.8,1452,85.0,5.0,0.2
L,Grant,STK,G,0.4,106,28,3.8,2520,90.0,4.5,0.9
~,~~~~~~~~,~~~~,~,~~~~,~~,~,3.63,~~~,~~~~~,~~~~~,~
M,Stekelenburg,EVE,G,0.36,68,19,3.6,1683,88.0,4.5,0.7
K,Schmeichel,LEI,G,0.32,109,30,3.6,2666,88.0,5.0,2.5
J,Pickford,EVE,G,0.3,102,29,3.5,2610,90.0,5.0,11.7
F,Forster,SOU,G,0.3,134,38,3.5,3420,90.0,5.0,6.6
A,Boruc,BOU,G,0.31,120,35,3.4,3150,90.0,4.5,5.8
C,Bravo,MCI,G,0.26,73,22,3.3,1968,89.0,5.0,0.9
W,Hennessey,CRY,G,0.27,92,29,3.2,2610,90.0,4.5,1.8
L,Karius,LIV,G,0.24,32,10,3.2,900,90.0,5.0,0.2
L,Fabianski,SWA,G,0.24,116,37,3.1,3330,90.0,4.5,4.8
D,Randolph,WHU,G,0.24,69,22,3.1,1980,90.0,4.5,0.1
H,Gomes,WAT,G,0.22,113,38,3.0,3337,87.0,4.5,1.9
B,Foster,WBA,G,0.22,113,38,3.0,3420,90.0,4.5,16.4
