O,I,web_name    ,team,T,VA/M ,pt,g ,p/g,min,min/g,price,%   
 ,B,Davies      ,TOT ,D,0.78 ,52,8 ,6.5,620,77.0 ,5.8  ,19.2
 ,K,Trippier    ,TOT ,D,0.7  ,48,8 ,6.0,633,79.0 ,5.7  ,9.1 
 ,S,Ward        ,BUR ,D,0.63 ,56,11,5.1,980,89.0 ,4.9  ,19.1
x,P,Jones       ,MUN ,D,0.62 ,59,11,5.4,893,81.0 ,5.5  ,14.6
 ,E,Bailly      ,MUN ,D,0.62 ,46,8 ,5.8,720,90.0 ,6.1  ,10.6
 ,M,Yoshida     ,SOU ,D,0.61 ,46,9 ,5.1,810,90.0 ,5.1  ,4.9 
 ,C,Azpilicueta ,CHE ,D,0.6  ,67,11,6.1,990,90.0 ,6.8  ,18.9
 ,S,Kolasinac   ,ARS ,D,0.53 ,52,10,5.2,862,86.0 ,6.0  ,10.9
x,N,Otamendi    ,MCI ,D,0.53 ,56,11,5.1,970,88.0 ,5.9  ,16.1
 ,A,Valencia    ,MUN ,D,0.52 ,61,11,5.5,990,90.0 ,6.7  ,15.2
 ,M,Lowton      ,BUR ,D,0.47 ,45,11,4.1,990,90.0 ,4.5  ,2.9 
 ,J,Fonte       ,WHU ,D,0.47 ,34,8 ,4.3,688,86.0 ,4.9  ,1.6 
 ,N,Monreal     ,ARS ,D,0.46 ,51,11,4.6,990,90.0 ,5.6  ,10.5
 ,B,Mee         ,BUR ,D,0.46 ,45,11,4.1,990,90.0 ,4.6  ,9.7 
 ,H,Maguire     ,LEI ,D,0.45 ,47,11,4.3,990,90.0 ,5.1  ,7.6 
 ,J,Gomez       ,LIV ,D,0.43 ,36,9 ,4.0,721,80.0 ,4.6  ,4.5 
x,J,Lascelles   ,NEW ,D,0.42 ,44,11,4.0,947,86.0 ,4.8  ,11.2
 ,K,Walker      ,MCI ,D,0.42 ,48,10,4.8,853,85.0 ,6.6  ,14.5
 ,J,Vertonghen  ,TOT ,D,0.42 ,49,11,4.5,990,90.0 ,6.0  ,8.9 
 ,C,Clark       ,NEW ,D,0.4  ,30,8 ,3.8,665,83.0 ,4.5  ,2.3 
 ,D,Sánchez     ,TOT ,D,0.38 ,34,8 ,4.3,631,78.0 ,6.0  ,0.5 
 ,M,Zanka       ,HUD ,D,0.37 ,41,11,3.7,990,90.0 ,4.6  ,7.5 
 ,J,Stones      ,MCI ,D,0.37 ,45,11,4.1,854,77.0 ,5.7  ,10.5
 ,S,Duffy       ,BHA ,D,0.36 ,40,11,3.6,972,88.0 ,4.5  ,2.5 
 ,M,Olsson      ,SWA ,D,0.36 ,34,9 ,3.8,806,89.0 ,5.0  ,0.3 
 ,C,Fuchs       ,LEI ,D,0.35 ,33,9 ,3.7,810,90.0 ,4.9  ,2.7 
 ,J,Tarkowski   ,BUR ,D,0.33 ,38,11,3.5,990,90.0 ,4.5  ,0.6 
x,K,Naughton    ,SWA ,D,0.33 ,39,11,3.5,987,89.0 ,4.6  ,5.5 
 ,M,Alonso      ,CHE ,D,0.32 ,46,11,4.2,935,85.0 ,6.9  ,14.0
 ,A,Mawson      ,SWA ,D,0.32 ,40,11,3.6,990,90.0 ,5.0  ,1.3 
 ,B,Bruno       ,BHA ,D,0.31 ,34,10,3.4,826,82.0 ,4.5  ,0.5 
 ,C,Löwe        ,HUD ,D,0.31 ,37,11,3.4,771,70.0 ,4.5  ,3.9 
 ,F,Kiko Femenía,WAT ,D,0.31 ,34,10,3.4,853,85.0 ,4.5  ,4.7 
 ,T,Alderweireld,TOT ,D,0.3  ,38,10,3.8,900,90.0 ,6.0  ,8.6 
 ,A,Hegazi      ,WBA ,D,0.3  ,37,11,3.4,956,86.0 ,4.6  ,20.3
x,C,Daniels     ,BOU ,D,0.29 ,37,11,3.4,990,90.0 ,4.8  ,9.7 
 ,J,Matip       ,LIV ,D,0.29 ,40,11,3.6,990,90.0 ,5.5  ,3.2 
 ,F,Fernández   ,SWA ,D,0.29 ,36,11,3.3,990,90.0 ,4.5  ,3.2 
 ,D,David Luiz  ,CHE ,D,0.27 ,29,8 ,3.6,716,89.0 ,5.9  ,12.5
 ,A,Moreno      ,LIV ,D,0.27 ,29,9 ,3.2,810,90.0 ,4.5  ,3.9 
 ,H,Bellerín    ,ARS ,D,0.25 ,38,11,3.5,990,90.0 ,5.9  ,9.6 
 ,J,Manquillo   ,NEW ,D,0.25 ,28,9 ,3.1,810,90.0 ,4.4  ,1.4 
 ,R,Bertrand    ,SOU ,D,0.24 ,36,11,3.3,985,89.0 ,5.4  ,9.2 
~,~,~~~~~~~~    ,~~~~,~,0.24 ,~~,~ ,~~~,~~~,~~~~~,~~~~~,~   
 ,A,Rüdiger     ,CHE ,D,0.22 ,30,9 ,3.3,744,82.0 ,5.9  ,1.9 
 ,C,Cédric      ,SOU ,D,0.22 ,34,11,3.1,982,89.0 ,4.9  ,7.8 
 ,A,Nyom        ,WBA ,D,0.22 ,28,9 ,3.1,676,75.0 ,5.0  ,1.7 
 ,R,Shawcross   ,STK ,D,0.21 ,18,6 ,3.0,540,90.0 ,4.8  ,0.8 
 ,C,Schindler   ,HUD ,D,0.2  ,32,11,2.9,956,86.0 ,4.6  ,3.5 
 ,C,Dawson      ,WBA ,D,0.2  ,27,9 ,3.0,810,90.0 ,4.9  ,1.8 
 ,A,Cresswell   ,WHU ,D,0.2  ,30,10,3.0,774,77.0 ,5.0  ,1.0 
 ,M,Suttner     ,BHA ,D,0.2  ,20,7 ,2.9,630,90.0 ,4.4  ,0.5 
 ,J,Holebas     ,WAT ,D,0.18 ,29,10,2.9,900,90.0 ,5.0  ,0.7 
 ,L,Dunk        ,BHA ,D,0.16 ,30,11,2.7,990,90.0 ,4.4  ,2.0 
 ,W,Reid        ,WHU ,D,0.16 ,22,8 ,2.8,720,90.0 ,4.9  ,0.8 
 ,L,Koscielny   ,ARS ,D,0.15 ,23,8 ,2.9,714,89.0 ,6.0  ,0.9 
 ,N,Aké         ,BOU ,D,0.14 ,30,11,2.7,982,89.0 ,4.9  ,3.8 
 ,D,Yedlin      ,NEW ,D,0.14 ,18,7 ,2.6,630,90.0 ,4.4  ,0.6 
 ,S,Steve Cook  ,BOU ,D,0.13 ,23,9 ,2.6,669,74.0 ,4.8  ,0.8 
 ,D,Simpson     ,LEI ,D,0.11 ,28,11,2.5,973,88.0 ,4.5  ,3.9 
 ,C,Kabasele    ,WAT ,D,0.11 ,25,10,2.5,806,80.0 ,4.5  ,0.2 
 ,P,Zabaleta    ,WHU ,D,0.1  ,25,10,2.5,871,87.0 ,4.9  ,1.8 
 ,S,Francis     ,BOU ,D,0.09 ,22,9 ,2.4,754,83.0 ,4.4  ,1.3 
 ,L,Baines      ,EVE ,D,0.09 ,28,11,2.5,983,89.0 ,5.8  ,5.1 
 ,W,Morgan      ,LEI ,D,0.09 ,26,11,2.4,990,90.0 ,4.5  ,2.7 
 ,T,Smith       ,HUD ,D,0.08 ,24,10,2.4,844,84.0 ,4.9  ,0.3 
 ,K,Zouma       ,STK ,D,0.07 ,24,10,2.4,900,90.0 ,5.5  ,2.3 
 ,J,Evans       ,WBA ,D,0.06 ,18,8 ,2.3,661,82.0 ,4.9  ,0.8 
 ,K,Gibbs       ,WBA ,D,0.0  ,16,8 ,2.0,657,82.0 ,5.0  ,0.4 
 ,M,Britos      ,WAT ,D,0.0  ,14,7 ,2.0,563,80.0 ,4.5  ,1.0 
 ,M,Keane       ,EVE ,D,-0.02,17,9 ,1.9,810,90.0 ,5.3  ,5.9 
 ,G,Cameron     ,STK ,D,-0.02,13,7 ,1.9,563,80.0 ,4.4  ,0.3 
 ,P,Jagielka    ,EVE ,D,-0.04,14,8 ,1.8,712,89.0 ,4.9  ,3.2 
 ,E,Pieters     ,STK ,D,-0.04,20,11,1.8,988,89.0 ,4.9  ,0.6 
 ,K,Wimmer      ,STK ,D,-0.05,11,6 ,1.8,495,82.0 ,4.4  ,0.4 
 ,A,Williams    ,EVE ,D,-0.08,14,9 ,1.6,690,76.0 ,5.2  ,2.2 
 ,A,Adam Smith  ,BOU ,D,-0.1 ,17,11,1.5,819,74.0 ,4.8  ,0.5 
 ,T,Fosu-Mensah ,CRY ,D,-0.16,12,9 ,1.3,701,77.0 ,4.5  ,1.0 
 ,S,Dann        ,CRY ,D,-0.17,12,10,1.2,900,90.0 ,4.7  ,0.5 
 ,J,Schlupp     ,CRY ,D,-0.17,11,9 ,1.2,687,76.0 ,4.7  ,0.2 
 ,J,Ward        ,CRY ,D,-0.21,10,10,1.0,854,85.0 ,4.8  ,0.2 
 ,P,van Aanholt ,CRY ,D,-0.22,7 ,8 ,0.9,588,73.0 ,5.1  ,1.0 
 ,A,Ogbonna     ,WHU ,D,-0.34,3 ,6 ,0.5,540,90.0 ,4.4  ,0.7 
