O,I,web_name     ,team,T,VA/M ,pt,g ,p/g ,min,min/g,price,%   
 ,S,Agüero       ,MCI ,F,0.54 ,67,8 ,8.4 ,602,75.0 ,11.8 ,22.3
x,H,Kane         ,TOT ,F,0.35 ,65,10,6.5 ,865,86.0 ,12.8 ,38.6
x,Á,Morata       ,CHE ,F,0.42 ,63,10,6.3 ,716,71.0 ,10.3 ,21.0
 ,R,Lukaku       ,MUN ,F,0.33 ,64,11,5.8 ,990,90.0 ,11.5 ,48.0
 ,G,Jesus        ,MCI ,F,0.32 ,54,10,5.4 ,598,59.0 ,10.5 ,15.7
x,J,Vardy        ,LEI ,F,0.31 ,52,11,4.7 ,965,87.0 ,8.6  ,14.5
 ,T,Abraham      ,SWA ,F,0.41 ,48,11,4.4 ,895,81.0 ,5.9  ,17.9
 ,R,Firmino      ,LIV ,F,0.27 ,47,11,4.3 ,784,71.0 ,8.5  ,18.7
 ,A,Lacazette    ,ARS ,F,0.21 ,46,11,4.2 ,744,67.0 ,10.3 ,10.6
 ,M,Rashford     ,MUN ,F,0.28 ,45,11,4.1 ,697,63.0 ,7.6  ,8.5 
 ,M,Diouf        ,STK ,F,0.38 ,41,10,4.1 ,895,89.0 ,5.5  ,4.5 
 ,C,Wood         ,BUR ,F,0.29 ,31,8 ,3.9 ,562,70.0 ,6.5  ,1.4 
 ,W,Rooney       ,EVE ,F,0.25 ,42,11,3.8 ,823,74.0 ,7.3  ,9.6 
~,~,~~~~~~~~     ,~~~~,~,~~~~ ,~~,~ ,3.78,~~~,~~~~~,~~~~~,~   
 ,S,Okazaki      ,LEI ,F,0.3  ,33,9 ,3.7 ,506,56.0 ,5.6  ,4.8 
 ,J,Chicharito   ,WHU ,F,0.25 ,41,11,3.7 ,900,81.0 ,6.9  ,11.8
 ,L,Depoitre     ,HUD ,F,0.31 ,29,8 ,3.6 ,616,77.0 ,5.2  ,0.6 
 ,M,Gabbiadini   ,SOU ,F,0.17 ,34,11,3.1 ,660,60.0 ,6.6  ,2.8 
 ,J,Ayew         ,SWA ,F,0.18 ,32,11,2.9 ,968,88.0 ,5.1  ,4.1 
 ,J,Joselu       ,NEW ,F,0.15 ,28,10,2.8 ,713,71.0 ,5.5  ,1.0 
 ,D,Calvert-Lewin,EVE ,F,0.14 ,30,11,2.7 ,723,65.0 ,5.0  ,2.2 
 ,J,King         ,BOU ,F,0.09 ,23,9 ,2.6 ,798,88.0 ,7.0  ,1.3 
 ,A,Gray         ,WAT ,F,0.1  ,29,11,2.6 ,640,58.0 ,6.3  ,1.3 
 ,A,Pérez        ,NEW ,F,0.11 ,29,11,2.6 ,838,76.0 ,5.4  ,1.1 
 ,J,Rodriguez    ,WBA ,F,0.09 ,28,11,2.5 ,977,88.0 ,5.6  ,0.8 
 ,J,Defoe        ,BOU ,F,0.0  ,20,10,2.0 ,505,50.0 ,7.6  ,1.7 
 ,S,Long         ,SOU ,F,-0.02,19,10,1.9 ,500,50.0 ,5.8  ,0.4 
 ,S,Rondón       ,WBA ,F,-0.05,17,10,1.7 ,518,51.0 ,6.0  ,0.5 
 ,C,Benteke      ,CRY ,F,-0.07,9 ,6 ,1.5 ,521,86.0 ,7.6  ,2.0 
