O,I,web_name  ,team,T,VA/M,pt,g ,p/g,min,min/g,price,%   
 ,N,Pope      ,BUR ,G,0.78,45,8 ,5.6,684,85.0 ,4.6  ,2.5 
 ,D,de Gea    ,MUN ,G,0.68,65,11,5.9,990,90.0 ,5.7  ,41.2
 ,J,Lössl     ,HUD ,G,0.67,56,11,5.1,990,90.0 ,4.6  ,9.6 
 ,F,Forster   ,SOU ,G,0.51,51,11,4.6,990,90.0 ,5.1  ,9.1 
x,L,Fabianski ,SWA ,G,0.46,45,11,4.1,990,90.0 ,4.6  ,8.1 
 ,K,Schmeichel,LEI ,G,0.44,46,11,4.2,990,90.0 ,5.0  ,4.3 
 ,T,Courtois  ,CHE ,G,0.43,47,11,4.3,990,90.0 ,5.4  ,12.7
 ,M,Ryan      ,BHA ,G,0.38,41,11,3.7,990,90.0 ,4.5  ,0.9 
x,R,Elliot    ,NEW ,G,0.38,40,11,3.6,990,90.0 ,4.2  ,26.6
 ,H,Lloris    ,TOT ,G,0.38,41,10,4.1,900,90.0 ,5.5  ,9.7 
~,~,~~~~~~~~  ,~~~~,~,0.37,~~,~ ,~~~,~~~,~~~~~,~~~~~,~   
 ,E,Ederson   ,MCI ,G,0.33,42,11,3.8,945,85.0 ,5.5  ,4.8 
 ,P,Cech      ,ARS ,G,0.3 ,40,11,3.6,990,90.0 ,5.4  ,5.2 
 ,J,Hart      ,WHU ,G,0.3 ,36,11,3.3,990,90.0 ,4.4  ,8.6 
 ,A,Begovic   ,BOU ,G,0.29,36,11,3.3,990,90.0 ,4.5  ,3.9 
 ,S,Mignolet  ,LIV ,G,0.27,33,10,3.3,900,90.0 ,4.9  ,1.5 
 ,B,Foster    ,WBA ,G,0.24,31,10,3.1,900,90.0 ,4.5  ,12.2
 ,H,Gomes     ,WAT ,G,0.18,31,11,2.8,958,87.0 ,4.5  ,2.1 
 ,W,Hennessey ,CRY ,G,0.16,19,7 ,2.7,630,90.0 ,4.4  ,1.0 
 ,J,Butland   ,STK ,G,0.14,30,11,2.7,990,90.0 ,5.0  ,3.0 
 ,J,Pickford  ,EVE ,G,0.1 ,27,11,2.5,990,90.0 ,4.9  ,6.4 
