O,I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
,S,Agüero,MCI,F,0.55,67,8,8.4,602,75,11.7,20.2
x,Á,Morata,CHE,F,0.43,72,11,6.5,806,73,10.5,24.3
,T,Abraham,SWA,F,0.37,50,12,4.2,976,81,6.0,16.1
,M,Diouf,STK,F,0.35,43,11,3.9,985,90,5.5,4.7
,G,Jesus,MCI,F,0.34,62,11,5.6,688,63,10.5,15.6
,R,Lukaku,MUN,F,0.33,70,12,5.8,1080,90,11.5,48.0
x,H,Kane,TOT,F,0.31,66,11,6.0,939,85,12.8,37.9
,C,Wood,BUR,F,0.3,31,8,3.9,562,70,6.4,1.3
x,J,Vardy,LEI,F,0.29,54,12,4.5,1055,88,8.5,13.8
,M,Rashford,MUN,F,0.29,50,12,4.2,787,66,7.6,9.1
,L,Depoitre,HUD,F,0.27,31,9,3.4,706,78,5.2,0.5
,R,Firmino,LIV,F,0.27,52,12,4.3,874,73,8.5,18.2
,G,Murray,BHA,F,0.26,35,10,3.5,561,56,5.8,3.1
,W,Rooney,EVE,F,0.25,42,11,3.8,823,75,7.3,9.0
,J,Chicharito,WHU,F,0.25,41,11,3.7,900,82,6.8,9.5
~,~,~~~~~~~~,~~~~,~,0.23,~~,~,~~~,~~~,~~~~~,~~~~~,~
,A,Lacazette,ARS,F,0.22,51,12,4.3,816,68,10.3,10.4
,J,Ayew,SWA,F,0.16,33,12,2.8,1013,84,5.1,3.9
,M,Gabbiadini,SOU,F,0.14,35,12,2.9,671,56,6.6,2.6
,A,Gray,WAT,F,0.13,34,12,2.8,730,61,6.3,1.5
,J,Joselu,NEW,F,0.13,30,11,2.7,784,71,5.5,0.9
,D,Calvert-Lewin,EVE,F,0.12,31,12,2.6,768,64,5.0,2.2
,J,King,BOU,F,0.11,28,10,2.8,883,88,7.0,1.3
,A,Pérez,NEW,F,0.11,29,11,2.6,838,76,5.4,1.0
,J,Rodriguez,WBA,F,0.09,30,12,2.5,1046,87,5.6,0.8
,S,Long,SOU,F,-0.02,21,11,1.9,578,53,5.7,0.4
,S,Rondón,WBA,F,-0.07,18,11,1.6,608,55,6.0,0.5
