O,I,web_name,team,T,VA/M,pt,g,p/g,min,m/g,price,%,net_trans,1130 23
,N,Pope,BUR,G,2.91,57,11,5.2,954,87,4.6,4.1,9175,
x,L,Fabianski,SWA,G,2.18,62,14,4.4,1260,90,4.6,8.0,9038,
,J,Lössl,HUD,G,1.91,58,14,4.1,1260,90,4.6,9.6,-4753,
,M,Ryan,BHA,G,1.9,55,14,3.9,1260,90,4.5,1.0,2513,
x,R,Elliot,NEW,G,1.71,42,13,3.2,1170,90,4.2,26.2,-12946,
,W,Hennessey,CRY,G,1.63,30,9,3.3,810,90,4.3,1.0,4914,
,A,Begovic,BOU,G,1.6,51,14,3.6,1260,90,4.5,4.7,4287,
,F,Forster,SOU,G,1.53,60,14,4.3,1260,90,5.0,8.1,-3030,
,D,de Gea,MUN,G,1.48,75,14,5.4,1260,90,5.8,41.8,-16143,
~,~,~~~~~~~~,~~~~,~,1.39,~~,~,~~~,~~~,~~~,~~~~~,~,~~~~~~~~~,~~~~~~~
,J,Hart,WHU,G,1.33,45,14,3.2,1260,90,4.4,7.9,-14918,
,H,Gomes,WAT,G,1.3,46,14,3.3,1228,88,4.5,2.2,372,
,T,Courtois,CHE,G,1.26,62,14,4.4,1260,90,5.4,13.7,28044,
,P,Cech,ARS,G,1.21,60,14,4.3,1260,90,5.4,5.3,-740,
,K,Schmeichel,LEI,G,1.13,52,14,3.7,1260,90,5.0,4.2,1054,
,S,Mignolet,LIV,G,1.07,46,13,3.5,1170,90,4.9,1.6,1542,
,B,Foster,WBA,G,0.89,36,13,2.8,1170,90,4.4,11.1,-4130,
,E,Ederson,MCI,G,0.85,52,14,3.7,1215,87,5.5,5.1,1665,
,J,Pickford,EVE,G,0.77,42,14,3.0,1260,90,4.8,5.9,3667,
,H,Lloris,TOT,G,0.75,46,13,3.5,1170,90,5.5,9.2,-6183,
,J,Butland,STK,G,0.47,30,11,2.7,990,90,5.0,2.4,-3515,
