O,I,web_name        ,team,T,VA/M ,pt ,g ,p/g,min ,m/g,price,%   ,net_trans,1207 14
x,E,Hazard          ,CHE ,M,0.34 ,68 ,12,5.7,717 ,60 ,10.8 ,13.0,159827   ,       
x,P,Coutinho        ,LIV ,M,0.66 ,63 ,8 ,7.9,660 ,82 ,8.9  ,8.2 ,159335   ,       
x,Á,Morata          ,CHE ,F,0.36 ,83 ,14,5.9,1076,77 ,10.8 ,35.8,121061   ,       
 ,R,Firmino         ,LIV ,F,0.33 ,67 ,14,4.8,1051,75 ,8.5  ,18.8,112296   ,       
 ,A,Ramsey          ,ARS ,M,0.5  ,79 ,14,5.6,1106,79 ,7.2  ,9.0 ,108008   ,       
 ,D,Calvert-Lewin   ,EVE ,F,0.25 ,50 ,15,3.3,1038,69 ,5.2  ,5.3 ,100818   ,       
x,M,Salah           ,LIV ,M,0.56 ,113,15,7.5,1120,75 ,9.9  ,54.2,63694    ,       
 ,A,Young           ,MUN ,M,0.5  ,50 ,11,4.5,977 ,89 ,5.0  ,4.6 ,39439    ,       
 ,M,Sakho           ,CRY ,D,0.47 ,39 ,9 ,4.3,810 ,90 ,4.9  ,1.6 ,38539    ,       
 ,S,Kolasinac       ,ARS ,D,0.53 ,74 ,14,5.3,1207,86 ,6.2  ,15.3,38161    ,       
 ,A,Lacazette       ,ARS ,F,0.22 ,64 ,15,4.3,1029,69 ,10.3 ,8.7 ,33863    ,       
 ,X,Shaqiri         ,STK ,M,0.48 ,69 ,14,4.9,1169,84 ,6.1  ,8.6 ,32965    ,       
 ,H,Maguire         ,LEI ,D,0.37 ,59 ,15,3.9,1350,90 ,5.2  ,8.4 ,32338    ,       
 ,C,Kabasele        ,WAT ,D,0.27 ,45 ,14,3.2,1139,81 ,4.5  ,1.0 ,28879    ,       
 ,A,Valencia        ,MUN ,D,0.49 ,80 ,15,5.3,1350,90 ,6.8  ,15.9,22814    ,       
x,N,Otamendi        ,MCI ,D,0.49 ,69 ,14,4.9,1240,89 ,5.9  ,18.1,21404    ,       
