O,I,web_name  ,team,T,VA/M ,pt,g ,p/g,min ,m/g,price,%   ,net_trans,1207 14
 ,N,Pope      ,BUR ,G,0.62 ,59,12,4.9,1044,87 ,4.7  ,4.4 ,5287     ,       
 ,D,de Gea    ,MUN ,G,0.6  ,83,15,5.5,1350,90 ,5.8  ,41.9,17300    ,       
x,L,Fabianski ,SWA ,G,0.48 ,63,15,4.2,1350,90 ,4.6  ,8.3 ,7512     ,       
 ,F,Forster   ,SOU ,G,0.44 ,63,15,4.2,1350,90 ,5.0  ,7.9 ,-8135    ,       
 ,T,Courtois  ,CHE ,G,0.42 ,64,15,4.3,1350,90 ,5.5  ,14.3,1372     ,       
 ,K,Schmeichel,LEI ,G,0.42 ,62,15,4.1,1350,90 ,5.0  ,4.4 ,7263     ,       
 ,J,Lössl     ,HUD ,G,0.41 ,59,15,3.9,1350,90 ,4.6  ,9.3 ,-7625    ,       
 ,P,Cech      ,ARS ,G,0.39 ,61,15,4.1,1350,90 ,5.4  ,5.2 ,250      ,       
 ,M,Ryan      ,BHA ,G,0.38 ,55,15,3.7,1350,90 ,4.5  ,1.0 ,1861     ,       
 ,J,Speroni   ,CRY ,G,0.38 ,21,6 ,3.5,540 ,90 ,4.0  ,4.4 ,20859    ,       
 ,A,Begovic   ,BOU ,G,0.33 ,53,15,3.5,1350,90 ,4.5  ,4.8 ,987      ,       
~,~,~~~~~~~~  ,~~~~,~,0.32 ,~~,~ ,~~~,~~~ ,~~~,~~~~~,~   ,~~~~~~~~~,~~~~~~~
 ,E,Ederson   ,MCI ,G,0.31 ,55,15,3.7,1305,87 ,5.5  ,5.1 ,-6967    ,       
 ,W,Hennessey ,CRY ,G,0.3  ,30,9 ,3.3,810 ,90 ,4.3  ,1.1 ,-2028    ,       
 ,J,Pickford  ,EVE ,G,0.29 ,51,15,3.4,1350,90 ,4.8  ,6.1 ,1825     ,       
 ,S,Mignolet  ,LIV ,G,0.29 ,48,14,3.4,1260,90 ,4.9  ,1.6 ,-171     ,       
x,R,Elliot    ,NEW ,G,0.29 ,42,13,3.2,1170,90 ,4.2  ,25.4,-24888   ,       
 ,H,Gomes     ,WAT ,G,0.27 ,48,15,3.2,1318,88 ,4.5  ,2.3 ,2939     ,       
 ,J,Hart      ,WHU ,G,0.27 ,45,14,3.2,1260,90 ,4.4  ,7.4 ,-7232    ,       
 ,H,Lloris    ,TOT ,G,0.25 ,48,14,3.4,1260,90 ,5.5  ,9.0 ,-5293    ,       
 ,B,Foster    ,WBA ,G,0.23 ,42,14,3.0,1260,90 ,4.4  ,11.0,-2261    ,       
 ,J,Butland   ,STK ,G,0.16 ,33,12,2.8,1080,90 ,5.0  ,2.3 ,-1059    ,       
 ,T,Heaton    ,BUR ,G,0.0  ,8 ,4 ,2.0,305 ,76 ,4.8  ,1.9 ,-2231    ,       
 ,L,Grant     ,STK ,G,-0.07,5 ,3 ,1.7,270 ,90 ,4.3  ,0.3 ,-1120    ,       
