O,I,web_name,team,T,VA/M,pt,g,p/g,min,m/g,price,%,net_trans,1207 14
x,P,Coutinho,LIV,M,0.66,63,8,7.9,660,82,8.9,8.2,159335,
x,M,Salah,LIV,M,0.56,113,15,7.5,1120,75,9.9,54.2,63694,
,P,Pogba,MUN,M,0.62,56,8,7.0,682,85,8.0,12.7,-216051,
,R,Sterling,MCI,M,0.58,89,13,6.8,936,72,8.3,19.3,19526,
,K,De Bruyne,MCI,M,0.4,91,15,6.1,1287,86,10.2,22.1,-7802,
,L,Sané,MCI,M,0.44,83,14,5.9,942,67,8.8,21.4,-101464,
x,E,Hazard,CHE,M,0.34,68,12,5.7,717,60,10.8,13.0,159827,
,A,Ramsey,ARS,M,0.5,79,14,5.6,1106,79,7.2,9.0,108008,
,S,Mané,LIV,M,0.36,49,9,5.4,600,67,9.4,8.2,-12703,
x,P,Groß,BHA,M,0.53,78,15,5.2,1261,84,6.0,21.3,-9752,
,D,David Silva,MCI,M,0.39,78,15,5.2,1246,83,8.2,15.4,-58852,
,W,Hughes,WAT,M,0.7,26,5,5.2,323,65,4.6,0.8,-5752,
,C,Eriksen,TOT,M,0.33,77,15,5.1,1242,83,9.3,15.3,-21170,
,R,Mahrez,LEI,M,0.36,75,15,5.0,1182,79,8.4,5.0,18667,
,R,Richarlison,WAT,M,0.45,75,15,5.0,1278,85,6.6,20.4,-108,
,X,Shaqiri,STK,M,0.48,69,14,4.9,1169,84,6.1,8.6,32965,
,A,Sánchez,ARS,M,0.24,57,12,4.8,884,74,11.8,2.8,595,
,M,Özil,ARS,M,0.28,55,12,4.6,920,77,9.3,2.2,7430,
,A,Young,MUN,M,0.5,50,11,4.5,977,89,5.0,4.6,39439,
,A,Doucouré,WAT,M,0.46,67,15,4.5,1350,90,5.4,15.9,1736,
,H,Mkhitaryan,MUN,M,0.31,53,12,4.4,804,67,7.7,8.0,-24395,
,B,Alli,TOT,M,0.26,61,14,4.4,1230,88,9.1,13.8,-27949,
,A,Surman,BOU,M,0.44,57,14,4.1,1260,90,4.8,8.6,10125,
,W,Zaha,CRY,M,0.29,36,9,4.0,796,88,6.9,5.1,-6890,
,S,Field,WBA,M,0.44,20,5,4.0,393,79,4.5,0.2,382,
,E,Choupo-Moting,STK,M,0.36,60,15,4.0,1240,83,5.6,5.0,-18064,
,S,Davis,SOU,M,0.37,55,14,3.9,1128,81,5.1,4.3,-9108,
,J,Stanislas,BOU,M,0.31,23,6,3.8,471,78,5.9,0.1,-55,
,M,Ritchie,NEW,M,0.32,57,15,3.8,1310,87,5.7,3.0,-1212,
,C,Brunt,WBA,M,0.35,19,5,3.8,402,80,5.1,0.6,-1476,
,R,Brady,BUR,M,0.31,56,15,3.7,1277,85,5.5,1.6,-17803,
,F,Fernandinho,MCI,M,0.31,54,15,3.6,1234,82,5.2,7.5,-22875,
,J,Hendrick,BUR,M,0.28,42,12,3.5,953,79,5.4,0.3,-34,
,N,Kanté,CHE,M,0.31,42,12,3.5,1066,89,4.9,12.3,-1085,
,J,Mata,MUN,M,0.22,35,10,3.5,634,63,6.8,1.9,-2631,
,C,Atsu,NEW,M,0.29,37,11,3.4,913,83,4.9,1.4,-6170,
,G,Sigurdsson,EVE,M,0.17,47,14,3.4,1119,80,8.0,2.3,6258,
,G,Xhaka,ARS,M,0.23,48,15,3.2,1296,86,5.3,8.8,-12731,
,C,Fàbregas,CHE,M,0.17,45,14,3.2,1046,75,6.9,4.8,-5146,
,A,Mooy,HUD,M,0.22,48,15,3.2,1258,84,5.4,6.1,-10186,
~,~,~~~~~~~~,~~~~,~,~~~~,~~,~,3.12,~~~,~~~,~~~~~,~,~~~~~~~~~,~~~~~~~
x,R,Loftus-Cheek,CRY,M,0.24,34,11,3.1,900,82,4.6,7.8,10338,
,J,Henderson,LIV,M,0.2,40,13,3.1,1080,83,5.5,1.7,-1755,
,D,Tadic,SOU,M,0.17,44,14,3.1,1096,78,6.3,1.8,-1894,
,H,Son,TOT,M,0.14,44,14,3.1,711,51,7.9,1.5,6958,
,T,Cleverley,WAT,M,0.22,46,15,3.1,1320,88,5.0,1.1,191,
,E,Can,LIV,M,0.21,36,12,3.0,905,75,4.8,4.5,5679,
,F,Delph,MCI,M,0.22,30,10,3.0,830,83,4.5,1.0,251,
,M,Phillips,WBA,M,0.18,39,13,3.0,801,62,5.6,0.6,-2146,
,T,Bakayoko,CHE,M,0.2,39,13,3.0,940,72,5.1,2.8,-16414,
,A,Iwobi,ARS,M,0.18,23,8,2.9,474,59,5.1,0.6,-139,
,A,Knockaert,BHA,M,0.16,43,15,2.9,1066,71,5.7,0.8,-1058,
,J,Cork,BUR,M,0.2,43,15,2.9,1350,90,4.6,3.8,568,
,M,Albrighton,LEI,M,0.16,44,15,2.9,1031,69,5.5,1.7,2944,
,V,Iborra,LEI,M,0.16,26,9,2.9,732,81,5.8,0.1,-21,
,J,Jesé,STK,M,0.16,26,9,2.9,482,54,5.5,2.8,-4928,
,G,Wijnaldum,LIV,M,0.12,37,13,2.8,1051,81,6.7,2.4,-1588,
,A,Ayew,WHU,M,0.12,37,13,2.8,705,54,6.9,1.1,-1033,
,C,Kouyaté,WHU,M,0.16,37,13,2.8,1006,77,5.0,0.4,-2390,
,R,Fraser,BOU,M,0.14,19,7,2.7,381,54,5.1,0.3,757,
,J,Gudmundsson,BUR,M,0.14,38,14,2.7,974,70,5.0,0.2,553,
,N,Matic,MUN,M,0.14,41,15,2.7,1313,88,4.9,10.4,-21623,
,W,Ndidi,LEI,M,0.14,40,15,2.7,1350,90,4.9,0.5,455,
,D,Fletcher,STK,M,0.14,40,15,2.7,1323,88,4.9,0.7,-1059,
,M,Antonio,WHU,M,0.09,30,11,2.7,777,71,7.4,0.2,-13,
,D,Pröpper,BHA,M,0.13,41,15,2.7,1350,90,5.4,0.1,-78,
,T,Ince,HUD,M,0.11,36,14,2.6,1251,89,5.6,0.5,-563,
,N,Redmond,SOU,M,0.1,37,14,2.6,1010,72,6.1,2.1,-1802,
,J,Allen,STK,M,0.12,36,14,2.6,1253,90,5.2,1.3,33,
,G,Krychowiak,WBA,M,0.12,26,10,2.6,729,73,5.0,0.3,-856,
,D,Stephens,BHA,M,0.11,38,15,2.5,1350,90,4.5,1.6,-216,
,S,Arfield,BUR,M,0.1,20,8,2.5,555,69,4.9,0.2,-242,
,S,Defour,BUR,M,0.09,38,15,2.5,1235,82,5.4,0.3,-138,
,A,Townsend,CRY,M,0.09,38,15,2.5,1301,87,5.7,0.9,-218,
,S,Boufal,SOU,M,0.09,27,11,2.5,589,54,5.7,0.2,-30,
,T,Carroll,SWA,M,0.11,35,14,2.5,1143,82,4.4,4.8,-10067,
,P,Obiang,WHU,M,0.11,27,11,2.5,824,75,4.4,1.1,-1092,
,M,Lanzini,WHU,M,0.07,25,10,2.5,768,77,6.8,0.6,-604,
,N,Chalobah,WAT,M,0.09,12,5,2.4,429,86,4.3,1.0,-1257,
,Y,Cabaye,CRY,M,0.07,29,12,2.4,952,79,5.4,0.3,-1127,
,E,Kachunga,HUD,M,0.07,33,14,2.4,1057,76,5.8,0.2,-115,
,O,Oriol Romeu,SOU,M,0.09,33,14,2.4,1214,87,4.4,2.7,225,
,H,Arter,BOU,M,0.06,23,10,2.3,787,79,4.9,0.4,-487,
,S,March,BHA,M,0.06,34,15,2.3,845,56,5.0,0.3,-790,
,L,Milivojevic,CRY,M,0.07,32,14,2.3,1099,78,4.6,0.4,-334,
,G,Barry,WBA,M,0.07,32,14,2.3,1125,80,4.5,1.3,-3857,
,A,Lennon,EVE,M,0.06,16,7,2.3,380,54,5.4,0.1,40,
,M,Merino,NEW,M,0.06,28,12,2.3,793,66,5.0,0.1,-110,
,S,Clucas,SWA,M,0.06,23,10,2.3,654,65,4.9,0.0,-78,
,J,McArthur,CRY,M,0.05,24,11,2.2,681,62,4.4,2.4,-916,
,J,Livermore,WBA,M,0.04,31,14,2.2,1150,82,4.9,0.2,-108,
,J,Ibe,BOU,M,0.02,29,14,2.1,731,52,4.9,0.4,-574,
,E,Dier,TOT,M,0.02,32,15,2.1,1246,83,4.8,2.7,-2720,
,M,Dembélé,TOT,M,0.0,20,10,2.0,609,61,4.9,1.6,373,
,M,James,LEI,M,0.0,8,4,2.0,338,84,4.4,0.2,-184,
,M,Lemina,SOU,M,0.0,20,10,2.0,690,69,5.0,0.1,-184,
,A,Carrillo,WAT,M,0.0,26,13,2.0,653,50,5.5,0.0,-36,
,I,Gueye,EVE,M,-0.02,28,15,1.9,1279,85,4.8,0.9,-369,
,R,Sobhi,STK,M,-0.02,19,10,1.9,516,52,4.6,0.4,-586,
,L,Fer,SWA,M,-0.02,26,14,1.9,996,71,5.3,0.2,-209,
,M,Noble,WHU,M,-0.02,15,8,1.9,611,76,5.3,0.1,-218,
,I,Hayden,NEW,M,-0.02,26,14,1.9,911,65,4.5,0.3,-265,
,M,Pugh,BOU,M,-0.04,18,10,1.8,596,60,4.8,0.1,-101,
,J,Hogg,HUD,M,-0.05,16,9,1.8,645,72,4.4,0.4,-671,
,R,van La Parra,HUD,M,-0.06,22,13,1.7,750,58,4.8,0.1,-335,
,P,Billing,HUD,M,-0.07,12,7,1.7,420,60,4.5,0.3,-353,
,R,Sanches,SWA,M,-0.07,15,9,1.7,507,56,4.6,0.5,-1124,
