O,I,web_name     ,team,T,VA/M ,VA/ML,pt,g ,p/g ,p/gl,min ,m/g,price,%   ,txn    ,121213
 ,S,Agüero       ,MCI ,F,0.45 ,0.5  ,79,11,7.2 ,7.8 ,861 ,78 ,11.6 ,16.9,-22857 ,      
x,H,Kane         ,TOT ,F,0.33 ,0.33 ,94,15,6.3 ,6.3 ,1299,87 ,12.9 ,41.1,196485 ,      
x,Á,Morata       ,CHE ,F,0.34 ,0.34 ,85,15,5.7 ,5.7 ,1166,78 ,10.8 ,26.6,-575656,      
 ,R,Lukaku       ,MUN ,F,0.27 ,0.27 ,81,16,5.1 ,5.1 ,1440,90 ,11.3 ,32.4,-34272 ,      
 ,W,Rooney       ,EVE ,F,0.41 ,0.5  ,70,14,5.0 ,5.7 ,1068,76 ,7.4  ,13.1,106306 ,      
 ,G,Jesus        ,MCI ,F,0.29 ,0.39 ,75,15,5.0 ,6.0 ,874 ,58 ,10.3 ,12.6,4198   ,      
x,O,Niasse       ,EVE ,F,0.6  ,1.0  ,40,8 ,5.0 ,7.0 ,422 ,53 ,5.0  ,5.0 ,-16318 ,      
 ,R,Firmino      ,LIV ,F,0.29 ,0.36 ,68,15,4.5 ,5.1 ,1074,72 ,8.5  ,23.0,141829 ,      
 ,J,Vardy        ,LEI ,F,0.28 ,0.28 ,71,16,4.4 ,4.4 ,1411,88 ,8.6  ,16.7,-10204 ,      
 ,A,Lacazette    ,ARS ,F,0.2  ,0.22 ,66,16,4.1 ,4.3 ,1100,69 ,10.3 ,10.0,44907  ,      
 ,M,Rashford     ,MUN ,F,0.24 ,0.26 ,60,16,3.8 ,4.0 ,982 ,61 ,7.6  ,8.4 ,47882  ,      
 ,T,Abraham      ,SWA ,F,0.31 ,0.29 ,57,15,3.8 ,3.7 ,1086,72 ,5.9  ,10.2,-51254 ,      
 ,C,Callum Wilson,BOU ,F,0.29 ,0.64 ,26,7 ,3.7 ,5.8 ,381 ,54 ,5.9  ,3.0 ,-88520 ,      
 ,M,Diouf        ,STK ,F,0.3  ,0.3  ,56,15,3.7 ,3.7 ,1328,89 ,5.6  ,5.4 ,-5228  ,      
 ,J,Chicharito   ,WHU ,F,0.25 ,0.25 ,41,11,3.7 ,3.7 ,900 ,82 ,6.7  ,7.0 ,-5192  ,      
 ,C,Wood         ,BUR ,F,0.27 ,0.31 ,44,12,3.7 ,4.0 ,826 ,69 ,6.4  ,1.8 ,5091   ,      
~,~,~~~~~~~~     ,~~~~,~,~~~~ ,~~~~~,~~,~ ,3.57,~~~~,~~~ ,~~~,~~~~~,~   ,~~~    ,~~~~~~
 ,D,Calvert-Lewin,EVE ,F,0.26 ,0.42 ,55,16,3.4 ,4.2 ,1128,70 ,5.3  ,9.0 ,155233 ,      
 ,S,Mounie       ,HUD ,F,0.25 ,0.58 ,37,11,3.4 ,5.3 ,621 ,56 ,5.7  ,1.0 ,9362   ,      
 ,D,Welbeck      ,ARS ,F,0.18 ,0.38 ,33,10,3.3 ,4.8 ,534 ,53 ,7.3  ,0.8 ,-1187  ,      
 ,G,Murray       ,BHA ,F,0.22 ,0.4  ,46,14,3.3 ,4.3 ,899 ,64 ,5.8  ,3.3 ,-29608 ,      
 ,J,King         ,BOU ,F,0.13 ,0.13 ,40,14,2.9 ,2.9 ,1243,89 ,7.0  ,1.4 ,-6141  ,      
 ,J,Defoe        ,BOU ,F,0.12 ,0.28 ,38,13,2.9 ,4.1 ,678 ,52 ,7.6  ,1.6 ,3482   ,      
 ,J,Joselu       ,NEW ,F,0.16 ,0.2  ,40,14,2.9 ,3.1 ,1011,72 ,5.5  ,0.7 ,1581   ,      
 ,W,Bony         ,SWA ,F,0.16 ,0.42 ,26,9 ,2.9 ,4.4 ,573 ,64 ,5.7  ,0.4 ,7068   ,      
 ,A,Gray         ,WAT ,F,0.13 ,0.29 ,44,16,2.8 ,3.8 ,904 ,56 ,6.3  ,2.2 ,-9197  ,      
 ,L,Depoitre     ,HUD ,F,0.15 ,0.27 ,37,13,2.8 ,3.4 ,907 ,70 ,5.2  ,0.5 ,-3542  ,      
 ,D,Gayle        ,NEW ,F,0.13 ,0.52 ,37,13,2.8 ,5.2 ,645 ,50 ,6.1  ,1.2 ,23065  ,      
 ,J,Ayew         ,SWA ,F,0.1  ,0.14 ,40,16,2.5 ,2.7 ,1285,80 ,5.0  ,3.4 ,-13556 ,      
 ,J,Rodriguez    ,WBA ,F,0.07 ,0.07 ,36,15,2.4 ,2.4 ,1283,86 ,5.6  ,0.7 ,-3748  ,      
 ,A,Pérez        ,NEW ,F,0.04 ,0.13 ,33,15,2.2 ,2.7 ,1021,68 ,5.3  ,0.8 ,-2969  ,      
 ,S,Rondón       ,WBA ,F,0.0  ,0.12 ,30,15,2.0 ,2.7 ,968 ,65 ,6.0  ,0.7 ,-6326  ,      
 ,S,Long         ,SOU ,F,-0.04,0.07 ,23,13,1.8 ,2.4 ,670 ,52 ,5.6  ,0.3 ,-346   ,      
 ,C,Benteke      ,CRY ,F,-0.09,-0.09,14,11,1.3 ,1.3 ,851 ,77 ,7.6  ,2.1 ,-1809  ,      
 ,A,Carroll      ,WHU ,F,-0.17,-0.08,8 ,8 ,1.0 ,1.5 ,539 ,67 ,5.9  ,0.2 ,-565   ,      
