O,I,web_name  ,team,T,VA/M ,VA/ML,pt,g ,p/g,p/gl,min ,m/g,price,%   ,txn   ,121517
 ,L,Karius    ,LIV ,G,0.83 ,0.83 ,12,2 ,6.0,6.0 ,180 ,90 ,4.8  ,0.2 ,32    ,      
x,N,Pope      ,BUR ,G,0.72 ,0.72 ,76,14,5.4,5.4 ,1224,87 ,4.7  ,5.8 ,40286 ,      
 ,A,Adrián    ,WHU ,G,0.7  ,0.7  ,15,3 ,5.0,5.0 ,270 ,90 ,4.3  ,0.7 ,10171 ,      
 ,D,de Gea    ,MUN ,G,0.61 ,0.61 ,96,17,5.6,5.6 ,1530,90 ,5.9  ,43.7,42594 ,      
x,L,Fabianski ,SWA ,G,0.48 ,0.48 ,71,17,4.2,4.2 ,1530,90 ,4.6  ,8.4 ,-4355 ,      
 ,J,Lössl     ,HUD ,G,0.41 ,0.41 ,66,17,3.9,3.9 ,1530,90 ,4.6  ,9.0 ,-8391 ,      
 ,P,Cech      ,ARS ,G,0.39 ,0.39 ,69,17,4.1,4.1 ,1530,90 ,5.4  ,5.2 ,902   ,      
 ,A,Begovic   ,BOU ,G,0.38 ,0.38 ,63,17,3.7,3.7 ,1530,90 ,4.5  ,4.8 ,-3079 ,      
 ,K,Schmeichel,LEI ,G,0.38 ,0.38 ,66,17,3.9,3.9 ,1530,90 ,5.0  ,4.4 ,-973  ,      
 ,F,Forster   ,SOU ,G,0.38 ,0.38 ,67,17,3.9,3.9 ,1530,90 ,5.0  ,7.2 ,-19141,      
 ,T,Courtois  ,CHE ,G,0.36 ,0.36 ,68,17,4.0,4.0 ,1530,90 ,5.5  ,13.7,-18823,      
 ,J,Pickford  ,EVE ,G,0.35 ,0.35 ,63,17,3.7,3.7 ,1530,90 ,4.8  ,6.5 ,12338 ,      
 ,E,Ederson   ,MCI ,G,0.33 ,0.35 ,65,17,3.8,3.9 ,1485,87 ,5.5  ,5.0 ,-3193 ,      
~,~,~~~~~~~~  ,~~~~,~,~~~~ ,0.35 ,~~,~ ,~~~,~~~~,~~~ ,~~~,~~~~~,~   ,~~~   ,~~~~~~
 ,M,Ryan      ,BHA ,G,0.33 ,0.33 ,59,17,3.5,3.5 ,1530,90 ,4.5  ,1.0 ,-151  ,      
 ,B,Foster    ,WBA ,G,0.32 ,0.32 ,54,16,3.4,3.4 ,1440,90 ,4.4  ,10.4,-6274 ,      
 ,H,Lloris    ,TOT ,G,0.31 ,0.31 ,59,16,3.7,3.7 ,1440,90 ,5.5  ,8.7 ,-8738 ,      
 ,W,Hennessey ,CRY ,G,0.3  ,0.3  ,30,9 ,3.3,3.3 ,810 ,90 ,4.3  ,1.0 ,-2030 ,      
 ,R,Elliot    ,NEW ,G,0.29 ,0.29 ,42,13,3.2,3.2 ,1170,90 ,4.1  ,23.8,-22494,      
 ,J,Speroni   ,CRY ,G,0.27 ,0.27 ,25,8 ,3.1,3.1 ,720 ,90 ,4.1  ,5.0 ,2422  ,      
 ,S,Mignolet  ,LIV ,G,0.27 ,0.27 ,50,15,3.3,3.3 ,1350,90 ,4.9  ,1.6 ,-2615 ,      
 ,J,Hart      ,WHU ,G,0.27 ,0.27 ,45,14,3.2,3.2 ,1260,90 ,4.4  ,6.8 ,-10302,      
 ,H,Gomes     ,WAT ,G,0.24 ,0.24 ,52,17,3.1,3.1 ,1498,88 ,4.5  ,2.6 ,2123  ,      
 ,J,Butland   ,STK ,G,0.12 ,0.12 ,37,14,2.6,2.6 ,1260,90 ,5.0  ,2.3 ,-668  ,      
 ,T,Heaton    ,BUR ,G,0.0  ,0.06 ,8 ,4 ,2.0,2.3 ,305 ,76 ,4.8  ,1.8 ,-1694 ,      
 ,K,Darlow    ,NEW ,G,0.07 ,0.05 ,9 ,4 ,2.3,2.2 ,360 ,90 ,4.4  ,0.2 ,-7    ,      
 ,L,Grant     ,STK ,G,-0.07,-0.07,5 ,3 ,1.7,1.7 ,270 ,90 ,4.3  ,0.3 ,-462  ,      
