O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,min,price,%,txn,122123
,K,Long,BUR,D,1.38,1.38,7.5,7.5,180,4.0,4.3,714,
,M,Kelly,CRY,D,0.55,1.07,4.3,6.5,229,4.2,0.2,2909,
,S,Mustafi,ARS,D,0.74,0.89,6.0,6.8,734,5.4,2.1,-6876,
,M,Zeegelaar,WAT,D,0.5,0.86,4.2,5.8,398,4.4,0.7,-5556,
,P,Jones,MUN,D,0.6,0.67,5.3,5.7,1073,5.5,9.6,62092,
,A,Robertson,LIV,D,0.65,0.65,5.0,5.0,540,4.6,1.1,9092,
,B,Davies,TOT,D,0.47,0.64,4.6,5.5,982,5.5,13.9,-21681,
,E,Bailly,MUN,D,0.63,0.63,5.8,5.8,720,6.0,6.5,-13478,
,J,Gomez,LIV,D,0.45,0.55,4.1,4.6,1091,4.7,5.7,11269,
,S,Ward,BUR,D,0.5,0.54,4.5,4.7,1470,5.0,19.4,-134750,
,S,Kolasinac,ARS,D,0.51,0.51,5.1,5.1,1297,6.1,13.7,-100180,
,R,Klavan,LIV,D,0.51,0.51,4.2,4.2,900,4.3,1.6,10579,
,K,Trippier,TOT,D,0.45,0.51,4.5,4.8,1083,5.5,6.4,-14967,
x,N,Otamendi,MCI,D,0.5,0.5,5.1,5.1,1510,6.2,25.6,122895,
,M,Sakho,CRY,D,0.42,0.48,4.0,4.3,834,4.8,0.8,-10029,
,M,Yoshida,SOU,D,0.44,0.48,4.1,4.3,1174,4.8,3.4,12804,
,N,Monreal,ARS,D,0.47,0.47,4.7,4.7,1620,5.8,14.6,15522,
,P,Bardsley,BUR,D,0.47,0.47,4.0,4.0,450,4.3,0.3,4412,
,M,Lowton,BUR,D,0.46,0.46,4.1,4.1,1170,4.6,2.6,-4982,
,C,Azpilicueta,CHE,D,0.46,0.46,5.2,5.2,1530,6.9,21.5,-5926,
,A,Valencia,MUN,D,0.46,0.46,5.2,5.2,1595,6.9,15.9,-86361,
,J,Fonte,WHU,D,0.48,0.46,4.3,4.2,688,4.8,1.0,-1670,
,V,Moses,CHE,D,0.28,0.45,3.8,4.9,781,6.4,1.0,2077,
,D,Lovren,LIV,D,0.3,0.45,3.6,4.4,1025,5.3,1.1,10159,
,J,Stones,MCI,D,0.33,0.44,3.8,4.4,884,5.5,3.4,-6154,
,M,Alonso,CHE,D,0.43,0.43,5.0,5.0,1529,7.0,17.3,89806,
,A,Rüdiger,CHE,D,0.36,0.41,4.1,4.4,1014,5.8,2.0,-5874,
,B,Mee,BUR,D,0.4,0.4,3.9,3.9,1440,4.7,12.5,37397,
x,A,Christensen,CHE,D,0.3,0.39,3.7,4.2,1043,5.6,4.7,38544,
,D,Zappacosta,CHE,D,0.22,0.39,3.3,4.3,542,5.9,0.3,-2335,
,L,Koscielny,ARS,D,0.38,0.38,4.3,4.3,1344,6.0,2.0,10225,
,J,Tarkowski,BUR,D,0.38,0.38,3.8,3.8,1620,4.8,6.3,20441,
,A,Moreno,LIV,D,0.38,0.38,3.7,3.7,1080,4.5,2.5,-20196,
,K,Walker,MCI,D,0.32,0.38,4.1,4.5,1393,6.6,13.6,-1542,
x,J,Lascelles,NEW,D,0.37,0.37,3.7,3.7,1127,4.6,5.5,-4993,
,F,Kiko Femenía,WAT,D,0.31,0.36,3.4,3.6,1214,4.5,3.7,-37799,
,C,Smalling,MUN,D,0.31,0.35,3.7,3.9,1095,5.5,4.7,8473,
,M,van der Hoorn,SWA,D,0.27,0.34,3.2,3.5,729,4.4,0.2,-250,
,S,Aurier,TOT,D,0.27,0.34,3.6,4.0,546,5.9,0.4,339,
,C,Löwe,HUD,D,0.2,0.33,2.9,3.5,1077,4.5,2.6,-11148,
,H,Bellerín,ARS,D,0.32,0.32,3.9,3.9,1620,5.9,9.7,5270,
,G,Cahill,CHE,D,0.16,0.32,3.0,4.0,954,6.2,3.2,129,
,H,Maguire,LEI,D,0.32,0.32,3.7,3.7,1620,5.3,9.3,-28256,
,B,Bruno,BHA,D,0.27,0.31,3.2,3.4,1352,4.5,0.8,7724,
,J,Matip,LIV,D,0.31,0.31,3.7,3.7,1170,5.4,1.9,-4593,
,T,Alderweireld,TOT,D,0.31,0.31,3.8,3.8,900,5.8,5.3,-7794,
,A,Cresswell,WHU,D,0.28,0.3,3.4,3.5,1404,5.0,1.9,56122,
,D,David Luiz,CHE,D,0.28,0.28,3.6,3.6,716,5.8,8.5,-10797,
,J,Milner,LIV,D,0.05,0.28,2.3,3.7,738,6.1,2.3,-2844,
x,K,Naughton,SWA,D,0.28,0.28,3.3,3.3,1617,4.6,6.2,5831,
,C,Clark,NEW,D,0.24,0.27,3.1,3.2,1115,4.5,1.8,-4456,
,S,Duffy,BHA,D,0.26,0.26,3.2,3.2,1602,4.6,2.6,-25507,
,A,Mawson,SWA,D,0.26,0.26,3.3,3.3,1620,5.0,1.2,249,
,M,Olsson,SWA,D,0.26,0.26,3.3,3.3,1436,5.0,0.3,96,
~,~,~~~~~~~~,~~~~,~,~~~~,0.26,~~~,~~~~,~~~,~~~~~,~,~~~,~~~~~~
,S,Steve Cook,BOU,D,0.15,0.25,2.7,3.2,1063,4.8,1.5,-5398,
,A,Williams,EVE,D,0.17,0.25,2.9,3.3,1203,5.2,2.9,198,
,J,Kenny,EVE,D,0.2,0.25,2.9,3.1,914,4.4,3.0,11397,
,C,Daniels,BOU,D,0.24,0.24,3.2,3.2,1585,4.9,9.9,-73296,
,M,Holgate,EVE,D,0.24,0.24,3.0,3.0,810,4.2,1.7,9226,
,C,Schindler,HUD,D,0.24,0.24,3.1,3.1,1496,4.6,3.1,4498,
,M,Zanka,HUD,D,0.24,0.24,3.1,3.1,1620,4.5,7.4,20871,
,C,Fuchs,LEI,D,0.2,0.24,3.0,3.2,1081,4.9,2.2,-5613,
,A,Hegazi,WBA,D,0.24,0.24,3.1,3.1,1586,4.5,18.1,13211,
,M,Suttner,BHA,D,0.23,0.23,3.0,3.0,810,4.3,0.5,-913,
,S,Malone,HUD,D,0.0,0.23,2.0,3.0,494,4.3,0.2,-321,
,C,Martina,EVE,D,0.16,0.23,2.7,3.0,840,4.3,0.5,1882,
,R,Bertrand,SOU,D,0.22,0.22,3.2,3.2,1615,5.4,7.8,-8298,
,J,Vertonghen,TOT,D,0.22,0.22,3.3,3.3,1589,6.0,7.9,-1640,
,A,Nyom,WBA,D,0.18,0.22,2.9,3.1,1216,4.9,1.4,-577,
,C,Dawson,WBA,D,0.21,0.21,3.0,3.0,810,4.8,1.1,-1803,
,C,Kabasele,WAT,D,0.17,0.2,2.8,2.9,1409,4.6,2.6,-5103,
,D,Sánchez,TOT,D,0.17,0.2,3.0,3.2,952,6.0,0.4,294,
,T,Alexander-Arnold,LIV,D,0.19,0.19,2.8,2.8,529,4.2,1.2,-2080,
,J,Stephens,SOU,D,0.18,0.18,2.8,2.8,540,4.5,0.2,126,
,F,Fernández,SWA,D,0.18,0.18,2.8,2.8,1170,4.5,1.8,-2296,
,M,Britos,WAT,D,0.05,0.18,2.2,2.8,704,4.4,0.7,-1355,
,A,Masuaku,WHU,D,0.09,0.18,2.4,2.8,801,4.4,1.3,32847,
,W,Reid,WHU,D,0.17,0.17,2.8,2.8,1156,4.8,0.7,1511,
,G,Bong,BHA,D,0.16,0.16,2.7,2.7,810,4.4,0.1,291,
,J,Tomkins,CRY,D,0.07,0.16,2.3,2.7,682,4.3,0.5,2918,
,L,Baines,EVE,D,0.14,0.16,2.8,2.9,1099,5.7,3.5,-5727,
x,A,Ogbonna,WHU,D,0.16,0.16,2.7,2.7,1170,4.4,3.8,98761,
,P,Zabaleta,WHU,D,0.16,0.16,2.8,2.8,1501,4.9,1.9,9337,
