O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,min,price,%,txn,122123
,S,Agüero,MCI,F,0.4,0.44,6.6,7.1,1008,11.5,16.3,-1382,
,C,Austin,SOU,F,0.16,0.81,3.0,7.0,518,6.2,5.1,33228,
,G,Jesus,MCI,F,0.25,0.4,4.6,6.1,906,10.2,10.5,-42254,
,W,Rooney,EVE,F,0.49,0.53,5.7,6.0,1232,7.6,20.5,132296,
x,H,Kane,TOT,F,0.29,0.29,5.7,5.7,1479,12.8,38.8,-35933,
,Á,Morata,CHE,F,0.32,0.35,5.4,5.7,1183,10.7,19.7,-135719,
,S,Okazaki,LEI,F,0.35,0.65,3.9,5.6,717,5.5,6.0,-9058,
x,R,Firmino,LIV,F,0.32,0.38,4.8,5.3,1240,8.7,24.6,93834,
,R,Lukaku,MUN,F,0.28,0.28,5.2,5.2,1620,11.3,33.7,41300,
,S,Mounie,HUD,F,0.23,0.51,3.3,4.9,694,5.7,1.0,-756,
,D,Welbeck,ARS,F,0.12,0.38,2.9,4.8,572,7.3,0.8,-380,
,T,Hemed,BHA,F,0.17,0.52,2.8,4.5,582,4.8,1.2,-1052,
,L,Depoitre,HUD,F,0.32,0.43,3.7,4.3,1013,5.3,2.0,77461,
,J,Vardy,LEI,F,0.27,0.27,4.3,4.3,1566,8.6,16.5,-97608,
,D,Gayle,NEW,F,0.11,0.36,2.7,4.2,758,6.1,1.1,-1708,
,A,Lacazette,ARS,F,0.17,0.2,3.8,4.1,1180,10.4,10.4,-39952,
,D,Calvert-Lewin,EVE,F,0.26,0.39,3.4,4.1,1308,5.4,11.3,60669,
,M,Rashford,MUN,F,0.21,0.26,3.6,4.0,1084,7.6,8.5,13573,
,W,Bony,SWA,F,0.11,0.35,2.6,4.0,650,5.7,0.4,-3677,
,J,Defoe,BOU,F,0.09,0.25,2.7,3.9,787,7.6,1.6,-927,
,G,Murray,BHA,F,0.16,0.33,2.9,3.9,979,5.8,2.9,-5077,
,A,Gray,WAT,F,0.1,0.29,2.6,3.8,940,6.3,2.0,-3170,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,3.79,~~~,~~~~~,~,~~~,~~~~~~
,M,Gabbiadini,SOU,F,0.08,0.27,2.5,3.7,785,6.4,1.5,-1449,
,J,Chicharito,WHU,F,0.19,0.25,3.3,3.7,919,6.7,7.0,1312,
,C,Wood,BUR,F,0.22,0.25,3.4,3.6,987,6.4,1.6,-5084,
,D,Solanke,LIV,F,-0.13,0.32,1.4,3.5,262,4.7,1.7,353,
,M,Diouf,STK,F,0.27,0.27,3.5,3.5,1479,5.6,5.4,2158,
,T,Abraham,SWA,F,0.26,0.26,3.5,3.5,1216,5.8,8.7,-22144,
,A,Barnes,BUR,F,-0.08,0.19,1.6,3.0,591,5.2,0.5,-1309,
,C,Quaner,HUD,F,-0.04,0.22,1.8,3.0,410,4.6,5.4,24111,
,J,Joselu,NEW,F,0.13,0.18,2.7,3.0,1124,5.5,0.6,-803,
,J,King,BOU,F,0.1,0.11,2.7,2.8,1363,7.0,1.3,-5166,
,P,Crouch,STK,F,0.13,0.17,2.6,2.8,573,4.8,2.9,5756,
,J,Ayew,SWA,F,0.08,0.14,2.4,2.7,1391,5.0,3.2,-3279,
,A,Pérez,NEW,F,0.02,0.12,2.1,2.6,1115,5.2,0.7,-641,
,S,Long,SOU,F,-0.04,0.07,1.8,2.4,670,5.6,0.3,-166,
,J,Rodriguez,WBA,F,0.04,0.07,2.2,2.4,1328,5.5,0.6,-1039,
,C,Benteke,CRY,F,0.01,0.04,2.1,2.3,1028,7.6,2.0,-1668,
,H,Robson-Kanu,WBA,F,-0.04,0.06,1.8,2.3,557,4.9,0.5,-124,
,S,Rondón,WBA,F,-0.02,0.03,1.9,2.2,1148,6.0,0.7,473,
,O,Giroud,ARS,F,0.05,0.0,2.4,2.0,360,8.2,1.2,-4772,
,T,Deeney,WAT,F,0.02,-0.03,2.1,1.8,628,6.3,0.4,-5551,
,A,Carroll,WHU,F,-0.17,-0.09,1.0,1.5,539,5.8,0.2,-233,
,D,Sakho,WHU,F,-0.05,-0.36,1.7,0.0,294,5.5,0.3,4187,
