O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,min,price,%,txn,122123
,A,Adrián,WHU,G,0.77,0.74,5.3,5.2,360,4.3,1.1,17828,
x,N,Pope,BUR,G,0.73,0.73,5.5,5.5,1314,4.8,6.4,15611,
,D,de Gea,MUN,G,0.59,0.59,5.5,5.5,1620,5.9,44.2,8179,
x,L,Fabianski,SWA,G,0.52,0.52,4.4,4.4,1620,4.6,8.5,3722,
,M,Ryan,BHA,G,0.42,0.42,3.9,3.9,1620,4.5,1.2,7180,
,P,Cech,ARS,G,0.41,0.41,4.2,4.2,1620,5.4,5.2,-3537,
,J,Lössl,HUD,G,0.39,0.39,3.8,3.8,1620,4.6,8.8,-6821,
,T,Courtois,CHE,G,0.38,0.38,4.1,4.1,1620,5.5,13.4,-9134,
,F,Forster,SOU,G,0.38,0.38,3.9,3.9,1620,5.0,7.0,-3251,
,A,Begovic,BOU,G,0.36,0.36,3.6,3.6,1620,4.5,4.6,-5405,
,K,Schmeichel,LEI,G,0.36,0.36,3.8,3.8,1620,5.0,4.2,-7069,
~,~,~~~~~~~~,~~~~,~,~~~~,0.36,~~~,~~~~,~~~,~~~~~,~,~~~,~~~~~~
,J,Speroni,CRY,G,0.34,0.34,3.4,3.4,810,4.1,5.1,7657,
,J,Pickford,EVE,G,0.33,0.33,3.6,3.6,1620,4.8,6.6,-2193,
,E,Ederson,MCI,G,0.31,0.33,3.7,3.8,1575,5.5,5.1,5993,
,S,Mignolet,LIV,G,0.31,0.31,3.5,3.5,1440,4.9,1.6,-1206,
,W,Hennessey,CRY,G,0.3,0.3,3.3,3.3,810,4.3,1.0,-1407,
,R,Elliot,NEW,G,0.29,0.29,3.2,3.2,1260,4.1,23.4,-7337,
,H,Lloris,TOT,G,0.29,0.29,3.6,3.6,1530,5.5,8.5,-3924,
,B,Foster,WBA,G,0.27,0.27,3.2,3.2,1530,4.4,10.2,-5284,
,J,Hart,WHU,G,0.27,0.27,3.2,3.2,1260,4.4,6.5,-9225,
,H,Gomes,WAT,G,0.2,0.2,2.9,2.9,1588,4.5,2.6,-3522,
,J,Butland,STK,G,0.12,0.12,2.6,2.6,1350,5.0,2.3,-606,
,K,Darlow,NEW,G,0.07,0.05,2.3,2.2,360,4.4,0.2,-247,
