O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn    ,123000
x,R,Firmino         ,LIV ,F,0.4  ,0.46 ,5.6,6.1 ,1397,9.0  ,34.7,294381 ,      
 ,J,Lingard         ,MUN ,M,0.46 ,0.82 ,4.8,7.0 ,741 ,6.1  ,9.2 ,224658 ,      
 ,Á,Morata          ,CHE ,F,0.32 ,0.35 ,5.4,5.7 ,1264,10.6 ,19.9,161556 ,      
x,R,Sterling        ,MCI ,M,0.64 ,0.7  ,7.6,8.2 ,1386,8.8  ,33.0,150018 ,      
 ,M,Alonso          ,CHE ,D,0.49 ,0.49 ,5.5,5.5 ,1709,7.2  ,22.0,129693 ,      
x,P,Coutinho        ,LIV ,M,0.63 ,0.68 ,7.8,8.3 ,1021,9.2  ,14.8,108052 ,      
x,N,Otamendi        ,MCI ,D,0.53 ,0.53 ,5.4,5.4 ,1690,6.4  ,31.0,104472 ,      
 ,J,Kenny           ,EVE ,D,0.3  ,0.35 ,3.4,3.6 ,1094,4.6  ,6.7 ,94781  ,      
 ,B,Mee             ,BUR ,D,0.33 ,0.33 ,3.6,3.6 ,1620,4.9  ,15.1,81041  ,      
 ,C,Azpilicueta     ,CHE ,D,0.51 ,0.51 ,5.6,5.6 ,1710,7.0  ,23.1,68483  ,      
 ,D,Calvert-Lewin   ,EVE ,F,0.24 ,0.31 ,3.3,3.7 ,1458,5.5  ,14.3,51159  ,      
 ,K,Long            ,BUR ,D,0.82 ,0.8  ,5.3,5.2 ,360 ,4.0  ,5.5 ,50715  ,      
 ,S,Agüero          ,MCI ,F,0.42 ,0.47 ,6.9,7.4 ,1174,11.6 ,18.6,45517  ,      
 ,A,Doucouré        ,WAT ,M,0.45 ,0.45 ,4.4,4.4 ,1710,5.3  ,12.6,39706  ,      
 ,J,Pickford        ,EVE ,G,0.45 ,0.45 ,4.2,4.2 ,1800,4.9  ,7.9 ,39670  ,      
 ,A,Hegazi          ,WBA ,D,0.24 ,0.27 ,3.1,3.2 ,1766,4.5  ,18.9,38905  ,      
 ,C,Martina         ,EVE ,D,0.28 ,0.35 ,3.2,3.5 ,1020,4.3  ,1.7 ,37524  ,      
 ,A,Young           ,MUN ,M,0.43 ,0.47 ,4.2,4.4 ,1344,5.1  ,5.7 ,36070  ,      
 ,P,Jones           ,MUN ,D,0.48 ,0.54 ,4.7,5.0 ,1253,5.6  ,12.3,35736  ,      
 ,M,Arnautovic      ,WHU ,M,0.2  ,0.39 ,3.4,4.7 ,1005,6.9  ,2.4 ,35338  ,      
 ,L,Depoitre        ,HUD ,F,0.33 ,0.5  ,3.8,4.7 ,1122,5.4  ,6.6 ,34805  ,      
x,M,Salah           ,LIV ,M,0.56 ,0.61 ,7.7,8.2 ,1504,10.1 ,59.5,31852  ,      
