O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn    ,123000
 ,D,Danilo          ,MCI ,D,0.54 ,0.84 ,4.7,6.2 ,568 ,5.0  ,2.1 ,15168  ,      
 ,K,Long            ,BUR ,D,0.82 ,0.8  ,5.3,5.2 ,360 ,4.0  ,5.5 ,50715  ,      
 ,B,Davies          ,TOT ,D,0.49 ,0.67 ,4.7,5.7 ,1072,5.5  ,13.3,-79914 ,      
 ,T,Alexander-Arnold,LIV ,D,0.57 ,0.57 ,4.4,4.4 ,619 ,4.2  ,1.7 ,28799  ,      
 ,S,Ward            ,BUR ,D,0.52 ,0.56 ,4.5,4.7 ,1470,4.8  ,12.9,-112602,      
 ,A,Robertson       ,LIV ,D,0.55 ,0.55 ,4.6,4.6 ,704 ,4.7  ,2.2 ,27999  ,      
 ,P,Jones           ,MUN ,D,0.48 ,0.54 ,4.7,5.0 ,1253,5.6  ,12.3,35736  ,      
x,N,Otamendi        ,MCI ,D,0.53 ,0.53 ,5.4,5.4 ,1690,6.4  ,31.0,104472 ,      
 ,K,Trippier        ,TOT ,D,0.47 ,0.53 ,4.5,4.8 ,1083,5.3  ,5.0 ,-53070 ,      
 ,C,Azpilicueta     ,CHE ,D,0.51 ,0.51 ,5.6,5.6 ,1710,7.0  ,23.1,68483  ,      
 ,M,Alonso          ,CHE ,D,0.49 ,0.49 ,5.5,5.5 ,1709,7.2  ,22.0,129693 ,      
 ,J,Gomez           ,LIV ,D,0.4  ,0.49 ,3.9,4.3 ,1181,4.7  ,6.5 ,-20610 ,      
 ,V,Moses           ,CHE ,D,0.34 ,0.48 ,4.2,5.1 ,951 ,6.4  ,1.3 ,7704   ,      
 ,M,Kelly           ,CRY ,D,0.29 ,0.48 ,3.2,4.0 ,398 ,4.2  ,0.3 ,-30    ,      
 ,R,Klavan          ,LIV ,D,0.48 ,0.48 ,4.1,4.1 ,1080,4.4  ,2.3 ,14786  ,      
 ,M,Sakho           ,CRY ,D,0.42 ,0.48 ,4.0,4.3 ,834 ,4.8  ,0.5 ,-3846  ,      
 ,N,Monreal         ,ARS ,D,0.44 ,0.47 ,4.5,4.7 ,1665,5.7  ,9.0 ,-148870,      
 ,S,Kolasinac       ,ARS ,D,0.47 ,0.47 ,4.8,4.8 ,1387,6.0  ,11.2,-17832 ,      
 ,M,Lowton          ,BUR ,D,0.47 ,0.47 ,4.1,4.1 ,1170,4.5  ,2.4 ,-4848  ,      
 ,A,Valencia        ,MUN ,D,0.47 ,0.47 ,5.2,5.2 ,1595,6.8  ,10.5,-95429 ,      
 ,J,Collins         ,WHU ,D,0.47 ,0.47 ,4.0,4.0 ,417 ,4.3  ,0.2 ,1115   ,      
 ,A,Rüdiger         ,CHE ,D,0.41 ,0.45 ,4.4,4.6 ,1194,5.8  ,2.4 ,20883  ,      
 ,K,Walker          ,MCI ,D,0.35 ,0.41 ,4.3,4.7 ,1573,6.6  ,13.8,2450   ,      
 ,D,Lovren          ,LIV ,D,0.26 ,0.4  ,3.4,4.1 ,1115,5.3  ,1.3 ,-3828  ,      
 ,M,Yoshida         ,SOU ,D,0.35 ,0.4  ,3.7,3.9 ,1354,4.8  ,3.3 ,-8622  ,      
x,A,Christensen     ,CHE ,D,0.33 ,0.4  ,3.9,4.3 ,1133,5.7  ,5.6 ,-56334 ,      
 ,A,Moreno          ,LIV ,D,0.39 ,0.39 ,3.7,3.7 ,1080,4.4  ,1.7 ,-11933 ,      
 ,J,Tarkowski       ,BUR ,D,0.38 ,0.38 ,3.8,3.8 ,1620,4.7  ,3.5 ,-30093 ,      
 ,B,Bruno           ,BHA ,D,0.31 ,0.36 ,3.4,3.6 ,1442,4.5  ,1.1 ,4224   ,      
 ,F,Kiko Femenía    ,WAT ,D,0.31 ,0.36 ,3.4,3.6 ,1214,4.5  ,2.6 ,-19717 ,      
 ,S,Aurier          ,TOT ,D,0.31 ,0.36 ,3.8,4.1 ,726 ,5.9  ,0.5 ,476    ,      
 ,G,Cahill          ,CHE ,D,0.19 ,0.35 ,3.2,4.2 ,1044,6.2  ,3.1 ,970    ,      
 ,J,Kenny           ,EVE ,D,0.3  ,0.35 ,3.4,3.6 ,1094,4.6  ,6.7 ,94781  ,      
 ,J,Matip           ,LIV ,D,0.35 ,0.35 ,3.9,3.9 ,1260,5.4  ,1.9 ,3923   ,      
 ,C,Martina         ,EVE ,D,0.28 ,0.35 ,3.2,3.5 ,1020,4.3  ,1.7 ,37524  ,      
 ,B,Mee             ,BUR ,D,0.33 ,0.33 ,3.6,3.6 ,1620,4.9  ,15.1,81041  ,      
 ,L,Koscielny       ,ARS ,D,0.32 ,0.32 ,3.9,3.9 ,1524,6.0  ,2.4 ,2073   ,      
 ,H,Maguire         ,LEI ,D,0.32 ,0.32 ,3.7,3.7 ,1800,5.3  ,10.5,7392   ,      
 ,C,Löwe            ,HUD ,D,0.18 ,0.31 ,2.8,3.4 ,1159,4.5  ,2.4 ,-2329  ,      
 ,C,Smalling        ,MUN ,D,0.28 ,0.31 ,3.5,3.7 ,1185,5.4  ,3.0 ,-41669 ,      
 ,T,Alderweireld    ,TOT ,D,0.31 ,0.31 ,3.8,3.8 ,900 ,5.8  ,5.0 ,-5785  ,      
 ,H,Bellerín        ,ARS ,D,0.3  ,0.3  ,3.8,3.8 ,1800,6.0  ,11.3,30500  ,      
 ,M,Holgate         ,EVE ,D,0.3  ,0.3  ,3.3,3.3 ,900 ,4.3  ,2.2 ,20067  ,      
x,J,Lascelles       ,NEW ,D,0.3  ,0.3  ,3.4,3.4 ,1307,4.6  ,5.5 ,9734   ,      
 ,M,Suttner         ,BHA ,D,0.3  ,0.3  ,3.3,3.3 ,990 ,4.3  ,0.5 ,701    ,      
 ,A,Williams        ,EVE ,D,0.19 ,0.29 ,3.0,3.5 ,1338,5.2  ,3.3 ,17223  ,      
 ,A,Cresswell       ,WHU ,D,0.24 ,0.27 ,3.2,3.4 ,1584,5.1  ,2.5 ,-1953  ,      
 ,A,Hegazi          ,WBA ,D,0.24 ,0.27 ,3.1,3.2 ,1766,4.5  ,18.9,38905  ,      
 ,J,Tomkins         ,CRY ,D,0.16 ,0.26 ,2.7,3.1 ,862 ,4.3  ,0.5 ,1037   ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,0.26 ,~~~,~~~~,~~~ ,~~~~~,~   ,~~~    ,~~~~~~
 ,C,Daniels         ,BOU ,D,0.25 ,0.25 ,3.2,3.2 ,1585,4.8  ,7.3 ,-47338 ,      
 ,C,Clark           ,NEW ,D,0.2  ,0.25 ,2.9,3.1 ,1205,4.4  ,1.7 ,-704   ,      
 ,C,Dawson          ,WBA ,D,0.25 ,0.25 ,3.2,3.2 ,900 ,4.8  ,1.0 ,-97    ,      
 ,S,Duffy           ,BHA ,D,0.24 ,0.24 ,3.1,3.1 ,1692,4.6  ,2.8 ,13886  ,      
x,K,Naughton        ,SWA ,D,0.24 ,0.24 ,3.1,3.1 ,1786,4.6  ,5.3 ,-13783 ,      
 ,R,Bertrand        ,SOU ,D,0.23 ,0.23 ,3.2,3.2 ,1615,5.3  ,5.6 ,-37180 ,      
 ,P,Bardsley        ,BUR ,D,0.23 ,0.23 ,3.0,3.0 ,630 ,4.3  ,0.5 ,4630   ,      
 ,J,Vertonghen      ,TOT ,D,0.23 ,0.23 ,3.4,3.4 ,1769,6.0  ,7.8 ,-20174 ,      
 ,M,Zanka           ,HUD ,D,0.22 ,0.22 ,3.0,3.0 ,1800,4.6  ,8.4 ,1203   ,      
 ,D,Sánchez         ,TOT ,D,0.18 ,0.22 ,3.1,3.3 ,1132,6.0  ,0.4 ,-161   ,      
 ,C,Fuchs           ,LEI ,D,0.19 ,0.21 ,2.9,3.0 ,1171,4.8  ,2.1 ,-4220  ,      
 ,C,Schindler       ,HUD ,D,0.2  ,0.2  ,2.9,2.9 ,1676,4.6  ,3.4 ,320    ,      
 ,A,Mawson          ,SWA ,D,0.2  ,0.2  ,3.0,3.0 ,1800,5.0  ,1.1 ,-2663  ,      
 ,M,Olsson          ,SWA ,D,0.2  ,0.2  ,3.0,3.0 ,1616,5.0  ,0.3 ,-536   ,      
 ,A,Nyom            ,WBA ,D,0.16 ,0.18 ,2.8,2.9 ,1306,4.9  ,1.3 ,-1930  ,      
 ,S,Steve Cook      ,BOU ,D,0.09 ,0.17 ,2.4,2.8 ,1243,4.7  ,1.3 ,-3259  ,      
 ,C,Kabasele        ,WAT ,D,0.15 ,0.17 ,2.7,2.8 ,1589,4.6  ,2.5 ,6010   ,      
 ,N,Aké             ,BOU ,D,0.16 ,0.16 ,2.8,2.8 ,1792,4.9  ,4.0 ,16922  ,      
 ,L,Baines          ,EVE ,D,0.14 ,0.16 ,2.8,2.9 ,1099,5.7  ,3.3 ,-5415  ,      
 ,E,Mangala         ,MCI ,D,-0.02,0.16 ,1.9,2.8 ,393 ,5.0  ,0.3 ,399    ,      
 ,K,Gibbs           ,WBA ,D,0.12 ,0.14 ,2.6,2.7 ,1446,5.0  ,0.4 ,1296   ,      
 ,J,Evans           ,WBA ,D,0.12 ,0.14 ,2.6,2.7 ,1471,4.9  ,0.9 ,4100   ,      
 ,L,Dunk            ,BHA ,D,0.13 ,0.13 ,2.6,2.6 ,1800,4.5  ,3.1 ,8341   ,      
 ,C,Cédric          ,SOU ,D,0.11 ,0.13 ,2.5,2.6 ,1354,4.7  ,2.9 ,-12188 ,      
 ,W,Reid            ,WHU ,D,0.13 ,0.13 ,2.6,2.6 ,1246,4.8  ,0.7 ,-972   ,      
 ,P,Zabaleta        ,WHU ,D,0.12 ,0.12 ,2.6,2.6 ,1669,4.9  ,2.0 ,-6049  ,      
 ,F,Fernández       ,SWA ,D,0.11 ,0.11 ,2.5,2.5 ,1350,4.5  ,1.7 ,-2362  ,      
 ,J,Holebas         ,WAT ,D,0.06 ,0.1  ,2.3,2.5 ,1211,4.9  ,0.5 ,-597   ,      
 ,K,Zouma           ,STK ,D,0.09 ,0.09 ,2.5,2.5 ,1595,5.4  ,1.9 ,-2873  ,      
 ,M,Keane           ,EVE ,D,0.08 ,0.09 ,2.4,2.5 ,1164,5.3  ,5.0 ,5981   ,      
