O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,min,price,%,txn,123000
x,P,Coutinho,LIV,M,0.63,0.68,7.8,8.3,1021,9.2,14.8,108052,
x,M,Salah,LIV,M,0.56,0.61,7.7,8.2,1504,10.1,59.5,31852,
x,R,Sterling,MCI,M,0.64,0.7,7.6,8.2,1386,8.8,33.0,150018,
,J,Lingard,MUN,M,0.46,0.82,4.8,7.0,741,6.1,9.2,224658,
,L,Sané,MCI,M,0.41,0.51,5.5,6.3,1186,8.5,14.1,-69779,
x,E,Hazard,CHE,M,0.28,0.39,5.0,6.2,1110,10.8,12.1,-74482,
,H,Son,TOT,M,0.32,0.52,4.6,6.2,1113,8.0,4.1,16173,
,D,David Silva,MCI,M,0.46,0.5,5.8,6.1,1516,8.2,14.1,-84424,
,K,De Bruyne,MCI,M,0.4,0.4,6.1,6.1,1706,10.3,26.0,407,
,I,Gündogan,MCI,M,0.02,0.75,2.1,6.0,414,5.3,0.6,-584,
,P,Pogba,MUN,M,0.51,0.51,6.0,6.0,862,7.9,12.2,-14704,
,A,Sánchez,ARS,M,0.28,0.33,5.3,5.9,1321,11.8,2.7,7996,
,A,Ramsey,ARS,M,0.49,0.53,5.4,5.7,1196,7.0,2.7,-12633,
,R,Mahrez,LEI,M,0.39,0.42,5.3,5.6,1611,8.5,7.4,12672,
,C,Eriksen,TOT,M,0.36,0.37,5.3,5.4,1692,9.2,13.3,-57367,
,M,Özil,ARS,M,0.29,0.34,4.7,5.2,1370,9.3,2.8,2772,
,P,Groß,BHA,M,0.47,0.54,4.8,5.2,1508,5.9,18.0,-5653,
,J,Mata,MUN,M,0.34,0.47,4.3,5.2,994,6.8,2.4,2224,
,B,Alli,TOT,M,0.31,0.34,4.8,5.1,1564,9.0,11.3,-7009,
,P,Pedro,CHE,M,0.18,0.38,3.4,4.9,850,7.7,1.2,-2590,
,M,Arnautovic,WHU,M,0.2,0.39,3.4,4.7,1005,6.9,2.4,35338,
,R,Richarlison,WAT,M,0.4,0.4,4.6,4.6,1721,6.5,18.2,4809,
,E,Choupo-Moting,STK,M,0.39,0.46,4.1,4.5,1516,5.4,3.8,-8434,
,A,Young,MUN,M,0.43,0.47,4.2,4.4,1344,5.1,5.7,36070,
,X,Shaqiri,STK,M,0.36,0.39,4.2,4.4,1558,6.1,7.7,-67637,
,A,Doucouré,WAT,M,0.45,0.45,4.4,4.4,1710,5.3,12.6,39706,
,A,Martial,MUN,M,0.26,0.29,4.1,4.3,807,8.0,2.3,-26563,
,S,Arfield,BUR,M,0.33,0.45,3.6,4.2,1000,4.9,0.4,4609,
,W,Willian,CHE,M,0.16,0.33,3.1,4.2,978,6.7,6.9,-27044,
,C,Atsu,NEW,M,0.33,0.46,3.6,4.2,1191,4.8,1.6,12220,
,W,Zaha,CRY,M,0.3,0.3,4.1,4.1,1246,6.9,5.7,-17870,
,M,Lanzini,WHU,M,0.24,0.31,3.6,4.1,1128,6.8,0.9,-7218,
,A,King,LEI,M,0.02,0.48,2.1,4.0,533,4.2,3.3,7436,
,D,Gray,LEI,M,0.11,0.38,2.6,4.0,950,5.3,1.2,-7588,
,C,Brunt,WBA,M,0.2,0.39,3.0,4.0,619,5.1,0.5,-374,
,A,Chamberlain,LIV,M,0.09,0.34,2.5,3.9,952,5.6,1.6,2495,
,A,Surman,BOU,M,0.4,0.4,3.9,3.9,1530,4.8,7.5,-73693,
,R,Brady,BUR,M,0.31,0.35,3.7,3.9,1277,5.4,0.6,-2057,
,S,Davis,SOU,M,0.31,0.39,3.5,3.9,1291,4.9,2.9,-15201,
,T,Bakayoko,CHE,M,0.24,0.38,3.2,3.9,1345,5.0,2.6,-2386,
,M,Albrighton,LEI,M,0.22,0.33,3.2,3.8,1395,5.5,1.9,2492,
,B,Bernardo Silva,MCI,M,0.05,0.24,2.4,3.8,560,7.4,0.6,-183,
,G,Sigurdsson,EVE,M,0.19,0.22,3.5,3.8,1563,8.0,2.3,-1208,
,C,Fàbregas,CHE,M,0.16,0.25,3.1,3.7,1275,6.8,3.7,-927,
,A,Mooy,HUD,M,0.3,0.31,3.6,3.7,1708,5.4,7.3,-11444,
,E,Can,LIV,M,0.27,0.33,3.3,3.6,1175,4.8,4.1,117,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,3.59,~~~,~~~~~,~,~~~,~~~~~~
x,R,Loftus-Cheek,CRY,M,0.28,0.33,3.3,3.5,1329,4.6,8.5,-2433,
,F,Fernandinho,MCI,M,0.27,0.29,3.4,3.5,1651,5.1,6.3,-4592,
,M,Ritchie,NEW,M,0.25,0.27,3.4,3.5,1572,5.5,2.3,-5098,
,A,Iwobi,ARS,M,0.2,0.27,3.0,3.4,691,5.1,0.5,-839,
,N,Kanté,CHE,M,0.29,0.29,3.4,3.4,1490,4.9,12.1,-4841,
,D,Tadic,SOU,M,0.22,0.22,3.4,3.4,1363,6.3,1.7,-1716,
,D,Gosling,BOU,M,0.13,0.27,2.6,3.3,623,4.8,0.1,1935,
,A,Townsend,CRY,M,0.21,0.23,3.2,3.3,1708,5.6,1.0,1491,
,A,Ayew,WHU,M,0.12,0.19,2.8,3.3,854,6.8,1.0,-717,
,G,Xhaka,ARS,M,0.23,0.23,3.2,3.2,1720,5.3,7.9,-10291,
