O,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,min ,price,%   ,txn   ,123122
x,N,Pope      ,BUR ,G,0.65,0.65 ,5.1,5.1 ,1584,4.8  ,7.2 ,7449  ,      
 ,D,de Gea    ,MUN ,G,0.53,0.53 ,5.1,5.1 ,1890,5.9  ,42.9,-34308,      
x,A,Adrián    ,WHU ,G,0.51,0.51 ,4.2,4.2 ,540 ,4.3  ,2.2 ,38321 ,      
 ,E,Ederson   ,MCI ,G,0.44,0.47 ,4.4,4.6 ,1845,5.5  ,5.9 ,21553 ,      
 ,L,Fabianski ,SWA ,G,0.46,0.46 ,4.1,4.1 ,1890,4.6  ,8.0 ,-11514,      
 ,M,Ryan      ,BHA ,G,0.44,0.44 ,4.0,4.0 ,1890,4.5  ,1.8 ,16849 ,      
 ,T,Courtois  ,CHE ,G,0.44,0.44 ,4.4,4.4 ,1890,5.5  ,13.6,-13144,      
 ,J,Pickford  ,EVE ,G,0.43,0.43 ,4.1,4.1 ,1890,4.9  ,8.0 ,-2603 ,      
 ,J,Lössl     ,HUD ,G,0.43,0.43 ,4.0,4.0 ,1890,4.6  ,8.4 ,-4637 ,      
 ,R,Elliot    ,NEW ,G,0.39,0.39 ,3.6,3.6 ,1440,4.1  ,22.0,-46416,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,0.37 ,~~~,~~~~,~~~ ,~~~~~,~   ,~~~   ,~~~~~~
 ,P,Cech      ,ARS ,G,0.33,0.33 ,3.8,3.8 ,1890,5.4  ,5.0 ,-3867 ,      
 ,S,Mignolet  ,LIV ,G,0.33,0.33 ,3.6,3.6 ,1620,4.9  ,1.5 ,-1493 ,      
 ,F,Forster   ,SOU ,G,0.33,0.33 ,3.6,3.6 ,1800,4.9  ,6.1 ,-12538,      
 ,J,Speroni   ,CRY ,G,0.32,0.32 ,3.3,3.3 ,990 ,4.1  ,5.4 ,4386  ,      
 ,B,Foster    ,WBA ,G,0.32,0.32 ,3.4,3.4 ,1800,4.4  ,9.7 ,-9149 ,      
 ,H,Lloris    ,TOT ,G,0.29,0.29 ,3.6,3.6 ,1710,5.5  ,8.8 ,35297 ,      
 ,K,Schmeichel,LEI ,G,0.28,0.28 ,3.4,3.4 ,1890,5.0  ,4.0 ,3081  ,      
 ,J,Hart      ,WHU ,G,0.28,0.28 ,3.2,3.2 ,1260,4.3  ,5.9 ,-3667 ,      
 ,A,Begovic   ,BOU ,G,0.27,0.27 ,3.2,3.2 ,1890,4.5  ,4.4 ,-3809 ,      
 ,K,Darlow    ,NEW ,G,0.27,0.27 ,3.2,3.2 ,450 ,4.4  ,0.2 ,604   ,      
 ,H,Gomes     ,WAT ,G,0.18,0.18 ,2.8,2.8 ,1858,4.5  ,2.3 ,-7485 ,      
 ,J,Butland   ,STK ,G,0.14,0.14 ,2.7,2.7 ,1620,5.0  ,2.2 ,-321  ,      
