O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,011220
x,J,Lingard         ,MUN ,M,0.44 ,0.73 ,4.8,6.6 ,7.6 ,917 ,6.3  ,18.4,437399 ,      
x,H,Kane            ,TOT ,F,0.34 ,0.36 ,6.4,6.6 ,7.6 ,1771,12.9 ,45.5,186664 ,      
 ,R,Mahrez          ,LEI ,M,0.43 ,0.47 ,5.7,6.0 ,6.8 ,1759,8.6  ,11.8,158142 ,      
x,R,Sterling        ,MCI ,M,0.6  ,0.7  ,7.3,8.2 ,9.2 ,1509,8.9  ,37.9,139934 ,      
 ,P,Jones           ,MUN ,D,0.54 ,0.58 ,5.1,5.3 ,3.8 ,1433,5.7  ,15.6,125098 ,      
 ,M,Alonso          ,CHE ,D,0.49 ,0.49 ,5.6,5.6 ,9.4 ,1889,7.3  ,25.1,123643 ,      
 ,P,Pogba           ,MUN ,M,0.54 ,0.53 ,6.3,6.2 ,3.8 ,1042,7.9  ,13.4,119705 ,      
 ,V,van Dijk        ,LIV ,D,0.02 ,0.04 ,2.1,2.2 ,0.0 ,993 ,5.4  ,4.2 ,108256 ,      
 ,S,Agüero          ,MCI ,F,0.38 ,0.42 ,6.5,6.9 ,5.2 ,1331,11.7 ,22.7,85496  ,      
 ,H,Bellerín        ,ARS ,D,0.32 ,0.32 ,3.9,3.9 ,4.4 ,1980,6.0  ,12.3,74609  ,      
 ,J,Ayew            ,SWA ,F,0.16 ,0.16 ,2.8,2.8 ,4.0 ,1685,5.0  ,5.5 ,65035  ,      
 ,R,Klavan          ,LIV ,D,0.55 ,0.59 ,4.4,4.6 ,5.0 ,1171,4.4  ,3.2 ,52990  ,      
 ,L,Milivojevic     ,CRY ,M,0.22 ,0.28 ,3.0,3.3 ,4.0 ,1639,4.6  ,1.5 ,51308  ,      
 ,J,Tarkowski       ,BUR ,D,0.34 ,0.34 ,3.6,3.6 ,1.4 ,1710,4.7  ,4.6 ,49488  ,      
x,N,Pope            ,BUR ,G,0.6  ,0.6  ,4.9,4.9 ,3.4 ,1674,4.8  ,8.1 ,48203  ,      
 ,L,Depoitre        ,HUD ,F,0.29 ,0.45 ,3.6,4.5 ,5.2 ,1220,5.5  ,7.7 ,46181  ,      
 ,M,Albrighton      ,LEI ,M,0.29 ,0.4  ,3.6,4.2 ,5.8 ,1567,5.5  ,2.8 ,42175  ,      
 ,K,De Bruyne       ,MCI ,M,0.41 ,0.41 ,6.2,6.2 ,6.8 ,1874,10.2 ,21.3,41160  ,      
 ,J,Tomkins         ,CRY ,D,0.21 ,0.3  ,2.9,3.3 ,4.6 ,1042,4.3  ,1.4 ,35829  ,      
 ,A,Carroll         ,WHU ,F,0.02 ,0.17 ,2.1,3.0 ,3.4 ,695 ,5.8  ,0.9 ,33303  ,      
 ,T,Alexander-Arnold,LIV ,D,0.6  ,0.6  ,4.5,4.5 ,3.8 ,709 ,4.2  ,2.7 ,29773  ,      
x,O,Niasse          ,EVE ,F,0.49 ,0.81 ,4.3,5.8 ,1.4 ,567 ,4.7  ,4.1 ,29451  ,      
x,A,Adrián          ,WHU ,G,0.44 ,0.44 ,3.9,3.9 ,3.2 ,720 ,4.3  ,3.3 ,28073  ,      
 ,S,Duffy           ,BHA ,D,0.24 ,0.24 ,3.1,3.1 ,2.6 ,1872,4.6  ,4.0 ,24805  ,      
x,H,Son             ,TOT ,M,0.33 ,0.52 ,4.7,6.2 ,6.2 ,1293,8.1  ,13.1,24568  ,      
 ,A,Pérez           ,NEW ,F,0.08 ,0.21 ,2.4,3.1 ,2.6 ,1236,5.2  ,1.1 ,23370  ,      
 ,G,Murray          ,BHA ,F,0.18 ,0.37 ,3.0,4.1 ,2.4 ,1143,5.7  ,2.5 ,21564  ,      
 ,S,Mané            ,LIV ,M,0.32 ,0.42 ,5.0,5.9 ,3.2 ,986 ,9.3  ,7.1 ,21495  ,      
 ,C,Wilson          ,BOU ,F,0.32 ,0.47 ,3.8,4.7 ,3.4 ,786 ,5.7  ,2.2 ,17812  ,      
 ,M,Ryan            ,BHA ,G,0.44 ,0.44 ,4.0,4.0 ,5.6 ,1980,4.5  ,2.3 ,17806  ,      
 ,L,Dunk            ,BHA ,D,0.16 ,0.16 ,2.7,2.7 ,4.6 ,1980,4.5  ,3.8 ,17397  ,      
 ,J,Wilshere        ,ARS ,M,0.11 ,0.31 ,2.6,3.7 ,3.8 ,626 ,5.4  ,0.9 ,16607  ,      
 ,W,Willian         ,CHE ,M,0.25 ,0.48 ,3.7,5.2 ,5.0 ,1076,6.7  ,8.2 ,16472  ,      
 ,S,Mustafi         ,ARS ,D,0.54 ,0.7  ,4.9,5.8 ,2.0 ,1049,5.4  ,3.4 ,16328  ,      
 ,C,Clark           ,NEW ,D,0.32 ,0.36 ,3.4,3.6 ,3.0 ,1385,4.4  ,2.0 ,16096  ,      
 ,J,Gudmundsson     ,BUR ,M,0.2  ,0.24 ,3.0,3.2 ,3.4 ,1604,5.0  ,0.6 ,15001  ,      
 ,J,McArthur        ,CRY ,M,0.19 ,0.3  ,2.8,3.3 ,2.8 ,1026,4.3  ,3.0 ,14552  ,      
x,J,Lascelles       ,NEW ,D,0.39 ,0.39 ,3.8,3.8 ,3.8 ,1487,4.6  ,5.8 ,13611  ,      
 ,C,Atsu            ,NEW ,M,0.31 ,0.42 ,3.5,4.0 ,4.6 ,1344,4.8  ,2.0 ,13416  ,      
 ,A,Martial         ,MUN ,M,0.29 ,0.38 ,4.3,5.0 ,3.6 ,909 ,8.0  ,2.5 ,13251  ,      
x,N,Otamendi        ,MCI ,D,0.51 ,0.51 ,5.3,5.3 ,5.2 ,1870,6.5  ,33.3,12749  ,      
 ,A,Sánchez         ,ARS ,M,0.26 ,0.31 ,5.1,5.6 ,6.4 ,1501,11.8 ,3.1 ,12711  ,      
