O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,011220
,S,Agüero,MCI,F,0.38,0.42,6.5,6.9,5.2,1331,11.7,22.7,85496,
x,H,Kane,TOT,F,0.34,0.36,6.4,6.6,7.6,1771,12.9,45.5,186664,
x,R,Firmino,LIV,F,0.35,0.43,5.2,5.9,7.8,1505,9.1,36.5,-20884,
x,O,Niasse,EVE,F,0.49,0.81,4.3,5.8,1.4,567,4.7,4.1,29451,
,W,Rooney,EVE,F,0.43,0.49,5.2,5.7,3.0,1338,7.5,15.9,-26430,
,G,Jesus,MCI,F,0.23,0.37,4.3,5.7,0.4,1007,10.0,5.5,-67518,
,Á,Morata,CHE,F,0.3,0.3,5.1,5.2,2.2,1424,10.5,16.9,-66550,
,R,Lukaku,MUN,F,0.24,0.26,4.7,4.9,2.6,1813,11.3,22.6,-60789,
,C,Wilson,BOU,F,0.32,0.47,3.8,4.7,3.4,786,5.7,2.2,17812,
,J,Vardy,LEI,F,0.3,0.3,4.6,4.6,4.2,1819,8.6,15.1,-116856,
,L,Depoitre,HUD,F,0.29,0.45,3.6,4.5,5.2,1220,5.5,7.7,46181,
,A,Lacazette,ARS,F,0.18,0.21,3.9,4.2,3.8,1513,10.3,8.9,4967,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,4.16,~~~~,~~~,~~~~~,~,~~~,~~~~~~
,G,Murray,BHA,F,0.18,0.37,3.0,4.1,2.4,1143,5.7,2.5,21564,
,A,Gray,WAT,F,0.11,0.3,2.7,3.9,2.2,1120,6.3,1.8,8902,
,M,Rashford,MUN,F,0.16,0.22,3.2,3.7,2.0,1282,7.6,8.3,-12242,
,D,Calvert-Lewin,EVE,F,0.18,0.29,3.0,3.6,2.2,1520,5.5,11.6,-77611,
,J,Chicharito,WHU,F,0.15,0.24,3.0,3.6,1.8,1040,6.7,7.1,-10744,
,C,Wood,BUR,F,0.21,0.25,3.3,3.6,0.6,1021,6.3,0.8,-6280,
,M,Diouf,STK,F,0.19,0.26,3.0,3.4,1.0,1650,5.4,3.3,-22801,
,T,Abraham,SWA,F,0.21,0.23,3.2,3.3,1.2,1390,5.6,5.4,-58084,
,A,Pérez,NEW,F,0.08,0.21,2.4,3.1,2.6,1236,5.2,1.1,23370,
,A,Carroll,WHU,F,0.02,0.17,2.1,3.0,3.4,695,5.8,0.9,33303,
,J,Joselu,NEW,F,0.13,0.18,2.7,3.0,2.2,1358,5.5,0.7,-424,
,J,King,BOU,F,0.13,0.13,2.9,2.9,2.0,1465,7.0,1.1,-3616,
,J,Ayew,SWA,F,0.16,0.16,2.8,2.8,4.0,1685,5.0,5.5,65035,
,J,Rodriguez,WBA,F,0.07,0.13,2.4,2.7,2.8,1607,5.5,0.8,5042,
,S,Rondón,WBA,F,0.05,0.1,2.3,2.6,2.6,1380,6.0,0.6,3744,
,C,Benteke,CRY,F,0.04,0.05,2.3,2.4,4.0,1298,7.6,2.2,9842,
