O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,011220
x,N,Pope,BUR,G,0.6,0.6,4.9,4.9,3.4,1674,4.8,8.1,48203,
,D,de Gea,MUN,G,0.54,0.54,5.2,5.2,3.6,1980,5.9,42.7,6182,
,K,Darlow,NEW,G,0.5,0.5,4.2,4.2,3.2,540,4.4,0.3,5004,
,E,Ederson,MCI,G,0.44,0.45,4.4,4.5,6.2,1935,5.5,6.5,8924,
,M,Ryan,BHA,G,0.44,0.44,4.0,4.0,5.6,1980,4.5,2.3,17806,
x,A,Adrián,WHU,G,0.44,0.44,3.9,3.9,3.2,720,4.3,3.3,28073,
,L,Fabianski,SWA,G,0.43,0.43,4.0,4.0,3.6,1980,4.6,7.7,-7677,
,J,Pickford,EVE,G,0.41,0.41,4.0,4.0,5.0,1980,4.9,8.1,3105,
,T,Courtois,CHE,G,0.4,0.4,4.2,4.2,5.0,1980,5.5,13.4,-286,
,J,Lössl,HUD,G,0.39,0.39,3.8,3.8,3.6,1980,4.6,8.1,-11697,
,R,Elliot,NEW,G,0.39,0.39,3.6,3.6,3.0,1440,4.1,20.4,-44944,
~,~,~~~~~~~~,~~~~,~,~~~~,0.36,~~~,~~~~,~~~~,~~~,~~~~~,~,~~~,~~~~~~
,W,Hennessey,CRY,G,0.35,0.35,3.5,3.5,1.8,990,4.3,1.0,3049,
,F,Forster,SOU,G,0.33,0.33,3.6,3.6,1.2,1800,4.8,5.4,-25470,
,J,Speroni,CRY,G,0.32,0.32,3.3,3.3,2.2,990,4.1,5.4,-199,
,P,Cech,ARS,G,0.31,0.31,3.7,3.7,2.6,1980,5.4,4.9,-1341,
,S,Mignolet,LIV,G,0.31,0.31,3.5,3.5,3.4,1710,4.9,1.5,-2641,
,H,Lloris,TOT,G,0.31,0.31,3.7,3.7,3.6,1890,5.5,9.0,-11228,
,K,Schmeichel,LEI,G,0.3,0.3,3.5,3.5,2.2,1980,5.0,4.0,-5894,
,B,Foster,WBA,G,0.3,0.3,3.3,3.3,3.0,1890,4.4,9.4,-7023,
,J,Hart,WHU,G,0.28,0.28,3.2,3.2,0.0,1260,4.3,5.7,-9406,
,A,Begovic,BOU,G,0.24,0.24,3.1,3.1,1.2,1980,4.5,4.1,-8582,
,H,Gomes,WAT,G,0.18,0.18,2.8,2.8,1.8,1948,4.5,2.2,-4878,
,J,Butland,STK,G,0.14,0.14,2.7,2.7,3.0,1710,5.0,2.2,-2192,
