O,I,web_name     ,team,T,VA/M,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,011921
x,H,Kane         ,TOT ,F,0.36,0.38 ,6.7,7.0 ,10.0,1861,13.0 ,48.3,106891 ,      
 ,S,Agüero       ,MCI ,F,0.38,0.41 ,6.4,6.8 ,6.0 ,1421,11.7 ,23.3,34539  ,      
x,R,Firmino      ,LIV ,F,0.36,0.43 ,5.3,6.0 ,7.0 ,1595,9.2  ,39.5,191063 ,      
x,O,Niasse       ,EVE ,F,0.49,0.81 ,4.3,5.8 ,1.4 ,567 ,4.7  ,4.2 ,2833   ,      
 ,C,Wilson       ,BOU ,F,0.41,0.59 ,4.4,5.4 ,5.8 ,876 ,5.8  ,4.4 ,114083 ,      
 ,W,Rooney       ,EVE ,F,0.39,0.46 ,4.9,5.4 ,0.6 ,1428,7.4  ,14.7,-54882 ,      
 ,Á,Morata       ,CHE ,F,0.27,0.29 ,4.8,5.0 ,2.2 ,1514,10.4 ,12.1,-254483,      
 ,R,Lukaku       ,MUN ,F,0.24,0.26 ,4.7,4.9 ,2.0 ,1903,11.3 ,22.1,-32668 ,      
 ,J,Vardy        ,LEI ,F,0.29,0.29 ,4.5,4.5 ,4.2 ,1900,8.5  ,15.8,45189  ,      
 ,L,Depoitre     ,HUD ,F,0.27,0.42 ,3.5,4.3 ,3.0 ,1310,5.5  ,7.6 ,-18464 ,      
~,~,~~~~~~~~     ,~~~~,~,~~~~,~~~~~,~~~,4.13,~~~~,~~~ ,~~~~~,~   ,~~~    ,~~~~~~
 ,A,Lacazette    ,ARS ,F,0.17,0.2  ,3.8,4.1 ,3.8 ,1603,10.3 ,8.5 ,-24784 ,      
 ,A,Gray         ,WAT ,F,0.13,0.33 ,2.8,4.1 ,3.2 ,1192,6.3  ,1.9 ,6347   ,      
 ,G,Murray       ,BHA ,F,0.16,0.33 ,2.9,3.9 ,2.8 ,1233,5.7  ,2.3 ,-13329 ,      
 ,M,Rashford     ,MUN ,F,0.14,0.22 ,3.1,3.7 ,1.4 ,1292,7.6  ,7.4 ,-49055 ,      
 ,D,Calvert-Lewin,EVE ,F,0.19,0.3  ,3.0,3.6 ,1.2 ,1548,5.4  ,9.5 ,-97495 ,      
 ,D,Gayle        ,NEW ,F,0.07,0.26 ,2.4,3.6 ,1.4 ,1040,6.1  ,1.0 ,-11672 ,      
 ,J,Chicharito   ,WHU ,F,0.15,0.24 ,3.0,3.6 ,1.6 ,1040,6.7  ,6.6 ,-21131 ,      
 ,M,Diouf        ,STK ,F,0.17,0.26 ,2.9,3.4 ,0.8 ,1670,5.4  ,3.0 ,-11524 ,      
 ,T,Abraham      ,SWA ,F,0.22,0.24 ,3.2,3.3 ,0.8 ,1390,5.5  ,4.5 ,-36173 ,      
 ,A,Pérez        ,NEW ,F,0.1 ,0.23 ,2.5,3.2 ,3.2 ,1326,5.2  ,1.3 ,926    ,      
 ,J,Ayew         ,SWA ,F,0.2 ,0.22 ,3.0,3.1 ,5.4 ,1775,5.1  ,7.8 ,114053 ,      
 ,A,Carroll      ,WHU ,F,0.02,0.17 ,2.1,3.0 ,3.4 ,695 ,5.8  ,0.6 ,-16716 ,      
 ,J,Joselu       ,NEW ,F,0.18,0.18 ,3.0,3.0 ,3.2 ,1384,5.5  ,0.7 ,-25    ,      
 ,J,King         ,BOU ,F,0.13,0.13 ,2.9,2.9 ,1.8 ,1465,7.0  ,1.0 ,-1484  ,      
 ,J,Rodriguez    ,WBA ,F,0.09,0.15 ,2.5,2.8 ,3.6 ,1685,5.5  ,0.9 ,3141   ,      
 ,C,Benteke      ,CRY ,F,0.05,0.08 ,2.4,2.6 ,2.8 ,1388,7.6  ,2.2 ,-1567  ,      
 ,S,Rondón       ,WBA ,F,0.03,0.08 ,2.2,2.5 ,2.8 ,1470,6.0  ,0.6 ,-659   ,      
