O,I,web_name     ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,013013
 ,S,Agüero       ,MCI ,F,0.42 ,0.45 ,7.0,7.3 ,9.3 ,1511,11.9 ,28.6,282018 ,      
 ,N,Monreal      ,ARS ,D,0.54 ,0.48 ,5.0,4.7 ,5.3 ,1698,5.6  ,6.7 ,130035 ,      
x,X,Shaqiri      ,STK ,M,0.33 ,0.37 ,4.0,4.2 ,3.0 ,1794,6.0  ,7.5 ,114152 ,      
 ,L,Milivojevic  ,CRY ,M,0.26 ,0.3  ,3.2,3.4 ,6.7 ,1819,4.7  ,4.1 ,110095 ,      
 ,E,Hazard       ,CHE ,M,0.34 ,0.45 ,5.6,6.8 ,9.0 ,1338,10.6 ,8.3 ,109762 ,      
 ,R,Mahrez       ,LEI ,M,0.43 ,0.45 ,5.7,5.9 ,8.3 ,1939,8.7  ,14.8,109105 ,      
 ,J,Ayew         ,SWA ,F,0.19 ,0.19 ,3.0,3.0 ,4.0 ,1853,5.2  ,9.5 ,73830  ,      
 ,A,Sánchez      ,MUN ,M,0.26 ,0.31 ,5.1,5.6 ,0.7 ,1501,11.7 ,3.9 ,71570  ,      
x,O,Niasse       ,EVE ,F,0.53 ,0.81 ,4.5,5.8 ,3.0 ,588 ,4.7  ,5.4 ,64897  ,      
x,M,Salah        ,LIV ,M,0.57 ,0.61 ,7.9,8.3 ,4.3 ,1763,10.3 ,55.6,64888  ,      
 ,A,Martial      ,MUN ,M,0.36 ,0.5  ,4.9,6.0 ,11.0,1078,8.0  ,3.7 ,58612  ,      
 ,J,Vardy        ,LEI ,F,0.32 ,0.32 ,4.7,4.7 ,3.7 ,1988,8.5  ,17.0,56215  ,      
 ,J,Rodriguez    ,WBA ,F,0.15 ,0.2  ,2.8,3.1 ,5.3 ,1763,5.5  ,1.9 ,55039  ,      
 ,M,Diouf        ,STK ,F,0.2  ,0.3  ,3.1,3.6 ,3.0 ,1746,5.4  ,3.8 ,45447  ,      
 ,E,Choupo-Moting,STK ,M,0.33 ,0.41 ,3.8,4.2 ,3.0 ,1765,5.4  ,4.1 ,45403  ,      
 ,A,Chamberlain  ,LIV ,M,0.14 ,0.39 ,2.8,4.2 ,5.3 ,1217,5.7  ,4.2 ,37599  ,      
 ,W,Willian      ,CHE ,M,0.28 ,0.56 ,3.9,5.8 ,4.7 ,1188,6.8  ,8.2 ,37320  ,      
 ,H,Maguire      ,LEI ,D,0.35 ,0.35 ,3.9,3.9 ,6.7 ,2160,5.5  ,12.6,35365  ,      
 ,K,Schmeichel   ,LEI ,G,0.4  ,0.4  ,4.0,4.0 ,8.7 ,2160,5.0  ,4.9 ,34103  ,      
 ,V,Moses        ,CHE ,D,0.41 ,0.53 ,4.6,5.4 ,8.0 ,1242,6.4  ,1.9 ,32955  ,      
 ,E,Ederson      ,MCI ,G,0.39 ,0.41 ,4.2,4.3 ,2.3 ,2115,5.6  ,7.7 ,31782  ,      
x,M,Alonso       ,CHE ,D,0.51 ,0.51 ,5.7,5.7 ,7.0 ,2053,7.3  ,26.9,30579  ,      
 ,J,Allen        ,STK ,M,0.27 ,0.27 ,3.4,3.4 ,4.7 ,1962,5.1  ,2.0 ,29879  ,      
 ,A,Rüdiger      ,CHE ,D,0.53 ,0.58 ,5.1,5.4 ,4.0 ,1464,5.9  ,4.2 ,26946  ,      
 ,P,Jones        ,MUN ,D,0.58 ,0.63 ,5.3,5.6 ,7.0 ,1613,5.7  ,17.0,26716  ,      
 ,B,Chilwell     ,LEI ,D,0.09 ,0.19 ,2.4,2.8 ,3.0 ,997 ,4.3  ,1.1 ,23686  ,      
x,N,Pope         ,BUR ,G,0.54 ,0.54 ,4.6,4.6 ,2.0 ,1854,4.8  ,8.5 ,23667  ,      
 ,G,Xhaka        ,ARS ,M,0.21 ,0.21 ,3.1,3.1 ,2.7 ,2080,5.2  ,7.4 ,23120  ,      
 ,L,Fabianski    ,SWA ,G,0.48 ,0.48 ,4.2,4.2 ,4.3 ,2160,4.6  ,7.9 ,22882  ,      
 ,A,Doucouré     ,WAT ,M,0.42 ,0.42 ,4.2,4.2 ,4.3 ,2070,5.3  ,13.4,22625  ,      
 ,D,David Silva  ,MCI ,M,0.43 ,0.45 ,5.4,5.6 ,1.0 ,1696,8.0  ,9.1 ,22347  ,      
 ,J,Wilshere     ,ARS ,M,0.09 ,0.2  ,2.5,3.1 ,3.7 ,806 ,5.4  ,1.5 ,21263  ,      
x,R,Sterling     ,MCI ,M,0.55 ,0.64 ,6.9,7.7 ,5.0 ,1664,8.9  ,37.6,20188  ,      
