O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,013013
,B,Davies,TOT,D,0.53,0.65,4.9,5.6,5.5,1423,5.5,13.8,-9831,
,P,Jones,MUN,D,0.58,0.63,5.3,5.6,7.0,1613,5.7,17.0,26716,
,L,Shaw,MUN,D,0.61,0.61,5.0,5.0,4.0,442,4.9,1.2,-13936,
,R,Klavan,LIV,D,0.48,0.59,4.1,4.6,4.0,1172,4.4,2.6,-33062,
,A,Rüdiger,CHE,D,0.53,0.58,5.1,5.4,4.0,1464,5.9,4.2,26946,
,S,Ward,BUR,D,0.53,0.57,4.5,4.7,0.0,1470,4.7,6.8,-37032,
,A,Valencia,MUN,D,0.55,0.55,5.7,5.7,6.7,1775,6.7,9.0,18062,
,V,Moses,CHE,D,0.41,0.53,4.6,5.4,8.0,1242,6.4,1.9,32955,
x,M,Alonso,CHE,D,0.51,0.51,5.7,5.7,7.0,2053,7.3,26.9,30579,
,A,Dragovic,LEI,D,0.51,0.51,4.5,4.5,6.0,314,4.9,0.2,8620,
,C,Azpilicueta,CHE,D,0.5,0.5,5.5,5.5,4.7,2070,7.0,22.9,-3240,
,N,Monreal,ARS,D,0.54,0.48,5.0,4.7,5.3,1698,5.6,6.7,130035,
,S,Kolasinac,ARS,D,0.41,0.47,4.4,4.8,0.3,1431,5.9,6.9,-12139,
x,N,Otamendi,MCI,D,0.45,0.45,4.9,4.9,1.0,2050,6.5,31.8,-58280,
,L,Koscielny,ARS,D,0.42,0.42,4.5,4.5,3.3,1685,6.0,1.6,8570,
,C,Smalling,MUN,D,0.36,0.4,3.9,4.1,4.3,1365,5.3,2.2,7901,
,M,van der Hoorn,SWA,D,0.34,0.39,3.5,3.7,4.3,973,4.4,0.2,2899,
,S,Aurier,TOT,D,0.34,0.39,4.0,4.3,3.5,977,5.9,0.7,-10903,
,M,Yoshida,SOU,D,0.36,0.38,3.7,3.8,0.3,1534,4.7,2.9,-4715,
,K,Walker,MCI,D,0.33,0.38,4.2,4.5,2.3,1933,6.6,12.6,-13720,
,B,Bruno,BHA,D,0.29,0.36,3.3,3.6,0.7,1635,4.5,1.5,-2012,
,D,Lovren,LIV,D,0.26,0.36,3.4,3.9,2.7,1385,5.3,1.1,-6488,
,J,Gomez,LIV,D,0.3,0.36,3.4,3.7,1.7,1541,4.7,6.0,2751,
,H,Maguire,LEI,D,0.35,0.35,3.9,3.9,6.7,2160,5.5,12.6,35365,
x,J,Lascelles,NEW,D,0.35,0.35,3.6,3.6,3.7,1667,4.6,6.1,9978,
,C,Clark,NEW,D,0.3,0.34,3.3,3.5,3.7,1565,4.4,2.4,18092,
,H,Bellerín,ARS,D,0.33,0.33,4.0,4.0,6.0,2160,6.1,13.1,-3618,
,J,Tarkowski,BUR,D,0.32,0.32,3.5,3.5,1.7,1890,4.7,4.9,3502,
,C,Dawson,WBA,D,0.31,0.31,3.5,3.5,5.3,1250,4.8,1.2,3563,
x,A,Christensen,CHE,D,0.25,0.31,3.4,3.7,1.0,1337,5.5,3.8,-24580,
,B,Mee,BUR,D,0.27,0.27,3.3,3.3,1.3,1980,4.9,14.5,9081,
,K,Naughton,SWA,D,0.27,0.27,3.2,3.2,2.0,1966,4.5,3.0,9418,
,A,Cresswell,WHU,D,0.24,0.27,3.2,3.4,2.5,1839,5.1,3.7,-14310,
,J,Matip,LIV,D,0.24,0.26,3.3,3.4,1.0,1531,5.4,1.8,-416,
,A,Mawson,SWA,D,0.26,0.26,3.3,3.3,5.7,2160,5.0,1.2,16548,
~,~,~~~~~~~~,~~~~,~,~~~~,0.26,~~~,~~~~,~~~~,~~~,~~~~~,~,~~~,~~~~~~
,J,Vertonghen,TOT,D,0.25,0.25,3.5,3.5,4.3,2129,6.0,8.8,-37482,
,J,Kenny,EVE,D,0.2,0.24,2.9,3.1,0.7,1364,4.5,5.3,-21835,
,M,Rojo,MUN,D,-0.09,0.24,1.5,3.3,3.0,384,5.4,0.2,-1398,
,A,Hegazi,WBA,D,0.24,0.24,3.1,3.1,3.3,2126,4.6,18.9,-1065,
,A,Williams,EVE,D,0.15,0.23,2.8,3.2,1.0,1518,5.2,2.6,-5643,
