O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,gf ,020214
 ,T,Walcott       ,EVE ,M,0.15 ,1.04 ,3.1,9.5 ,5.3 ,243 ,7.2  ,4.6 ,168906 ,64 ,      
x,C,Wilson        ,BOU ,F,0.46 ,0.63 ,4.7,5.7 ,8.7 ,1056,5.9  ,7.4 ,120469 ,28 ,      
 ,J,Jordan Ayew   ,SWA ,F,0.23 ,0.25 ,3.2,3.3 ,6.0 ,1940,5.3  ,11.2,93690  ,15 ,      
 ,N,Monreal       ,ARS ,D,0.56 ,0.49 ,5.2,4.8 ,6.0 ,1788,5.7  ,8.3 ,79467  ,17 ,      
 ,A,Laporte       ,MCI ,D,0.73 ,0.73 ,6.0,6.0 ,6.0 ,90  ,5.5  ,1.1 ,60670  ,96 ,      
 ,N,Aké           ,BOU ,D,0.22 ,0.24 ,3.1,3.2 ,6.0 ,2182,4.9  ,4.9 ,53835  ,19 ,      
 ,K,De Bruyne     ,MCI ,M,0.43 ,0.43 ,6.4,6.4 ,7.3 ,2131,10.2 ,22.2,52014  ,4  ,      
x,R,Sterling      ,MCI ,M,0.56 ,0.65 ,7.0,7.8 ,5.3 ,1754,8.9  ,38.4,42962  ,2  ,      
 ,A,Martial       ,MUN ,M,0.35 ,0.46 ,4.8,5.7 ,8.0 ,1168,8.1  ,4.5 ,41377  ,16 ,      
 ,E,Can           ,LIV ,M,0.31 ,0.38 ,3.5,3.8 ,6.0 ,1613,4.8  ,4.4 ,34243  ,14 ,      
x,J,Lascelles     ,NEW ,D,0.41 ,0.41 ,3.9,3.9 ,4.3 ,1757,4.6  ,6.6 ,29752  ,8  ,      
 ,J,Ibe           ,BOU ,M,0.15 ,0.19 ,2.7,2.9 ,6.0 ,1434,4.8  ,1.3 ,28514  ,38 ,      
 ,S,Agüero        ,MCI ,F,0.42 ,0.45 ,7.0,7.3 ,9.3 ,1601,11.9 ,29.3,27565  ,2  ,      
 ,A,Mawson        ,SWA ,D,0.28 ,0.28 ,3.4,3.4 ,7.0 ,2250,5.0  ,1.7 ,25385  ,26 ,      
 ,A,Sánchez       ,MUN ,M,0.26 ,0.29 ,5.0,5.4 ,1.0 ,1591,11.7 ,4.3 ,24337  ,10 ,      
 ,F,Fernandinho   ,MCI ,M,0.27 ,0.29 ,3.4,3.5 ,4.3 ,2081,5.1  ,6.2 ,22587  ,6  ,      
 ,J,Vardy         ,LEI ,F,0.33 ,0.33 ,4.8,4.8 ,6.0 ,2078,8.6  ,17.4,21487  ,2  ,      
 ,S,Clucas        ,SWA ,M,0.17 ,0.32 ,2.8,3.5 ,6.7 ,1218,4.7  ,0.4 ,21480  ,94 ,      
 ,C,Eriksen       ,TOT ,M,0.39 ,0.39 ,5.6,5.6 ,5.3 ,2048,9.2  ,14.1,21449  ,3  ,      
 ,A,Valencia      ,MUN ,D,0.52 ,0.52 ,5.5,5.5 ,7.0 ,1865,6.7  ,9.4 ,19968  ,4  ,      
 ,J,Ward-Prowse   ,SOU ,M,0.18 ,0.48 ,2.9,4.4 ,8.3 ,1117,5.0  ,1.2 ,18927  ,27 ,      
 ,L,Milivojevic   ,CRY ,M,0.23 ,0.28 ,3.1,3.3 ,3.7 ,1909,4.7  ,4.5 ,15513  ,6  ,      
 ,L,Fabianski     ,SWA ,G,0.46 ,0.46 ,4.1,4.1 ,4.7 ,2250,4.6  ,8.2 ,15147  ,3  ,      
 ,C,Daniels       ,BOU ,D,0.23 ,0.23 ,3.1,3.1 ,3.3 ,1917,4.7  ,6.1 ,14885  ,4  ,      
 ,C,Smalling      ,MUN ,D,0.32 ,0.36 ,3.7,3.9 ,4.7 ,1455,5.3  ,2.5 ,14869  ,10 ,      
 ,J,Rodriguez     ,WBA ,F,0.15 ,0.18 ,2.8,3.0 ,5.3 ,1853,5.5  ,2.1 ,13810  ,11 ,      
 ,J,Stanislas     ,BOU ,M,0.31 ,0.34 ,3.8,4.0 ,5.3 ,773 ,5.9  ,0.3 ,12751  ,74 ,      
 ,S,Francis       ,BOU ,D,-0.05,0.02 ,1.8,2.1 ,3.0 ,1792,4.3  ,1.2 ,11927  ,17 ,      
 ,B,Davies        ,TOT ,D,0.55 ,0.65 ,5.0,5.6 ,5.5 ,1513,5.5  ,14.0,11486  ,1  ,      
x,N,Pope          ,BUR ,G,0.6  ,0.6  ,4.9,4.9 ,5.0 ,1944,4.8  ,8.7 ,11356  ,2  ,      
 ,K,Trippier      ,TOT ,D,0.56 ,0.69 ,4.9,5.6 ,3.0 ,1281,5.2  ,3.8 ,11281  ,5  ,      
x,M,Salah         ,LIV ,M,0.57 ,0.61 ,7.9,8.3 ,7.0 ,1845,10.3 ,55.8,11057  ,0  ,      
 ,P,Pogba         ,MUN ,M,0.5  ,0.5  ,6.0,6.0 ,5.0 ,1284,8.0  ,15.5,10818  ,1  ,      
 ,A,Hegazi        ,WBA ,D,0.22 ,0.22 ,3.0,3.0 ,3.3 ,2216,4.6  ,19.1,10811  ,1  ,      
 ,B,Chilwell      ,LEI ,D,0.07 ,0.16 ,2.3,2.7 ,3.3 ,1087,4.3  ,1.3 ,10808  ,14 ,      
 ,M,Özil          ,ARS ,M,0.27 ,0.31 ,4.5,4.9 ,2.8 ,1621,9.3  ,2.6 ,10746  ,7  ,      
