O,I,web_name     ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,020923
 ,S,Agüero       ,MCI ,F,0.39 ,0.42 ,6.7,7.0 ,7.5 ,1691,11.9 ,29.2,-37368,-2 ,      
x,H,Kane         ,TOT ,F,0.34 ,0.37 ,6.4,6.7 ,6.8 ,2131,12.8 ,44.0,838   ,0  ,      
 ,P,Aubameyang   ,ARS ,F,0.38 ,0.38 ,6.0,6.0 ,6.0 ,90  ,10.5 ,5.2 ,196251,65 ,      
x,R,Firmino      ,LIV ,F,0.35 ,0.4  ,5.2,5.7 ,5.0 ,1863,9.2  ,39.2,-15738,-1 ,      
x,C,Wilson       ,BOU ,F,0.43 ,0.57 ,4.6,5.4 ,7.0 ,1146,6.0  ,10.0,53126 ,9  ,      
 ,W,Rooney       ,EVE ,F,0.36 ,0.44 ,4.6,5.2 ,1.0 ,1537,7.3  ,10.7,-50521,-8 ,      
 ,Á,Morata       ,CHE ,F,0.27 ,0.29 ,4.8,5.0 ,0.3 ,1514,10.4 ,8.0 ,-31236,-7 ,      
 ,J,Vardy        ,LEI ,F,0.33 ,0.33 ,4.8,4.8 ,6.0 ,2168,8.6  ,17.6,-9515 ,-1 ,      
 ,R,Lukaku       ,MUN ,F,0.24 ,0.25 ,4.7,4.8 ,4.5 ,2159,11.3 ,20.8,-9431 ,-1 ,      
 ,G,Murray       ,BHA ,F,0.21 ,0.4  ,3.2,4.3 ,4.3 ,1402,5.7  ,2.6 ,25719 ,17 ,      
 ,A,Lacazette    ,ARS ,F,0.19 ,0.21 ,3.9,4.1 ,3.0 ,1783,10.2 ,7.2 ,-49474,-12,      
 ,A,Gray         ,WAT ,F,0.1  ,0.33 ,2.6,4.1 ,2.3 ,1245,6.3  ,1.6 ,-5946 ,-6 ,      
~,~,~~~~~~~~     ,~~~~,~,~~~~ ,~~~~~,~~~,4.1 ,~~~~,~~~ ,~~~~~,~   ,~~~   ,~~ ,~~~~~~
 ,L,Depoitre     ,HUD ,F,0.25 ,0.38 ,3.3,4.0 ,1.8 ,1501,5.3  ,4.0 ,-59703,-26,      
 ,J,Chicharito   ,WHU ,F,0.24 ,0.3  ,3.6,4.0 ,5.3 ,1246,6.7  ,7.4 ,24507 ,6  ,      
 ,M,Rashford     ,MUN ,F,0.14 ,0.23 ,3.0,3.7 ,0.8 ,1321,7.4  ,5.8 ,-15897,-5 ,      
 ,D,Calvert-Lewin,EVE ,F,0.19 ,0.31 ,3.0,3.6 ,1.8 ,1585,5.2  ,5.4 ,-7541 ,-2 ,      
 ,M,Diouf        ,STK ,F,0.17 ,0.26 ,2.9,3.4 ,2.5 ,1837,5.4  ,3.2 ,-16276,-9 ,      
 ,T,Abraham      ,SWA ,F,0.22 ,0.24 ,3.2,3.3 ,0.0 ,1390,5.4  ,3.6 ,-5354 ,-3 ,      
 ,C,Benteke      ,CRY ,F,0.13 ,0.16 ,3.0,3.2 ,5.8 ,1658,7.6  ,2.5 ,-862  ,-1 ,      
 ,A,Pérez        ,NEW ,F,0.1  ,0.23 ,2.5,3.2 ,3.3 ,1515,5.2  ,1.2 ,-1297 ,-2 ,      
 ,J,Jordan Ayew  ,SWA ,F,0.22 ,0.22 ,3.2,3.2 ,5.0 ,2030,5.4  ,13.4,82422 ,11 ,      
 ,J,King         ,BOU ,F,0.13 ,0.16 ,2.9,3.1 ,2.0 ,1566,7.0  ,1.1 ,3431  ,5  ,      
 ,J,Rodriguez    ,WBA ,F,0.13 ,0.18 ,2.7,3.0 ,4.3 ,1881,5.5  ,2.1 ,-16070,-13,      
 ,J,Joselu       ,NEW ,F,0.15 ,0.15 ,2.8,2.8 ,2.3 ,1549,5.5  ,0.6 ,-3800 ,-11,      
 ,S,Rondón       ,WBA ,F,0.05 ,0.1  ,2.3,2.6 ,2.8 ,1727,6.0  ,0.6 ,955   ,3  ,      
 ,A,Barnes       ,BUR ,F,-0.04,0.06 ,1.8,2.3 ,1.5 ,1254,5.2  ,0.9 ,-1145 ,-2 ,      
 ,T,Deeney       ,WAT ,F,0.06 ,0.05 ,2.4,2.3 ,3.5 ,943 ,6.3  ,0.4 ,3269  ,14 ,      
