O,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,020923
 ,O,Karnezis  ,WAT ,G,0.33,0.6  ,3.5,4.7 ,3.5 ,301 ,4.5  ,0.0 ,377   ,0.0,      
x,N,Pope      ,BUR ,G,0.59,0.59 ,4.9,4.9 ,5.0 ,2034,4.9  ,9.6 ,43235 ,8  ,      
 ,L,Karius    ,LIV ,G,0.54,0.54 ,4.6,4.6 ,4.5 ,630 ,4.8  ,0.4 ,6489  ,28 ,      
 ,D,de Gea    ,MUN ,G,0.54,0.54 ,5.2,5.2 ,5.3 ,2340,5.9  ,43.6,17291 ,1  ,      
 ,L,Fabianski ,SWA ,G,0.46,0.46 ,4.1,4.1 ,4.3 ,2340,4.6  ,8.6 ,19846 ,4  ,      
 ,W,Hennessey ,CRY ,G,0.4 ,0.4  ,3.7,3.7 ,4.3 ,1350,4.3  ,1.7 ,7995  ,8  ,      
 ,J,Lössl     ,HUD ,G,0.39,0.39 ,3.8,3.8 ,3.5 ,2340,4.6  ,7.2 ,2915  ,1  ,      
 ,E,Ederson   ,MCI ,G,0.39,0.39 ,4.2,4.2 ,3.0 ,2295,5.6  ,7.7 ,-4843 ,-1 ,      
 ,R,Elliot    ,NEW ,G,0.39,0.39 ,3.6,3.6 ,0.0 ,1440,4.1  ,18.3,-25495,-2 ,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,0.37 ,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,~~~   ,~~ ,~~~~~~
 ,M,Ryan      ,BHA ,G,0.36,0.36 ,3.6,3.6 ,1.8 ,2340,4.5  ,2.6 ,-1534 ,-1 ,      
 ,T,Courtois  ,CHE ,G,0.36,0.36 ,4.0,4.0 ,2.0 ,2250,5.5  ,11.6,-12666,-2 ,      
 ,K,Schmeichel,LEI ,G,0.36,0.36 ,3.8,3.8 ,5.8 ,2340,5.0  ,5.0 ,-7590 ,-3 ,      
 ,J,Pickford  ,EVE ,G,0.35,0.35 ,3.7,3.7 ,1.8 ,2340,4.9  ,8.0 ,-8292 ,-2 ,      
 ,F,Forster   ,SOU ,G,0.34,0.34 ,3.6,3.6 ,0.0 ,1800,4.7  ,4.3 ,-8275 ,-3 ,      
 ,H,Lloris    ,TOT ,G,0.33,0.33 ,3.8,3.8 ,3.5 ,2160,5.4  ,8.0 ,-1564 ,0  ,      
 ,S,Mignolet  ,LIV ,G,0.31,0.31 ,3.5,3.5 ,0.0 ,1710,4.8  ,1.2 ,-1941 ,-3 ,      
 ,B,Foster    ,WBA ,G,0.3 ,0.3  ,3.3,3.3 ,3.5 ,2250,4.4  ,9.7 ,-5011 ,-1 ,      
 ,P,Cech      ,ARS ,G,0.28,0.28 ,3.5,3.5 ,2.0 ,2319,5.4  ,4.5 ,-16412,-6 ,      
 ,J,Hart      ,WHU ,G,0.28,0.28 ,3.2,3.2 ,0.0 ,1260,4.3  ,5.1 ,-4487 ,-2 ,      
 ,A,Begovic   ,BOU ,G,0.27,0.27 ,3.2,3.2 ,3.5 ,2340,4.5  ,4.1 ,1279  ,1  ,      
x,A,Adrián    ,WHU ,G,0.27,0.27 ,3.2,3.2 ,1.8 ,1080,4.4  ,3.6 ,-5021 ,-2 ,      
 ,J,Butland   ,STK ,G,0.24,0.24 ,3.2,3.2 ,5.3 ,2070,5.0  ,2.3 ,1283  ,1  ,      
 ,H,Gomes     ,WAT ,G,0.16,0.16 ,2.7,2.7 ,0.3 ,2038,4.5  ,1.5 ,-5769 ,-7 ,      
