O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,021211
,B,Davies,TOT,D,0.55,0.66,5.1,5.7,6.6,1693,5.6,16.3,80242,9,
,K,Trippier,TOT,D,0.54,0.63,4.8,5.3,3.8,1461,5.2,4.3,14290,6,
,S,Ward,BUR,D,0.53,0.57,4.5,4.7,0.0,1470,4.7,6.3,1053,0,
,A,Rüdiger,CHE,D,0.49,0.53,4.9,5.1,1.8,1526,5.9,3.8,-5980,-3,
,P,Jones,MUN,D,0.49,0.53,4.8,5.0,3.0,1793,5.7,15.5,-17142,-2,
,S,Mustafi,ARS,D,0.39,0.48,4.1,4.6,2.0,1499,5.4,3.0,-2762,-2,
,S,Kolasinac,ARS,D,0.38,0.48,4.2,4.8,0.4,1476,5.8,6.4,-3746,-1,
x,M,Alonso,CHE,D,0.48,0.48,5.5,5.5,1.8,2143,7.3,22.2,-46564,-4,
,V,Moses,CHE,D,0.38,0.48,4.4,5.1,4.3,1332,6.4,1.9,-2346,-2,
,A,Valencia,MUN,D,0.48,0.48,5.3,5.3,5.6,2045,6.9,11.5,-4087,-1,
,N,Monreal,ARS,D,0.51,0.47,4.9,4.7,5.4,1923,5.7,8.2,7630,2,
,M,Lowton,BUR,D,0.44,0.44,3.9,3.9,1.5,1305,4.3,2.3,5701,4,
,C,Azpilicueta,CHE,D,0.44,0.44,5.1,5.1,1.8,2250,7.0,22.0,-14496,-1,
x,N,Otamendi,MCI,D,0.42,0.42,4.7,4.7,2.2,2310,6.4,30.8,-27223,-2,
,L,Koscielny,ARS,D,0.4,0.4,4.4,4.4,4.0,1955,6.0,1.9,-1019,-1,
x,J,Lascelles,NEW,D,0.4,0.4,3.9,3.9,4.8,1937,4.7,7.3,10706,3,
,M,Yoshida,SOU,D,0.37,0.39,3.7,3.8,0.0,1534,4.6,2.5,-1541,-1,
,J,Gomez,LIV,D,0.32,0.38,3.5,3.8,1.8,1631,4.7,4.7,-14664,-5,
,A,Robertson,LIV,D,0.38,0.38,3.8,3.8,3.0,1244,4.7,3.6,7252,3,
,B,Bruno,BHA,D,0.29,0.36,3.3,3.6,0.0,1635,4.5,1.3,-1982,-3,
,D,Lovren,LIV,D,0.25,0.36,3.3,3.9,2.0,1566,5.3,1.2,-281,0,
,M,van der Hoorn,SWA,D,0.34,0.36,3.5,3.6,4.0,1243,4.4,0.5,3852,13,
,C,Smalling,MUN,D,0.33,0.35,3.8,3.9,4.6,1635,5.4,4.0,-3030,-1,
,K,Walker,MCI,D,0.32,0.35,4.1,4.3,3.0,2203,6.6,12.6,-4407,-1,
,J,Collins,WHU,D,0.35,0.35,3.5,3.5,3.3,867,4.3,0.3,2489,14,
,J,Tarkowski,BUR,D,0.33,0.33,3.5,3.5,0.5,1890,4.6,2.8,-10147,-6,
,A,Christensen,CHE,D,0.25,0.32,3.3,3.7,0.5,1364,5.3,1.4,-3200,-4,
,J,Matip,LIV,D,0.24,0.3,3.3,3.6,2.6,1723,5.4,1.8,201,0,
,C,Clark,NEW,D,0.27,0.3,3.2,3.3,1.8,1745,4.4,2.2,-3136,-2,
,K,Naughton,SWA,D,0.3,0.3,3.4,3.4,5.3,2236,4.6,4.3,30099,12,
,H,Maguire,LEI,D,0.29,0.29,3.6,3.6,2.5,2430,5.5,12.5,-5549,-1,
,F,Fernández,SWA,D,0.29,0.29,3.3,3.3,7.3,1890,4.5,3.8,11889,5,
x,A,Mawson,SWA,D,0.29,0.29,3.5,3.5,7.3,2430,5.1,3.5,13974,7,
,A,Cresswell,WHU,D,0.27,0.29,3.4,3.5,3.8,2109,5.1,3.4,2865,1,
,H,Bellerín,ARS,D,0.28,0.28,3.7,3.7,2.8,2430,6.1,11.7,-8967,-1,
,J,Vertonghen,TOT,D,0.28,0.28,3.7,3.7,4.8,2399,6.0,8.8,10339,2,
,G,Cahill,CHE,D,0.13,0.26,2.8,3.6,0.3,1436,6.2,2.6,-415,0,
,A,Hegazi,WBA,D,0.26,0.26,3.2,3.2,2.5,2306,4.7,20.6,6960,1,
,C,Löwe,HUD,D,0.14,0.25,2.6,3.1,0.3,1312,4.4,1.3,-1226,-2,
,C,Dawson,WBA,D,0.25,0.25,3.2,3.2,0.8,1430,4.8,1.3,235,0,
,D,Sánchez,TOT,D,0.2,0.23,3.2,3.4,4.4,1710,6.0,0.5,1429,5,
~,~,~~~~~~~~,~~~~,~,~~~~,0.23,~~~,~~~~,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,B,Mee,BUR,D,0.22,0.22,3.1,3.1,1.5,2250,4.9,14.6,-1634,0,
,J,Evans,WBA,D,0.2,0.22,3.0,3.1,0.5,1813,4.9,1.3,-1545,-2,
,A,Williams,EVE,D,0.1,0.21,2.5,3.1,0.8,1655,5.2,2.5,-1218,-1,
,J,Kenny,EVE,D,0.16,0.21,2.7,2.9,0.6,1499,4.3,3.8,-5184,-2,
,S,Steve Cook,BOU,D,0.13,0.2,2.6,2.9,2.0,1774,4.6,1.1,-1234,-2,
,N,Aké,BOU,D,0.18,0.2,2.9,3.0,4.0,2362,5.0,6.2,-658,0,
,G,Bong,BHA,D,0.2,0.2,2.9,2.9,1.5,1260,4.4,0.2,71,1,
,J,Tomkins,CRY,D,0.16,0.2,2.7,2.9,1.0,1492,4.4,2.8,-2462,-2,
,J,Stephens,SOU,D,0.2,0.2,2.9,2.9,4.3,1350,4.5,0.7,1564,4,
,C,Martina,EVE,D,0.16,0.2,2.7,2.9,2.4,1650,4.4,2.2,4432,3,
,C,Daniels,BOU,D,0.19,0.19,2.9,2.9,2.4,2097,4.7,6.8,-1530,0,
,C,Fuchs,LEI,D,0.13,0.19,2.6,2.9,1.0,1564,4.8,2.0,5,0,
,K,Gibbs,WBA,D,0.16,0.18,2.8,2.9,0.5,1806,5.0,0.4,-448,-2,
,S,Duffy,BHA,D,0.17,0.17,2.8,2.8,1.3,2322,4.6,3.8,-730,0,
,R,Shawcross,STK,D,0.15,0.17,2.7,2.8,3.4,1651,4.8,0.9,-215,0,
,C,Schindler,HUD,D,0.15,0.15,2.7,2.7,1.3,2274,4.6,2.9,-1893,-1,
,R,Bertrand,SOU,D,0.15,0.15,2.8,2.8,2.0,2155,5.3,4.5,-486,0,
,A,Nyom,WBA,D,0.1,0.15,2.5,2.7,0.5,1496,4.8,1.1,-193,0,
,M,Olsson,SWA,D,0.14,0.14,2.7,2.7,2.5,2214,5.0,0.3,-27,0,
,M,Zanka,HUD,D,0.13,0.13,2.6,2.6,1.3,2430,4.5,6.2,-1707,0,
,J,Holebas,WAT,D,0.08,0.13,2.4,2.6,2.0,1481,4.8,0.4,-11,0,
,W,Reid,WHU,D,0.13,0.13,2.6,2.6,0.0,1426,4.8,0.6,-202,-1,
,K,Zouma,STK,D,0.11,0.11,2.6,2.6,3.2,2135,5.4,1.9,-479,0,
,C,Kabasele,WAT,D,0.09,0.11,2.4,2.5,1.5,2039,4.5,1.0,-3486,-6,
,P,Zabaleta,WHU,D,0.1,0.1,2.5,2.5,2.5,2299,4.9,2.2,-214,0,
,L,Dunk,BHA,D,0.09,0.09,2.4,2.4,1.3,2430,4.5,3.5,-1165,-1,
,M,Keane,EVE,D,0.06,0.09,2.3,2.5,1.6,1569,5.3,4.4,-417,0,
,D,Yedlin,NEW,D,0.07,0.09,2.3,2.4,2.5,1919,4.4,0.7,757,2,
x,A,Ogbonna,WHU,D,0.09,0.09,2.4,2.4,2.5,1980,4.5,5.2,-2128,-1,
,V,van Dijk,LIV,D,0.05,0.07,2.3,2.4,2.0,1263,5.5,5.6,7791,2,
,J,Manquillo,NEW,D,0.07,0.07,2.3,2.3,0.3,1685,4.4,0.8,-466,-1,
,E,Pieters,STK,D,0.06,0.06,2.3,2.3,3.4,2020,4.7,0.4,180,1,
,W,Hoedt,SOU,D,0.06,0.06,2.3,2.3,2.3,1530,5.0,0.1,-10,0,
,D,Simpson,LEI,D,0.02,0.05,2.1,2.2,0.3,1783,4.3,1.9,835,1,
,C,Cédric,SOU,D,0.04,0.04,2.2,2.2,1.5,1804,4.7,2.4,-282,0,
,A,Adam Smith,BOU,D,-0.02,0.02,1.9,2.1,1.0,1786,4.8,0.4,-86,0,
,J,Schlupp,CRY,D,0.02,0.02,2.1,2.1,0.0,1560,4.7,0.2,-143,-1,
,W,Morgan,LEI,D,0.0,0.02,2.0,2.1,0.0,1917,4.4,1.7,-968,-1,
,A,Mariappa,WAT,D,-0.05,0.02,1.8,2.1,2.3,1299,4.1,4.6,2503,1,
,A,Masuaku,WHU,D,0.02,0.02,2.1,2.1,0.3,1323,4.3,0.8,-1501,-3,
,S,Dann,CRY,D,-0.02,0.0,1.9,2.0,0.0,1434,4.6,0.3,-114,-1,
,T,Fosu-Mensah,CRY,D,-0.02,0.0,1.9,2.0,1.0,1500,4.4,1.2,-227,0,
,S,Francis,BOU,D,-0.07,-0.02,1.7,1.9,2.0,1972,4.3,1.5,401,0,
,J,Ward,CRY,D,-0.02,-0.02,1.9,1.9,0.3,1304,4.7,0.2,-11,0,
,P,Jagielka,EVE,D,-0.04,-0.02,1.8,1.9,0.2,1264,4.7,2.3,-748,-1,
,T,Smith,HUD,D,0.0,-0.02,2.0,1.9,0.0,1609,4.7,0.2,-252,-2,
,G,Cameron,STK,D,-0.12,-0.09,1.5,1.6,0.4,1227,4.3,0.3,-106,-1,
,K,Wimmer,STK,D,-0.22,-0.17,1.1,1.3,0.2,1321,4.1,0.3,-69,0,
