O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,021211
,S,Agüero,MCI,F,0.45,0.48,7.4,7.7,10.2,1781,12.0,30.1,54865,3,
x,H,Kane,TOT,F,0.34,0.36,6.4,6.6,6.6,2221,12.8,44.4,20122,1,
x,R,Firmino,LIV,F,0.37,0.43,5.4,6.0,6.4,1941,9.2,39.2,5047,0,
,O,Niasse,EVE,F,0.56,0.75,4.7,5.6,4.6,842,4.8,6.5,49699,13,
x,C,Wilson,BOU,F,0.4,0.52,4.4,5.1,6.0,1236,6.0,10.1,-8581,-1,
,W,Rooney,EVE,F,0.35,0.43,4.5,5.1,1.2,1627,7.2,10.4,-10488,-2,
,Á,Morata,CHE,F,0.27,0.29,4.8,5.0,0.0,1514,10.4,7.8,-8755,-2,
,S,Mounie,HUD,F,0.26,0.49,3.5,4.8,4.8,1095,5.7,0.8,3543,8,
,J,Vardy,LEI,F,0.33,0.33,4.8,4.8,6.8,2258,8.6,17.8,15120,1,
,R,Lukaku,MUN,F,0.23,0.24,4.6,4.7,4.0,2249,11.3,20.5,-15159,-1,
,G,Murray,BHA,F,0.19,0.39,3.1,4.2,4.3,1472,5.7,2.7,-680,0,
,J,Chicharito,WHU,F,0.27,0.33,3.8,4.2,7.0,1333,6.7,7.6,7950,2,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,4.11,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,A,Lacazette,ARS,F,0.18,0.21,3.8,4.1,2.6,1808,10.2,6.9,-6247,-2,
,A,Gray,WAT,F,0.08,0.33,2.5,4.1,1.0,1253,6.3,1.5,-1660,-2,
,L,Depoitre,HUD,F,0.25,0.38,3.3,4.0,1.3,1501,5.3,3.5,-13140,-6,
,P,Aubameyang,ARS,F,0.19,0.19,4.0,4.0,4.0,180,10.5,5.4,-16085,-5,
,M,Rashford,MUN,F,0.14,0.23,3.0,3.7,0.6,1321,7.4,5.7,-7331,-2,
,D,Calvert-Lewin,EVE,F,0.19,0.31,3.0,3.6,1.4,1585,5.2,5.2,-12974,-4,
,D,Gayle,NEW,F,0.05,0.26,2.3,3.6,2.3,1228,6.1,0.8,-107,0,
,M,Diouf,STK,F,0.17,0.26,2.9,3.4,2.4,1927,5.4,3.0,-5090,-3,
,C,Benteke,CRY,F,0.13,0.17,3.0,3.3,5.8,1748,7.6,2.5,-941,-1,
,T,Abraham,SWA,F,0.2,0.24,3.1,3.3,0.3,1406,5.4,3.5,-1861,-1,
,A,Pérez,NEW,F,0.1,0.23,2.5,3.2,2.5,1605,5.2,1.1,-460,-1,
,J,Jordan Ayew,SWA,F,0.2,0.22,3.1,3.2,3.5,2120,5.4,13.6,-3685,0,
,J,King,BOU,F,0.11,0.16,2.8,3.1,1.8,1598,7.0,1.1,-310,0,
,J,Rodriguez,WBA,F,0.13,0.18,2.7,3.0,3.0,1881,5.5,2.0,-2013,-2,
,J,Joselu,NEW,F,0.13,0.15,2.7,2.8,0.8,1559,5.5,0.6,-695,-2,
,S,Rondón,WBA,F,0.05,0.1,2.3,2.6,2.3,1727,6.0,0.6,-13,0,
,A,Barnes,BUR,F,-0.04,0.06,1.8,2.3,1.5,1344,5.2,0.9,-769,-1,
,T,Deeney,WAT,F,0.06,0.05,2.4,2.3,3.0,1033,6.3,0.4,374,2,
