O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn  ,gf,030318
 ,D,Danilo          ,MCI ,D,0.48 ,0.78 ,4.4,5.9 ,4.3 ,945 ,5.0  ,2.9 ,1866 ,1 ,      
 ,B,Davies          ,TOT ,D,0.55 ,0.66 ,5.2,5.8 ,6.5 ,1873,5.8  ,23.2,7320 ,1 ,      
 ,K,Trippier        ,TOT ,D,0.53 ,0.62 ,4.8,5.3 ,1.8 ,1461,5.3  ,5.1 ,-3697,-1,      
 ,T,Alexander-Arnold,LIV ,D,0.56 ,0.56 ,4.4,4.4 ,4.3 ,1069,4.3  ,3.2 ,2304 ,1 ,      
 ,P,Jones           ,MUN ,D,0.5  ,0.54 ,4.8,5.0 ,0.5 ,1793,5.6  ,8.5 ,-8481,-2,      
 ,S,Ward            ,BUR ,D,0.47 ,0.51 ,4.2,4.4 ,1.0 ,1650,4.7  ,7.0 ,907  ,0 ,      
 ,V,Moses           ,CHE ,D,0.41 ,0.5  ,4.6,5.2 ,3.3 ,1499,6.4  ,1.9 ,482  ,0 ,      
 ,A,Rüdiger         ,CHE ,D,0.47 ,0.49 ,4.8,4.9 ,1.8 ,1706,5.9  ,3.4 ,256  ,0 ,      
 ,N,Monreal         ,ARS ,D,0.52 ,0.48 ,4.9,4.7 ,0.8 ,1923,5.6  ,6.7 ,-6255,-2,      
 ,M,van der Hoorn   ,SWA ,D,0.39 ,0.48 ,3.7,4.1 ,4.8 ,1378,4.4  ,0.5 ,1426 ,5 ,      
 ,M,Lowton          ,BUR ,D,0.47 ,0.47 ,4.0,4.0 ,3.8 ,1485,4.3  ,2.7 ,3208 ,2 ,      
x,M,Alonso          ,CHE ,D,0.46 ,0.46 ,5.3,5.3 ,0.3 ,2233,7.2  ,19.6,146  ,0 ,      
 ,A,Valencia        ,MUN ,D,0.45 ,0.45 ,5.1,5.1 ,2.0 ,2135,6.9  ,11.7,-581 ,0 ,      
 ,S,Mustafi         ,ARS ,D,0.35 ,0.44 ,3.9,4.4 ,1.8 ,1589,5.4  ,3.0 ,438  ,0 ,      
 ,C,Azpilicueta     ,CHE ,D,0.44 ,0.44 ,5.1,5.1 ,2.3 ,2430,7.0  ,20.6,-509 ,0 ,      
 ,S,Aurier          ,TOT ,D,0.41 ,0.44 ,4.4,4.6 ,3.3 ,1157,5.9  ,0.5 ,167  ,1 ,      
 ,S,Kolasinac       ,ARS ,D,0.34 ,0.43 ,4.0,4.5 ,0.3 ,1566,5.8  ,6.5 ,-102 ,0 ,      
 ,A,Robertson       ,LIV ,D,0.43 ,0.43 ,4.1,4.1 ,4.8 ,1424,4.9  ,6.2 ,3758 ,1 ,      
 ,N,Otamendi        ,MCI ,D,0.42 ,0.42 ,4.7,4.7 ,2.3 ,2400,6.4  ,28.2,1294 ,0 ,      
 ,D,Lovren          ,LIV ,D,0.28 ,0.4  ,3.5,4.1 ,2.3 ,1656,5.3  ,1.1 ,67   ,0 ,      
 ,K,Walker          ,MCI ,D,0.35 ,0.39 ,4.3,4.6 ,3.5 ,2274,6.6  ,12.4,-1832,0 ,      
 ,M,Yoshida         ,SOU ,D,0.37 ,0.39 ,3.7,3.8 ,0.0 ,1534,4.6  ,1.8 ,-472 ,0 ,      
 ,J,Gomez           ,LIV ,D,0.32 ,0.38 ,3.5,3.8 ,0.0 ,1631,4.7  ,4.0 ,-2130,-1,      
 ,L,Koscielny       ,ARS ,D,0.37 ,0.37 ,4.2,4.2 ,2.5 ,2045,6.0  ,1.8 ,106  ,0 ,      
 ,B,Bruno           ,BHA ,D,0.29 ,0.36 ,3.3,3.6 ,0.0 ,1635,4.5  ,1.0 ,-163 ,0 ,      
x,J,Lascelles       ,NEW ,D,0.36 ,0.36 ,3.7,3.7 ,2.5 ,2117,4.7  ,7.8 ,1534 ,0 ,      
