O,I,web_name     ,team,T,VA/M,VA/ML,p/g,p/gl,form,min ,price,%   ,txn  ,gf,030318
 ,S,Agüero       ,MCI ,F,0.44,0.46 ,7.3,7.5 ,7.0 ,1862,12.0 ,26.5,2584 ,0 ,      
x,H,Kane         ,TOT ,F,0.34,0.36 ,6.4,6.6 ,5.3 ,2401,12.9 ,46.8,-14  ,0 ,      
x,R,Firmino      ,LIV ,F,0.37,0.43 ,5.5,6.0 ,6.8 ,2109,9.4  ,42.1,1917 ,0 ,      
 ,O,Niasse       ,EVE ,F,0.45,0.61 ,4.2,5.0 ,4.0 ,920 ,4.9  ,8.0 ,-1787,0 ,      
 ,R,Lukaku       ,MUN ,F,0.26,0.27 ,4.9,5.0 ,5.0 ,2339,11.2 ,21.5,57   ,0 ,      
 ,W,Rooney       ,EVE ,F,0.32,0.4  ,4.3,4.9 ,1.3 ,1739,7.2  ,10.4,-1632,0 ,      
x,C,Wilson       ,BOU ,F,0.37,0.47 ,4.2,4.8 ,2.0 ,1384,6.0  ,8.6 ,-2767,-1,      
 ,Á,Morata       ,CHE ,F,0.25,0.27 ,4.6,4.8 ,1.3 ,1633,10.4 ,7.6 ,-86  ,0 ,      
 ,S,Mounie       ,HUD ,F,0.28,0.49 ,3.6,4.8 ,6.3 ,1275,5.7  ,1.3 ,2203 ,3 ,      
 ,G,Murray       ,BHA ,F,0.26,0.45 ,3.5,4.6 ,5.0 ,1553,5.8  ,3.9 ,2512 ,1 ,      
 ,J,Vardy        ,LEI ,F,0.3 ,0.3  ,4.6,4.6 ,3.8 ,2438,8.7  ,18.8,-2387,0 ,      
~,~,~~~~~~~~     ,~~~~,~,~~~~,~~~~~,~~~,4.15,~~~~,~~~ ,~~~~~,~   ,~~~  ,~~,~~~~~~
 ,A,Lacazette    ,ARS ,F,0.18,0.21 ,3.8,4.1 ,0.3 ,1808,10.2 ,6.2 ,-489 ,0 ,      
 ,D,Gayle        ,NEW ,F,0.11,0.34 ,2.7,4.1 ,5.5 ,1370,6.1  ,1.0 ,484  ,1 ,      
 ,J,Chicharito   ,WHU ,F,0.24,0.31 ,3.6,4.1 ,4.5 ,1430,6.7  ,8.2 ,-758 ,0 ,      
 ,L,Depoitre     ,HUD ,F,0.21,0.38 ,3.1,4.0 ,1.0 ,1521,5.2  ,2.8 ,-300 ,0 ,      
 ,M,Rashford     ,MUN ,F,0.14,0.23 ,3.0,3.7 ,0.3 ,1321,7.4  ,5.3 ,-229 ,0 ,      
 ,D,Calvert-Lewin,EVE ,F,0.16,0.27 ,2.8,3.4 ,1.8 ,1683,5.1  ,4.7 ,-723 ,0 ,      
 ,T,Deeney       ,WAT ,F,0.16,0.22 ,3.0,3.4 ,6.5 ,1213,6.3  ,0.8 ,1050 ,2 ,      
 ,J,King         ,BOU ,F,0.14,0.19 ,3.0,3.3 ,4.3 ,1778,7.0  ,1.3 ,278  ,0 ,      
 ,M,Diouf        ,STK ,F,0.15,0.25 ,2.8,3.3 ,1.3 ,2012,5.3  ,2.6 ,-1434,-1,      
 ,J,Jordan Ayew  ,SWA ,F,0.22,0.24 ,3.2,3.3 ,3.3 ,2300,5.4  ,13.1,3812 ,1 ,      
 ,T,Abraham      ,SWA ,F,0.19,0.24 ,3.0,3.3 ,1.5 ,1431,5.4  ,3.7 ,-286 ,0 ,      
 ,C,Benteke      ,CRY ,F,0.13,0.16 ,3.0,3.2 ,3.0 ,1838,7.6  ,2.6 ,-137 ,0 ,      
 ,A,Pérez        ,NEW ,F,0.1 ,0.23 ,2.5,3.2 ,3.0 ,1701,5.2  ,1.2 ,-40  ,0 ,      
 ,A,Barnes       ,BUR ,F,0.02,0.17 ,2.1,2.9 ,4.0 ,1524,5.2  ,1.0 ,1683 ,3 ,      
 ,J,Rodriguez    ,WBA ,F,0.11,0.17 ,2.6,2.9 ,1.8 ,2143,5.4  ,1.8 ,-498 ,0 ,      
 ,J,Joselu       ,NEW ,F,0.11,0.15 ,2.6,2.8 ,0.5 ,1583,5.5  ,0.5 ,-66  ,0 ,      
 ,S,Rondón       ,WBA ,F,0.05,0.08 ,2.3,2.5 ,3.0 ,1997,6.0  ,0.7 ,-61  ,0 ,      
