O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf,030318
x,M,Salah         ,LIV ,M,0.61 ,0.65 ,8.4,8.8 ,11.5,2199,10.5 ,60.8,1478  ,0 ,      
 ,R,Sterling      ,MCI ,M,0.56 ,0.64 ,6.9,7.6 ,2.8 ,1917,8.8  ,24.0,-17327,-1,      
 ,E,Hazard        ,CHE ,M,0.37 ,0.47 ,6.0,7.0 ,7.5 ,1680,10.7 ,7.3 ,1302  ,0 ,      
 ,A,Pritchard     ,HUD ,M,0.41 ,0.8  ,4.2,6.3 ,4.8 ,295 ,5.4  ,0.1 ,45    ,1 ,      
 ,K,De Bruyne     ,MCI ,M,0.41 ,0.41 ,6.3,6.3 ,4.5 ,2401,10.4 ,25.1,1371  ,0 ,      
 ,L,Sané          ,MCI ,M,0.44 ,0.51 ,5.7,6.3 ,3.3 ,1632,8.4  ,10.2,12993 ,2 ,      
x,H,Son           ,TOT ,M,0.38 ,0.54 ,5.0,6.3 ,5.5 ,1769,8.0  ,9.9 ,8446  ,1 ,      
 ,A,Ramsey        ,ARS ,M,0.52 ,0.59 ,5.6,6.1 ,5.5 ,1466,6.9  ,4.0 ,1147  ,0 ,      
 ,W,Willian       ,CHE ,M,0.28 ,0.58 ,3.9,6.0 ,2.8 ,1321,6.9  ,9.6 ,6800  ,1 ,      
x,R,Mahrez        ,LEI ,M,0.41 ,0.45 ,5.6,5.9 ,3.3 ,2147,8.7  ,8.4 ,1848  ,0 ,      
 ,D,David Silva   ,MCI ,M,0.42 ,0.48 ,5.3,5.8 ,2.0 ,1820,7.9  ,7.5 ,1968  ,0 ,      
 ,S,Mané          ,LIV ,M,0.32 ,0.38 ,5.0,5.6 ,5.3 ,1569,9.4  ,9.0 ,886   ,0 ,      
 ,P,Pogba         ,MUN ,M,0.42 ,0.44 ,5.3,5.5 ,1.3 ,1464,7.9  ,12.1,-1607 ,0 ,      
 ,A,Martial       ,MUN ,M,0.31 ,0.43 ,4.5,5.4 ,2.0 ,1334,8.0  ,3.6 ,-674  ,0 ,      
 ,C,Eriksen       ,TOT ,M,0.35 ,0.35 ,5.3,5.3 ,3.5 ,2408,9.3  ,16.0,-1844 ,0 ,      
 ,G,Deulofeu      ,WAT ,M,0.56 ,0.54 ,5.3,5.2 ,4.5 ,311 ,5.9  ,1.8 ,-4914 ,-5,      
 ,M,Arnautovic    ,WHU ,M,0.3  ,0.46 ,4.1,5.2 ,2.8 ,1522,7.0  ,5.2 ,-2120 ,-1,      
 ,H,Mkhitaryan    ,ARS ,M,0.24 ,0.4  ,3.9,5.1 ,4.3 ,1194,7.8  ,11.9,-3251 ,0 ,      
x,J,Lingard       ,MUN ,M,0.38 ,0.51 ,4.3,5.1 ,2.8 ,1292,6.1  ,11.5,137   ,0 ,      
 ,A,Sánchez       ,MUN ,M,0.23 ,0.26 ,4.7,5.0 ,2.3 ,1851,11.7 ,3.4 ,-1071 ,-1,      
 ,P,Groß          ,BHA ,M,0.42 ,0.47 ,4.5,4.8 ,5.0 ,2149,5.9  ,17.5,1067  ,0 ,      
x,X,Shaqiri       ,STK ,M,0.4  ,0.43 ,4.5,4.7 ,7.5 ,2244,6.3  ,12.7,1500  ,0 ,      
 ,B,Alli          ,TOT ,M,0.28 ,0.3  ,4.5,4.7 ,3.0 ,2357,8.9  ,12.5,-527  ,0 ,      
 ,J,Izquierdo     ,BHA ,M,0.17 ,0.44 ,3.0,4.6 ,5.3 ,1201,5.9  ,0.3 ,322   ,2 ,      
 ,J,Mata          ,MUN ,M,0.26 ,0.38 ,3.8,4.6 ,1.5 ,1448,6.8  ,2.1 ,-149  ,0 ,      
 ,J,Ward-Prowse   ,SOU ,M,0.24 ,0.51 ,3.2,4.6 ,4.0 ,1344,5.1  ,3.4 ,-2106 ,-1,      
 ,M,Özil          ,ARS ,M,0.24 ,0.27 ,4.2,4.5 ,1.5 ,1891,9.3  ,2.2 ,-141  ,0 ,      
 ,R,Fraser        ,BOU ,M,0.31 ,0.45 ,3.6,4.3 ,2.3 ,1373,5.1  ,1.1 ,-386  ,-1,      
 ,A,Chamberlain   ,LIV ,M,0.14 ,0.39 ,2.8,4.2 ,3.5 ,1476,5.6  ,3.0 ,891   ,1 ,      
 ,A,Doucouré      ,WAT ,M,0.4  ,0.4  ,4.2,4.2 ,4.5 ,2520,5.5  ,15.7,-70   ,0 ,      
 ,M,Lanzini       ,WHU ,M,0.29 ,0.33 ,3.9,4.2 ,0.8 ,1596,6.6  ,0.8 ,50    ,0 ,      
 ,C,Brunt         ,WBA ,M,0.28 ,0.42 ,3.4,4.1 ,4.3 ,1116,5.0  ,0.6 ,22    ,0 ,      
 ,E,Can           ,LIV ,M,0.35 ,0.41 ,3.7,4.0 ,4.8 ,1973,4.9  ,6.7 ,1312  ,0 ,      
 ,B,Bernardo Silva,MCI ,M,0.11 ,0.27 ,2.8,4.0 ,3.8 ,1034,7.4  ,1.1 ,462   ,1 ,      
 ,S,Ki Sung-yueng ,SWA ,M,0.31 ,0.41 ,3.5,4.0 ,8.5 ,1342,4.9  ,0.6 ,4820  ,14,      
 ,A,Surman        ,BOU ,M,0.38 ,0.42 ,3.7,3.9 ,0.3 ,1543,4.5  ,3.7 ,-367  ,0 ,      
 ,R,Brady         ,BUR ,M,0.32 ,0.36 ,3.7,3.9 ,0.0 ,1277,5.3  ,0.5 ,-14   ,0 ,      
 ,A,Young         ,MUN ,M,0.37 ,0.39 ,3.8,3.9 ,1.0 ,1794,4.9  ,2.0 ,-82   ,0 ,      
 ,R,Richarlison   ,WAT ,M,0.31 ,0.31 ,3.9,3.9 ,1.5 ,2392,6.1  ,8.9 ,-2620 ,-1,      
 ,L,Milivojevic   ,CRY ,M,0.31 ,0.37 ,3.5,3.8 ,5.0 ,2179,4.9  ,7.0 ,955   ,0 ,      
 ,G,Sigurdsson    ,EVE ,M,0.2  ,0.22 ,3.6,3.8 ,4.0 ,2167,8.0  ,2.4 ,-211  ,0 ,      
 ,S,Davis         ,SOU ,M,0.26 ,0.38 ,3.2,3.8 ,0.3 ,1483,4.7  ,1.7 ,-324  ,0 ,      
 ,E,Choupo-Moting ,STK ,M,0.28 ,0.33 ,3.5,3.8 ,2.0 ,2144,5.4  ,3.5 ,-350  ,0 ,      
~,~,~~~~~~~~      ,~~~~,~,~~~~ ,~~~~~,~~~,3.71,~~~~,~~~ ,~~~~~,~   ,~~~   ,~~,~~~~~~
 ,J,Stanislas     ,BOU ,M,0.27 ,0.29 ,3.6,3.7 ,3.0 ,1075,5.9  ,0.5 ,-53   ,0 ,      
 ,M,Albrighton    ,LEI ,M,0.23 ,0.3  ,3.3,3.7 ,2.8 ,2197,5.6  ,3.5 ,-225  ,0 ,      
 ,S,Arfield       ,BUR ,M,0.22 ,0.33 ,3.1,3.6 ,0.3 ,1330,4.9  ,0.2 ,-49   ,0 ,      
 ,T,Bakayoko      ,CHE ,M,0.16 ,0.33 ,2.8,3.6 ,-0.5,1759,4.9  ,1.3 ,-261  ,0 ,      
 ,W,Zaha          ,CRY ,M,0.24 ,0.24 ,3.6,3.6 ,0.5 ,1786,6.8  ,3.5 ,-378  ,0 ,      
 ,A,Mooy          ,HUD ,M,0.28 ,0.3  ,3.5,3.6 ,2.0 ,2278,5.3  ,4.8 ,-1008 ,0 ,      
 ,C,Atsu          ,NEW ,M,0.21 ,0.33 ,3.0,3.6 ,1.3 ,1715,4.8  ,1.7 ,-53   ,0 ,      
 ,R,Loftus-Cheek  ,CRY ,M,0.3  ,0.34 ,3.3,3.5 ,0.0 ,1329,4.4  ,3.4 ,-304  ,0 ,      
 ,M,Ritchie       ,NEW ,M,0.24 ,0.28 ,3.3,3.5 ,3.5 ,2105,5.4  ,1.8 ,46    ,0 ,      
 ,A,Knockaert     ,BHA ,M,0.18 ,0.25 ,3.0,3.4 ,3.0 ,1765,5.5  ,0.6 ,26    ,0 ,      
 ,F,Fernandinho   ,MCI ,M,0.25 ,0.27 ,3.3,3.4 ,1.0 ,2250,5.1  ,5.2 ,-2832 ,-1,      
 ,J,Gudmundsson   ,BUR ,M,0.24 ,0.25 ,3.2,3.3 ,4.8 ,2214,5.1  ,1.5 ,1084  ,1 ,      
 ,A,Townsend      ,CRY ,M,0.21 ,0.23 ,3.2,3.3 ,1.8 ,2244,5.6  ,1.0 ,-59   ,0 ,      
 ,J,Allen         ,STK ,M,0.25 ,0.25 ,3.3,3.3 ,2.8 ,2412,5.1  ,2.0 ,-140  ,0 ,      
 ,M,Antonio       ,WHU ,M,0.15 ,0.18 ,3.1,3.3 ,4.8 ,1252,7.4  ,0.2 ,75    ,1 ,      
 ,C,Fàbregas      ,CHE ,M,0.09 ,0.18 ,2.6,3.2 ,1.0 ,1593,6.8  ,3.0 ,-63   ,0 ,      
 ,S,Clucas        ,SWA ,M,0.15 ,0.26 ,2.7,3.2 ,2.3 ,1577,4.7  ,0.7 ,-235  ,-1,      
 ,J,Henderson     ,LIV ,M,0.17 ,0.21 ,2.9,3.1 ,1.5 ,1508,5.3  ,1.1 ,-7    ,0 ,      
 ,D,Tadic         ,SOU ,M,0.18 ,0.18 ,3.1,3.1 ,2.3 ,2067,6.2  ,1.7 ,-45   ,0 ,      
 ,A,Carrillo      ,WAT ,M,0.07 ,0.2  ,2.4,3.1 ,1.0 ,1517,5.5  ,0.1 ,-3    ,0 ,      
 ,P,Obiang        ,WHU ,M,0.14 ,0.26 ,2.6,3.1 ,0.0 ,1558,4.3  ,0.9 ,-180  ,0 ,      
 ,J,Hendrick      ,BUR ,M,0.15 ,0.19 ,2.8,3.0 ,2.3 ,2021,5.4  ,0.2 ,-12   ,0 ,      
 ,N,Kanté         ,CHE ,M,0.2  ,0.2  ,3.0,3.0 ,1.5 ,2184,4.9  ,11.8,-65   ,0 ,      
 ,M,Diamé         ,NEW ,M,0.07 ,0.22 ,2.3,3.0 ,4.0 ,1257,4.6  ,0.2 ,126   ,1 ,      
 ,G,Xhaka         ,ARS ,M,0.17 ,0.17 ,2.9,2.9 ,1.5 ,2435,5.2  ,7.1 ,-179  ,0 ,      
 ,J,Ibe           ,BOU ,M,0.14 ,0.18 ,2.7,2.9 ,1.5 ,1581,4.9  ,1.8 ,-1462 ,-1,      
 ,S,March         ,BHA ,M,0.02 ,0.19 ,2.1,2.9 ,1.0 ,1595,4.8  ,0.2 ,-5    ,0 ,      
 ,J,McArthur      ,CRY ,M,0.14 ,0.21 ,2.6,2.9 ,1.5 ,1566,4.3  ,3.8 ,-139  ,0 ,      
 ,C,Kouyaté       ,WHU ,M,0.12 ,0.18 ,2.6,2.9 ,2.5 ,1990,5.0  ,0.3 ,4     ,0 ,      
 ,D,Gosling       ,BOU ,M,0.08 ,0.17 ,2.4,2.8 ,3.0 ,1362,4.8  ,0.1 ,21    ,0 ,      
 ,R,van La Parra  ,HUD ,M,0.08 ,0.17 ,2.4,2.8 ,5.3 ,1641,4.8  ,0.3 ,1316  ,8 ,      
 ,G,Wijnaldum     ,LIV ,M,0.08 ,0.12 ,2.5,2.8 ,1.0 ,1697,6.6  ,2.2 ,-125  ,0 ,      
 ,M,Lemina        ,SOU ,M,0.08 ,0.17 ,2.4,2.8 ,4.5 ,1445,4.8  ,0.2 ,143   ,1 ,      
 ,M,Phillips      ,WBA ,M,0.11 ,0.15 ,2.6,2.8 ,1.8 ,1524,5.4  ,0.5 ,-2    ,0 ,      
 ,G,Krychowiak    ,WBA ,M,0.08 ,0.17 ,2.4,2.8 ,1.5 ,1479,4.8  ,0.2 ,-4    ,0 ,      
 ,M,Noble         ,WHU ,M,0.17 ,0.15 ,2.9,2.8 ,2.0 ,1590,5.3  ,0.3 ,-78   ,0 ,      
 ,T,Cleverley     ,WAT ,M,0.1  ,0.14 ,2.5,2.7 ,0.0 ,1900,5.0  ,0.4 ,-51   ,0 ,      
 ,D,Stephens      ,BHA ,M,0.13 ,0.13 ,2.6,2.6 ,3.3 ,2520,4.5  ,1.6 ,330   ,0 ,      
 ,D,Pröpper       ,BHA ,M,0.11 ,0.11 ,2.6,2.6 ,2.3 ,2505,5.3  ,0.1 ,9     ,0 ,      
 ,S,Defour        ,BUR ,M,0.11 ,0.11 ,2.6,2.6 ,0.0 ,1998,5.4  ,0.3 ,-24   ,0 ,      
 ,Y,Cabaye        ,CRY ,M,0.06 ,0.11 ,2.3,2.6 ,1.0 ,1741,5.3  ,0.2 ,-28   ,0 ,      
 ,T,Ince          ,HUD ,M,0.07 ,0.11 ,2.4,2.6 ,1.3 ,2121,5.5  ,0.5 ,40    ,0 ,      
 ,D,Fletcher      ,STK ,M,0.13 ,0.13 ,2.6,2.6 ,0.3 ,2110,4.8  ,0.5 ,-19   ,0 ,      
 ,T,Carroll       ,SWA ,M,0.07 ,0.14 ,2.3,2.6 ,1.8 ,2031,4.3  ,5.4 ,-460  ,0 ,      
 ,J,Cork          ,BUR ,M,0.11 ,0.11 ,2.5,2.5 ,1.8 ,2610,4.6  ,2.9 ,3     ,0 ,      
 ,F,Delph         ,MCI ,M,0.13 ,0.11 ,2.6,2.5 ,0.0 ,1282,4.5  ,0.4 ,-58   ,0 ,      
 ,N,Redmond       ,SOU ,M,0.03 ,0.08 ,2.2,2.5 ,1.5 ,1551,5.9  ,1.9 ,-7    ,0 ,      
 ,L,Fer           ,SWA ,M,0.0  ,0.1  ,2.0,2.5 ,0.3 ,1394,5.2  ,0.2 ,-9    ,0 ,      
 ,E,Dier          ,TOT ,M,0.09 ,0.11 ,2.4,2.5 ,2.5 ,2464,4.7  ,2.7 ,120   ,0 ,      
 ,W,Ndidi         ,LEI ,M,0.08 ,0.08 ,2.4,2.4 ,1.8 ,2580,4.9  ,0.5 ,0     ,0 ,      
 ,N,Matic         ,MUN ,M,0.09 ,0.09 ,2.4,2.4 ,1.5 ,2469,4.7  ,8.8 ,72    ,0 ,      
 ,L,Lewis Cook    ,BOU ,M,0.0  ,0.07 ,2.0,2.3 ,2.8 ,1543,4.3  ,1.2 ,258   ,0 ,      
 ,T,Davies        ,EVE ,M,-0.04,0.06 ,1.8,2.3 ,2.8 ,1409,5.1  ,0.4 ,-6    ,0 ,      
 ,R,Pereyra       ,WAT ,M,-0.02,0.05 ,1.9,2.3 ,3.5 ,985 ,5.8  ,0.1 ,16    ,0 ,      
 ,J,Livermore     ,WBA ,M,0.02 ,0.06 ,2.1,2.3 ,0.8 ,1861,4.8  ,0.1 ,-5    ,0 ,      
 ,I,Gueye         ,EVE ,M,0.04 ,0.04 ,2.2,2.2 ,2.0 ,2198,4.8  ,0.8 ,31    ,0 ,      
 ,M,Merino        ,NEW ,M,0.04 ,0.04 ,2.2,2.2 ,0.8 ,1317,5.0  ,0.1 ,-4    ,0 ,      
 ,M,Dembélé       ,TOT ,M,-0.02,0.04 ,1.9,2.2 ,2.5 ,1455,4.9  ,1.7 ,272   ,0 ,      
 ,G,Barry         ,WBA ,M,0.04 ,0.04 ,2.2,2.2 ,1.3 ,1921,4.5  ,1.0 ,-143  ,0 ,      
 ,J,Shelvey       ,NEW ,M,-0.06,0.02 ,1.7,2.1 ,1.8 ,1470,5.2  ,0.4 ,-53   ,0 ,      
 ,O,Oriol Romeu   ,SOU ,M,0.0  ,0.02 ,2.0,2.1 ,2.0 ,2267,4.3  ,2.2 ,34    ,0 ,      
 ,I,Hayden        ,NEW ,M,-0.07,0.0  ,1.7,2.0 ,1.0 ,1327,4.4  ,0.2 ,-5    ,0 ,      
 ,M,Schneiderlin  ,EVE ,M,-0.09,-0.02,1.6,1.9 ,0.8 ,1530,4.7  ,0.5 ,-34   ,0 ,      
 ,J,Hogg          ,HUD ,M,-0.07,-0.05,1.7,1.8 ,1.5 ,1630,4.4  ,0.2 ,9     ,0 ,      
