O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf,031610
 ,B,Davies          ,TOT ,D,0.54 ,0.64 ,5.2,5.8 ,4.3 ,1873,5.9  ,22.3,-32401,-2,      
 ,K,Trippier        ,TOT ,D,0.51 ,0.62 ,4.7,5.3 ,1.3 ,1470,5.3  ,4.5 ,-5101 ,-2,      
 ,P,Jones           ,MUN ,D,0.51 ,0.55 ,4.8,5.0 ,0.0 ,1793,5.5  ,6.0 ,-32200,-9,      
 ,S,Aurier          ,TOT ,D,0.49 ,0.54 ,4.9,5.2 ,8.7 ,1247,5.9  ,0.8 ,9876  ,21,      
 ,S,Ward            ,BUR ,D,0.49 ,0.53 ,4.3,4.5 ,3.3 ,1740,4.7  ,6.9 ,2553  ,1 ,      
 ,T,Alexander-Arnold,LIV ,D,0.51 ,0.51 ,4.2,4.2 ,4.0 ,1148,4.3  ,3.7 ,5156  ,2 ,      
 ,M,van der Hoorn   ,SWA ,D,0.41 ,0.5  ,3.8,4.2 ,5.7 ,1468,4.4  ,1.0 ,4102  ,7 ,      
 ,N,Monreal         ,ARS ,D,0.53 ,0.49 ,4.9,4.7 ,0.0 ,1923,5.5  ,5.3 ,-11675,-4,      
 ,S,Mustafi         ,ARS ,D,0.41 ,0.48 ,4.2,4.6 ,4.7 ,1751,5.4  ,2.9 ,18    ,0 ,      
 ,M,Lowton          ,BUR ,D,0.48 ,0.48 ,4.1,4.1 ,5.0 ,1575,4.4  ,3.0 ,5498  ,3 ,      
 ,V,Moses           ,CHE ,D,0.38 ,0.48 ,4.5,5.1 ,1.0 ,1589,6.5  ,1.9 ,-4994 ,-5,      
 ,A,Rüdiger         ,CHE ,D,0.45 ,0.48 ,4.6,4.8 ,0.7 ,1796,5.8  ,3.2 ,-12233,-7,      
 ,N,Otamendi        ,MCI ,D,0.45 ,0.45 ,4.9,4.9 ,6.3 ,2580,6.4  ,27.3,623   ,0 ,      
x,M,Alonso          ,CHE ,D,0.43 ,0.43 ,5.1,5.1 ,1.7 ,2413,7.2  ,19.0,-8153 ,-1,      
 ,C,Azpilicueta     ,CHE ,D,0.42 ,0.42 ,4.9,4.9 ,2.0 ,2610,6.9  ,19.8,-9510 ,-1,      
 ,A,Valencia        ,MUN ,D,0.42 ,0.42 ,4.9,4.9 ,2.0 ,2291,6.9  ,11.1,-2266 ,0 ,      
 ,S,Kolasinac       ,ARS ,D,0.33 ,0.41 ,3.9,4.4 ,2.0 ,1746,5.8  ,6.3 ,343   ,0 ,      
 ,K,Walker          ,MCI ,D,0.36 ,0.41 ,4.4,4.7 ,7.3 ,2454,6.6  ,12.6,6090  ,1 ,      
 ,J,Gomez           ,LIV ,D,0.33 ,0.39 ,3.5,3.8 ,0.0 ,1631,4.6  ,3.3 ,-8616 ,-4,      
 ,A,Robertson       ,LIV ,D,0.39 ,0.39 ,3.9,3.9 ,4.3 ,1507,4.9  ,6.7 ,18476 ,5 ,      
 ,M,Yoshida         ,SOU ,D,0.37 ,0.39 ,3.7,3.8 ,0.0 ,1534,4.6  ,1.6 ,-2571 ,-3,      
x,J,Lascelles       ,NEW ,D,0.38 ,0.38 ,3.8,3.8 ,3.0 ,2207,4.7  ,7.9 ,6003  ,1 ,      
 ,C,Smalling        ,MUN ,D,0.33 ,0.37 ,3.8,4.0 ,4.0 ,1905,5.4  ,4.2 ,5015  ,2 ,      
 ,B,Bruno           ,BHA ,D,0.24 ,0.36 ,3.1,3.6 ,0.3 ,1656,4.5  ,0.9 ,-1572 ,-3,      
 ,J,Tarkowski       ,BUR ,D,0.36 ,0.36 ,3.6,3.6 ,3.0 ,2070,4.5  ,2.7 ,5079  ,3 ,      
 ,D,Lovren          ,LIV ,D,0.26 ,0.36 ,3.4,3.9 ,2.7 ,1746,5.3  ,1.3 ,5252  ,7 ,      
 ,L,Koscielny       ,ARS ,D,0.35 ,0.35 ,4.1,4.1 ,0.7 ,2135,6.0  ,1.9 ,-2043 ,-2,      
 ,S,Coleman         ,EVE ,D,0.2  ,0.31 ,3.3,4.0 ,3.3 ,315 ,6.4  ,1.3 ,6522  ,9 ,      
 ,A,Christensen     ,CHE ,D,0.23 ,0.3  ,3.2,3.6 ,1.7 ,1707,5.3  ,2.0 ,-282  ,0 ,      
 ,J,Matip           ,LIV ,D,0.22 ,0.3  ,3.2,3.6 ,1.0 ,1815,5.4  ,1.9 ,-716  ,-1,      
 ,C,Clark           ,NEW ,D,0.27 ,0.3  ,3.2,3.3 ,0.0 ,1745,4.4  ,1.8 ,-3099 ,-3,      
 ,K,Naughton        ,SWA ,D,0.3  ,0.3  ,3.4,3.4 ,3.0 ,2506,4.6  ,5.4 ,-122  ,0 ,      
 ,J,Vertonghen      ,TOT ,D,0.3  ,0.3  ,3.8,3.8 ,3.3 ,2579,6.0  ,8.3 ,706   ,0 ,      
 ,L,Baines          ,EVE ,D,0.25 ,0.29 ,3.4,3.6 ,4.0 ,1189,5.6  ,5.3 ,27680 ,9 ,      
 ,V,Kompany         ,MCI ,D,0.21 ,0.28 ,3.2,3.6 ,4.0 ,944 ,5.8  ,2.1 ,731   ,1 ,      
 ,H,Bellerín        ,ARS ,D,0.25 ,0.27 ,3.5,3.6 ,0.7 ,2527,5.9  ,9.6 ,-27625,-5,      
 ,F,Fernández       ,SWA ,D,0.27 ,0.27 ,3.2,3.2 ,2.7 ,2160,4.5  ,3.9 ,-5482 ,-2,      
x,A,Mawson          ,SWA ,D,0.27 ,0.27 ,3.4,3.4 ,2.3 ,2700,5.1  ,3.7 ,-58   ,0 ,      
 ,D,Sánchez         ,TOT ,D,0.25 ,0.27 ,3.5,3.6 ,5.3 ,1980,6.0  ,1.2 ,-606  ,-1,      
