O,I,web_name     ,team,T,VA/M,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,gf ,031610
 ,S,Agüero       ,MCI ,F,0.42,0.45 ,7.0,7.3 ,2.3 ,1946,11.8 ,22.3,-190804,-15,      
 ,H,Kane         ,TOT ,F,0.33,0.36 ,6.2,6.6 ,4.0 ,2434,12.8 ,36.9,-447061,-21,      
x,R,Firmino      ,LIV ,F,0.36,0.41 ,5.4,5.9 ,5.0 ,2199,9.5  ,46.4,209583 ,8  ,      
 ,P,Aubameyang   ,ARS ,F,0.3 ,0.3  ,5.2,5.2 ,6.0 ,450 ,10.5 ,5.6 ,75402  ,23 ,      
 ,C,Tosun        ,EVE ,F,0.26,0.47 ,3.8,5.2 ,6.0 ,331 ,6.8  ,2.7 ,56528  ,36 ,      
 ,R,Lukaku       ,MUN ,F,0.27,0.27 ,5.0,5.1 ,8.3 ,2519,11.3 ,22.8,87201  ,7  ,      
 ,Á,Morata       ,CHE ,F,0.22,0.27 ,4.3,4.8 ,0.7 ,1652,10.4 ,7.5 ,-1693  ,0  ,      
 ,W,Rooney       ,EVE ,F,0.29,0.38 ,4.1,4.7 ,1.0 ,1829,7.2  ,11.2,20342  ,3  ,      
 ,J,Vardy        ,LEI ,F,0.31,0.31 ,4.7,4.7 ,3.0 ,2528,8.7  ,18.0,33027  ,3  ,      
x,C,Wilson       ,BOU ,F,0.34,0.44 ,4.0,4.6 ,2.0 ,1474,5.9  ,10.0,80618  ,14 ,      
 ,G,Murray       ,BHA ,F,0.25,0.44 ,3.5,4.6 ,7.0 ,1719,5.9  ,5.5 ,24490  ,8  ,      
x,S,Mounie       ,HUD ,F,0.27,0.44 ,3.6,4.6 ,4.0 ,1365,5.9  ,4.3 ,60649  ,24 ,      
 ,M,Rashford     ,MUN ,F,0.16,0.32 ,3.2,4.3 ,4.3 ,1435,7.3  ,5.9 ,37175  ,11 ,      
 ,D,Gayle        ,NEW ,F,0.13,0.36 ,2.8,4.2 ,6.7 ,1438,6.1  ,1.1 ,3102   ,5  ,      
 ,A,Lacazette    ,ARS ,F,0.18,0.21 ,3.8,4.1 ,0.0 ,1808,10.2 ,6.0 ,-2367  ,-1 ,      
 ,J,Chicharito   ,WHU ,F,0.22,0.31 ,3.5,4.1 ,1.3 ,1449,6.7  ,7.8 ,-8551  ,-2 ,      
~,~,~~~~~~~~     ,~~~~,~,~~~~,~~~~~,~~~,4.07,~~~~,~~~ ,~~~~~,~   ,~~~    ,~~ ,~~~~~~
 ,L,Depoitre     ,HUD ,F,0.2 ,0.39 ,3.0,4.0 ,1.0 ,1533,5.1  ,3.1 ,15874  ,9  ,      
 ,C,Wood         ,BUR ,F,0.34,0.26 ,4.1,3.6 ,6.7 ,1095,6.2  ,0.9 ,13544  ,26 ,      
 ,M,Gabbiadini   ,SOU ,F,0.03,0.24 ,2.2,3.5 ,3.3 ,999 ,6.2  ,1.4 ,-462   ,-1 ,      
 ,D,Calvert-Lewin,EVE ,F,0.16,0.28 ,2.8,3.4 ,1.0 ,1700,5.0  ,4.5 ,2809   ,1  ,      
 ,J,King         ,BOU ,F,0.13,0.19 ,2.9,3.3 ,3.7 ,1801,7.0  ,2.1 ,17814  ,15 ,      
 ,C,Benteke      ,CRY ,F,0.13,0.17 ,3.0,3.3 ,2.7 ,1973,7.6  ,3.8 ,23441  ,11 ,      
 ,M,Diouf        ,STK ,F,0.15,0.25 ,2.8,3.3 ,0.7 ,2012,5.2  ,1.9 ,-7828  ,-7 ,      
 ,J,Jordan Ayew  ,SWA ,F,0.19,0.24 ,3.0,3.3 ,2.3 ,2310,5.4  ,10.0,-163581,-28,      
 ,T,Abraham      ,SWA ,F,0.19,0.24 ,3.0,3.3 ,2.0 ,1448,5.4  ,3.5 ,-239   ,0  ,      
 ,A,Pérez        ,NEW ,F,0.1 ,0.23 ,2.5,3.2 ,2.3 ,1791,5.2  ,1.1 ,391    ,1  ,      
 ,T,Deeney       ,WAT ,F,0.14,0.19 ,2.9,3.2 ,6.0 ,1303,6.3  ,1.4 ,6702   ,8  ,      
 ,A,Barnes       ,BUR ,F,0.06,0.21 ,2.3,3.1 ,6.7 ,1612,5.3  ,1.6 ,26429  ,28 ,      
 ,J,Rodriguez    ,WBA ,F,0.11,0.17 ,2.6,2.9 ,1.7 ,2163,5.3  ,1.7 ,1467   ,1  ,      
 ,J,Joselu       ,NEW ,F,0.11,0.15 ,2.6,2.8 ,0.7 ,1604,5.5  ,0.5 ,-362   ,-1 ,      
 ,K,Iheanacho    ,LEI ,F,0.03,0.11 ,2.2,2.7 ,5.3 ,453 ,6.5  ,0.8 ,2078   ,4  ,      
 ,S,Rondón       ,WBA ,F,0.07,0.12 ,2.4,2.7 ,3.3 ,2087,6.0  ,1.0 ,6272   ,11 ,      
 ,G,Carrillo     ,SOU ,F,0.05,0.09 ,2.3,2.6 ,3.0 ,442 ,6.4  ,0.1 ,-724   ,-12,      
