O,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf,031610
x,N,Pope      ,BUR ,G,0.59,0.59 ,4.9,4.9 ,5.0 ,2394,4.9  ,9.3 ,859   ,0 ,      
 ,O,Karnezis  ,WAT ,G,0.44,0.58 ,4.0,4.6 ,5.7 ,661 ,4.5  ,0.2 ,828   ,7 ,      
 ,L,Karius    ,LIV ,G,0.56,0.56 ,4.7,4.7 ,4.0 ,990 ,4.8  ,1.3 ,6221  ,8 ,      
 ,M,Dubravka  ,NEW ,G,0.56,0.56 ,4.5,4.5 ,3.0 ,360 ,4.5  ,0.3 ,314   ,2 ,      
 ,E,Ederson   ,MCI ,G,0.46,0.48 ,4.6,4.7 ,9.3 ,2655,5.6  ,7.6 ,1217  ,0 ,      
 ,D,de Gea    ,MUN ,G,0.47,0.47 ,4.8,4.8 ,2.3 ,2700,5.9  ,42.0,-11662,0 ,      
 ,L,Fabianski ,SWA ,G,0.45,0.45 ,4.1,4.1 ,3.7 ,2700,4.7  ,8.6 ,-5950 ,-1,      
 ,M,Ryan      ,BHA ,G,0.4 ,0.4  ,3.8,3.8 ,4.3 ,2700,4.5  ,2.4 ,-47   ,0 ,      
 ,R,Elliot    ,NEW ,G,0.4 ,0.4  ,3.6,3.6 ,0.0 ,1440,4.0  ,16.4,-29313,-3,      
 ,J,Lössl     ,HUD ,G,0.37,0.37 ,3.7,3.7 ,3.3 ,2700,4.6  ,9.0 ,26324 ,5 ,      
 ,H,Lloris    ,TOT ,G,0.37,0.37 ,4.0,4.0 ,5.3 ,2520,5.4  ,8.4 ,-4054 ,-1,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,0.36 ,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,~~~   ,~~,~~~~~~
 ,T,Courtois  ,CHE ,G,0.35,0.35 ,3.9,3.9 ,2.0 ,2610,5.4  ,11.1,-6793 ,-1,      
 ,J,Pickford  ,EVE ,G,0.35,0.35 ,3.7,3.7 ,4.3 ,2700,4.9  ,9.4 ,17220 ,3 ,      
 ,F,Forster   ,SOU ,G,0.35,0.35 ,3.6,3.6 ,0.0 ,1800,4.6  ,4.1 ,-2392 ,-1,      
 ,W,Hennessey ,CRY ,G,0.33,0.33 ,3.4,3.4 ,2.7 ,1710,4.3  ,2.3 ,8388  ,6 ,      
 ,P,Cech      ,ARS ,G,0.32,0.32 ,3.7,3.7 ,6.0 ,2679,5.3  ,4.3 ,654   ,0 ,      
 ,S,Mignolet  ,LIV ,G,0.32,0.32 ,3.5,3.5 ,0.0 ,1710,4.7  ,1.2 ,-56   ,0 ,      
 ,K,Schmeichel,LEI ,G,0.3 ,0.3  ,3.5,3.5 ,1.7 ,2700,5.0  ,4.6 ,-5205 ,-2,      
 ,J,Butland   ,STK ,G,0.3 ,0.3  ,3.5,3.5 ,6.3 ,2430,5.0  ,3.7 ,11717 ,5 ,      
x,A,Adrián    ,WHU ,G,0.28,0.28 ,3.2,3.2 ,1.0 ,1350,4.3  ,2.5 ,-10819,-7,      
 ,J,Hart      ,WHU ,G,0.26,0.26 ,3.1,3.1 ,0.3 ,1350,4.2  ,5.3 ,-488  ,0 ,      
 ,B,Foster    ,WBA ,G,0.25,0.25 ,3.1,3.1 ,1.7 ,2610,4.4  ,10.2,-664  ,0 ,      
 ,A,Begovic   ,BOU ,G,0.2 ,0.2  ,2.9,2.9 ,1.7 ,2700,4.5  ,5.5 ,17332 ,5 ,      
 ,H,Gomes     ,WAT ,G,0.16,0.16 ,2.7,2.7 ,0.0 ,2038,4.5  ,1.4 ,-502  ,-1,      
 ,A,McCarthy  ,SOU ,G,0.11,0.11 ,2.5,2.5 ,3.3 ,900 ,4.4  ,0.2 ,-419  ,-4,      
