O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,031610
x,M,Salah         ,LIV ,M,0.58 ,0.61 ,8.2,8.5 ,6.7 ,2289,10.6 ,61.8,34343 ,1  ,      
 ,R,Sterling      ,MCI ,M,0.57 ,0.64 ,6.9,7.5 ,2.0 ,2001,8.6  ,17.1,-31800,-3 ,      
x,H,Son           ,TOT ,M,0.4  ,0.57 ,5.3,6.7 ,10.7,1859,8.2  ,13.0,77132 ,10 ,      
 ,E,Hazard        ,CHE ,M,0.35 ,0.43 ,5.7,6.6 ,3.7 ,1856,10.6 ,7.0 ,-18441,-5 ,      
 ,D,David Silva   ,MCI ,M,0.49 ,0.55 ,5.9,6.4 ,11.0,2000,8.0  ,9.2 ,30236 ,6  ,      
 ,A,Ramsey        ,ARS ,M,0.52 ,0.59 ,5.6,6.1 ,0.7 ,1466,6.9  ,3.7 ,-14633,-7 ,      
x,R,Mahrez        ,LEI ,M,0.43 ,0.47 ,5.8,6.1 ,7.7 ,2234,8.8  ,9.4 ,26915 ,5  ,      
 ,K,De Bruyne     ,MCI ,M,0.39 ,0.39 ,6.1,6.1 ,3.0 ,2581,10.4 ,24.1,-17887,-1 ,      
 ,W,Willian       ,CHE ,M,0.29 ,0.57 ,4.0,6.0 ,7.0 ,1488,7.0  ,11.1,31986 ,5  ,      
 ,L,Sané          ,MCI ,M,0.41 ,0.47 ,5.5,6.0 ,6.3 ,1812,8.6  ,12.2,-11219,-2 ,      
x,S,Mané          ,LIV ,M,0.33 ,0.39 ,5.1,5.7 ,7.3 ,1659,9.5  ,12.5,72262 ,10 ,      
 ,A,Pritchard     ,HUD ,M,0.37 ,0.65 ,4.0,5.5 ,3.3 ,359 ,5.4  ,0.3 ,1795  ,10 ,      
 ,P,Pogba         ,MUN ,M,0.42 ,0.45 ,5.3,5.5 ,2.3 ,1554,7.8  ,10.7,-26039,-4 ,      
 ,R,Kenedy        ,NEW ,M,0.74 ,0.74 ,5.5,5.5 ,7.0 ,440 ,4.7  ,0.9 ,14084 ,27 ,      
 ,H,Mkhitaryan    ,ARS ,M,0.3  ,0.44 ,4.3,5.4 ,5.7 ,1353,7.7  ,10.9,7362  ,1  ,      
 ,C,Eriksen       ,TOT ,M,0.35 ,0.35 ,5.3,5.3 ,4.7 ,2498,9.4  ,14.4,-27635,-3 ,      
 ,M,Arnautovic    ,WHU ,M,0.29 ,0.44 ,4.0,5.1 ,1.7 ,1612,7.0  ,4.1 ,-31774,-13,      
 ,A,Sánchez       ,MUN ,M,0.22 ,0.25 ,4.6,4.9 ,3.0 ,2031,11.6 ,2.9 ,-9549 ,-6 ,      
 ,J,Lingard       ,MUN ,M,0.35 ,0.48 ,4.1,4.9 ,3.0 ,1383,6.0  ,9.5 ,-45728,-8 ,      
 ,B,Alli          ,TOT ,M,0.31 ,0.33 ,4.8,4.9 ,6.3 ,2442,8.9  ,11.9,-13646,-2 ,      
 ,P,Groß          ,BHA ,M,0.42 ,0.47 ,4.5,4.8 ,4.3 ,2325,6.0  ,16.7,-33750,-3 ,      
 ,B,Bernardo Silva,MCI ,M,0.13 ,0.35 ,3.0,4.6 ,6.7 ,1129,7.5  ,1.8 ,-7450 ,-7 ,      
x,X,Shaqiri       ,STK ,M,0.38 ,0.41 ,4.4,4.6 ,4.7 ,2334,6.4  ,16.0,64630 ,7  ,      
 ,M,Özil          ,ARS ,M,0.24 ,0.27 ,4.2,4.5 ,3.3 ,2071,9.3  ,2.2 ,29    ,0  ,      
 ,J,Mata          ,MUN ,M,0.24 ,0.37 ,3.6,4.5 ,1.0 ,1559,6.8  ,2.1 ,-431  ,0  ,      
 ,J,Ward-Prowse   ,SOU ,M,0.22 ,0.47 ,3.1,4.4 ,1.3 ,1434,5.1  ,2.5 ,-14952,-10,      
 ,R,Fraser        ,BOU ,M,0.31 ,0.45 ,3.6,4.3 ,0.7 ,1373,5.1  ,1.0 ,-525  ,-1 ,      
 ,J,Izquierdo     ,BHA ,M,0.17 ,0.39 ,3.0,4.3 ,3.3 ,1381,5.9  ,0.4 ,-1564 ,-7 ,      
 ,A,King          ,SWA ,M,0.1  ,0.55 ,2.4,4.3 ,3.3 ,704 ,4.2  ,3.4 ,-4503 ,-2 ,      
 ,A,Chamberlain   ,LIV ,M,0.13 ,0.37 ,2.7,4.1 ,4.3 ,1537,5.6  ,3.1 ,-1162 ,-1 ,      
 ,A,Doucouré      ,WAT ,M,0.38 ,0.38 ,4.1,4.1 ,2.7 ,2610,5.5  ,15.4,-10185,-1 ,      
 ,M,Lanzini       ,WHU ,M,0.26 ,0.3  ,3.7,4.0 ,1.3 ,1686,6.6  ,0.8 ,-1192 ,-3 ,      
 ,A,Surman        ,BOU ,M,0.39 ,0.43 ,3.7,3.9 ,0.3 ,1543,4.4  ,3.5 ,-2924 ,-1 ,      
 ,J,Stanislas     ,BOU ,M,0.3  ,0.32 ,3.8,3.9 ,3.7 ,1150,6.0  ,2.5 ,41843 ,29 ,      
 ,E,Can           ,LIV ,M,0.33 ,0.39 ,3.6,3.9 ,6.0 ,2063,4.9  ,6.6 ,-2487 ,-1 ,      
 ,S,Ki Sung-yueng ,SWA ,M,0.28 ,0.38 ,3.4,3.9 ,6.0 ,1430,5.0  ,1.5 ,-4657 ,-5 ,      
