O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,032920
x,N,Pope,BUR,G,0.59,0.59,4.9,4.9,6.0,2394,4.9,10.2,15362,3,
,L,Karius,LIV,G,0.58,0.58,4.8,4.8,5.0,1080,4.8,1.3,1035,1,
,M,Dubravka,NEW,G,0.56,0.56,4.5,4.5,3.5,360,4.5,0.4,2963,13,
,E,Ederson,MCI,G,0.46,0.48,4.6,4.7,9.3,2655,5.6,8.1,10506,2,
,D,de Gea,MUN,G,0.47,0.47,4.8,4.8,1.5,2700,5.9,43.7,32609,1,
,O,Karnezis,WAT,G,0.38,0.47,3.7,4.1,3.7,751,4.5,0.2,1009,9,
,L,Fabianski,SWA,G,0.45,0.45,4.1,4.1,5.5,2700,4.7,8.9,-411,0,
,M,Ryan,BHA,G,0.4,0.4,3.8,3.8,5.5,2700,4.5,2.9,23497,14,
,R,Elliot,NEW,G,0.4,0.4,3.6,3.6,0.0,1440,4.0,16.3,-30747,-3,
,W,Hennessey,CRY,G,0.35,0.37,3.5,3.6,3.7,1800,4.3,2.4,7849,6,
,H,Lloris,TOT,G,0.37,0.37,4.0,4.0,4.5,2520,5.4,8.5,-991,0,
~,~,~~~~~~~~,~~~~,~,~~~~,0.37,~~~,~~~~,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,T,Courtois,CHE,G,0.35,0.35,3.9,3.9,2.0,2610,5.4,11.0,-15078,-2,
,J,Pickford,EVE,G,0.35,0.35,3.7,3.7,4.3,2790,4.9,8.3,-13885,-3,
,J,Lössl,HUD,G,0.35,0.35,3.6,3.6,3.3,2790,4.6,7.9,-9491,-2,
,F,Forster,SOU,G,0.35,0.35,3.6,3.6,0.0,1800,4.6,4.1,-1253,-1,
,P,Cech,ARS,G,0.32,0.32,3.7,3.7,6.0,2679,5.3,4.4,5855,2,
,S,Mignolet,LIV,G,0.32,0.32,3.5,3.5,0.0,1710,4.7,1.1,-566,-1,
,K,Schmeichel,LEI,G,0.3,0.3,3.5,3.5,1.5,2700,5.0,4.7,531,0,
,J,Butland,STK,G,0.3,0.3,3.5,3.5,5.3,2520,5.0,2.8,-6181,-4,
x,A,Adrián,WHU,G,0.28,0.28,3.2,3.2,0.5,1350,4.3,2.5,-7469,-5,
,B,Foster,WBA,G,0.25,0.25,3.1,3.1,1.7,2700,4.4,10.1,-8596,-1,
,A,Begovic,BOU,G,0.2,0.2,2.9,2.9,2.3,2790,4.5,4.6,-9387,-3,
,H,Gomes,WAT,G,0.16,0.16,2.7,2.7,0.0,2038,4.5,1.4,-824,-1,
,A,McCarthy,SOU,G,0.11,0.11,2.5,2.5,4.0,900,4.4,0.3,2117,12,
