O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,032920
x,M,Salah,LIV,M,0.64,0.68,8.9,9.3,13.0,2379,10.7,62.5,35054,1,
,R,Sterling,MCI,M,0.57,0.64,6.9,7.5,2.0,2001,8.6,18.3,25512,2,
x,H,Son,TOT,M,0.4,0.57,5.3,6.7,15.5,1859,8.3,15.5,96466,11,
,E,Hazard,CHE,M,0.35,0.43,5.7,6.6,2.5,1856,10.6,7.0,-5382,-1,
,D,David Silva,MCI,M,0.48,0.54,5.9,6.4,11.0,2000,8.1,10.5,57507,9,
,A,Ramsey,ARS,M,0.52,0.59,5.6,6.1,0.7,1466,6.9,3.7,523,0,
x,R,Mahrez,LEI,M,0.43,0.46,5.8,6.1,10.5,2234,8.9,11.4,90467,14,
,K,De Bruyne,MCI,M,0.39,0.39,6.1,6.1,3.0,2581,10.4,24.8,9857,1,
,W,Willian,CHE,M,0.28,0.56,4.0,6.0,6.0,1488,7.1,12.8,69402,9,
,L,Sané,MCI,M,0.41,0.47,5.5,6.0,6.3,1812,8.6,12.6,1563,0,
x,S,Mané,LIV,M,0.35,0.41,5.3,5.9,8.0,1749,9.5,11.4,-12938,-2,
,P,Pogba,MUN,M,0.42,0.45,5.3,5.5,2.5,1554,7.8,10.5,-6574,-1,
,R,Kenedy,NEW,M,0.73,0.73,5.5,5.5,9.0,440,4.8,1.5,26435,30,
,H,Mkhitaryan,ARS,M,0.3,0.44,4.3,5.4,5.7,1353,7.7,11.9,37511,5,
,C,Eriksen,TOT,M,0.35,0.35,5.3,5.3,4.0,2498,9.4,14.4,-9868,-1,
,M,Arnautovic,WHU,M,0.29,0.45,4.0,5.1,1.5,1612,6.9,4.1,-7211,-3,
,A,Sánchez,MUN,M,0.23,0.25,4.6,4.9,3.5,2031,11.5,2.8,-3145,-2,
,B,Alli,TOT,M,0.31,0.33,4.8,4.9,8.0,2442,8.9,11.7,-7187,-1,
,P,Groß,BHA,M,0.42,0.47,4.5,4.8,4.0,2325,6.0,17.2,113,0,
,B,Bernardo Silva,MCI,M,0.14,0.35,3.0,4.6,6.7,1129,7.4,1.7,-6692,-7,
,M,Özil,ARS,M,0.24,0.27,4.2,4.5,3.3,2071,9.3,2.3,3609,3,
,J,Mata,MUN,M,0.24,0.37,3.6,4.5,1.5,1559,6.8,2.1,-140,0,
x,X,Shaqiri,STK,M,0.36,0.39,4.3,4.5,2.3,2409,6.4,12.1,-78620,-11,
,J,Ward-Prowse,SOU,M,0.22,0.47,3.1,4.4,1.0,1434,5.1,2.4,-8743,-6,
,J,Stanislas,BOU,M,0.35,0.38,4.1,4.3,6.3,1240,6.0,2.0,-8493,-7,
,A,King,SWA,M,0.1,0.55,2.4,4.3,5.0,704,4.2,3.4,848,0,
,T,Walcott,EVE,M,0.13,0.31,2.9,4.2,3.3,735,7.1,4.8,-52415,-19,
,A,Chamberlain,LIV,M,0.13,0.37,2.7,4.1,2.7,1556,5.6,3.0,-7033,-4,
,A,Doucouré,WAT,M,0.36,0.36,4.0,4.0,2.3,2700,5.5,14.9,-21999,-3,
,M,Lanzini,WHU,M,0.26,0.3,3.7,4.0,1.5,1686,6.6,0.7,-179,0,
,A,Surman,BOU,M,0.39,0.43,3.7,3.9,0.3,1543,4.4,3.5,-4962,-2,
,L,Milivojevic,CRY,M,0.35,0.39,3.7,3.9,4.7,2449,4.9,7.6,4702,1,
,E,Can,LIV,M,0.31,0.39,3.5,3.9,2.0,2089,4.9,6.2,-34537,-10,
,S,Ki Sung-yueng,SWA,M,0.28,0.38,3.4,3.9,8.0,1430,5.0,1.5,-3909,-4,
,G,Sigurdsson,EVE,M,0.2,0.22,3.6,3.8,1.7,2257,8.0,2.1,-7728,-6,
,S,Davis,SOU,M,0.26,0.38,3.2,3.8,0.0,1483,4.7,1.5,-2492,-3,
,E,Choupo-Moting,STK,M,0.3,0.33,3.6,3.8,3.7,2241,5.4,3.2,-22515,-12,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,3.71,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,M,Albrighton,LEI,M,0.25,0.3,3.4,3.7,3.0,2220,5.6,3.2,-2153,-1,
,A,Young,MUN,M,0.33,0.35,3.6,3.7,2.0,1950,4.9,1.8,-1723,-2,
,M,Ritchie,NEW,M,0.28,0.31,3.5,3.7,4.0,2195,5.4,1.8,-474,0,
,R,Richarlison,WAT,M,0.28,0.28,3.7,3.7,1.7,2546,6.0,8.0,-13886,-3,
,T,Bakayoko,CHE,M,0.14,0.33,2.7,3.6,0.5,1761,4.9,1.2,-548,-1,
,W,Zaha,CRY,M,0.24,0.24,3.6,3.6,2.3,1919,6.8,4.6,-25206,-9,
,C,Atsu,NEW,M,0.19,0.33,2.9,3.6,1.5,1727,4.8,1.5,-1761,-2,
,A,Townsend,CRY,M,0.25,0.27,3.4,3.5,4.7,2504,5.6,1.4,-2874,-4,
,A,Mooy,HUD,M,0.26,0.28,3.4,3.5,1.3,2436,5.3,5.3,-11436,-4,
,A,André Ayew,SWA,M,0.1,0.22,2.7,3.5,5.5,1120,6.8,1.0,-397,-1,
,J,Gudmundsson,BUR,M,0.25,0.27,3.3,3.4,5.5,2304,5.1,1.7,9608,10,
,F,Fernandinho,MCI,M,0.26,0.28,3.3,3.4,1.0,2340,5.0,4.5,-1590,-1,
,J,Ibe,BOU,M,0.19,0.28,2.9,3.3,3.7,1694,4.7,1.4,-152,0,
,V,Iborra,LEI,M,0.18,0.23,3.0,3.3,5.0,1145,5.7,0.1,114,2,
,J,Allen,STK,M,0.25,0.25,3.3,3.3,3.7,2592,5.1,1.9,-3250,-3,
,A,Knockaert,BHA,M,0.15,0.22,2.8,3.2,0.5,1920,5.5,0.6,-962,-3,
,N,Kanté,CHE,M,0.24,0.24,3.2,3.2,3.5,2274,4.9,11.4,-364,0,
,S,Clucas,SWA,M,0.15,0.26,2.7,3.2,2.5,1667,4.7,0.6,-2198,-6,
,M,Antonio,WHU,M,0.14,0.16,3.0,3.2,4.0,1342,7.4,0.3,-29,0,
