W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn  ,gf,040122
 ,B,Davies          ,TOT ,D,0.54 ,0.64 ,5.2,5.8 ,3.3 ,1963,5.9  ,22.7,2093 ,0 ,      
 ,K,Trippier        ,TOT ,D,0.5  ,0.63 ,4.6,5.3 ,2.0 ,1560,5.2  ,4.5 ,695  ,0 ,      
 ,P,Jones           ,MUN ,D,0.51 ,0.55 ,4.8,5.0 ,0.0 ,1793,5.5  ,5.7 ,-1599,0 ,      
 ,S,Aurier          ,TOT ,D,0.49 ,0.54 ,4.9,5.2 ,6.7 ,1247,5.9  ,1.0 ,346  ,1 ,      
 ,S,Ward            ,BUR ,D,0.47 ,0.51 ,4.2,4.4 ,3.3 ,1830,4.7  ,7.3 ,1184 ,0 ,      
 ,A,Robertson       ,LIV ,D,0.5  ,0.5  ,4.5,4.5 ,6.5 ,1687,5.0  ,8.1 ,13937,3 ,      
 ,N,Monreal         ,ARS ,D,0.52 ,0.48 ,4.9,4.7 ,2.0 ,2013,5.6  ,6.6 ,7904 ,2 ,      
 ,S,Mustafi         ,ARS ,D,0.44 ,0.48 ,4.4,4.6 ,7.0 ,1841,5.4  ,3.8 ,4849 ,2 ,      
 ,V,Moses           ,CHE ,D,0.38 ,0.48 ,4.5,5.1 ,2.0 ,1670,6.5  ,1.9 ,461  ,0 ,      
 ,A,Rüdiger         ,CHE ,D,0.41 ,0.48 ,4.4,4.8 ,0.7 ,1886,5.8  ,3.2 ,71   ,0 ,      
m,T,Alexander-Arnold,LIV ,D,0.47 ,0.47 ,4.0,4.0 ,3.0 ,1238,4.3  ,3.8 ,-822 ,0 ,      
o,M,Lowton          ,BUR ,D,0.45 ,0.45 ,4.0,4.0 ,5.0 ,1665,4.4  ,4.3 ,6525 ,3 ,      
 ,M,van der Hoorn   ,SWA ,D,0.39 ,0.45 ,3.7,4.0 ,5.7 ,1558,4.4  ,1.3 ,653  ,1 ,      
 ,N,Otamendi        ,MCI ,D,0.44 ,0.44 ,4.8,4.8 ,5.3 ,2670,6.4  ,28.6,-4560,0 ,      
 ,M,Alonso          ,CHE ,D,0.42 ,0.43 ,5.0,5.1 ,1.7 ,2495,7.2  ,19.6,1055 ,0 ,      
 ,A,Valencia        ,MUN ,D,0.43 ,0.43 ,5.0,5.0 ,4.0 ,2381,6.9  ,11.7,-353 ,0 ,      
 ,C,Azpilicueta     ,CHE ,D,0.41 ,0.42 ,4.8,4.9 ,2.0 ,2700,6.9  ,20.1,-1192,0 ,      
 ,J,Gomez           ,LIV ,D,0.36 ,0.42 ,3.6,3.9 ,1.3 ,1721,4.5  ,2.9 ,-3417,-2,      
 ,S,Kolasinac       ,ARS ,D,0.33 ,0.41 ,3.9,4.4 ,2.0 ,1746,5.8  ,6.3 ,-1285,0 ,      
 ,K,Walker          ,MCI ,D,0.35 ,0.39 ,4.3,4.6 ,4.7 ,2544,6.6  ,13.2,-526 ,0 ,      
 ,M,Yoshida         ,SOU ,D,0.37 ,0.39 ,3.7,3.8 ,0.0 ,1534,4.6  ,1.6 ,-118 ,0 ,      
 ,A,Laporte         ,MCI ,D,0.38 ,0.38 ,4.0,4.0 ,3.0 ,356 ,5.3  ,1.0 ,-1798,-3,      
o,J,Lascelles       ,NEW ,D,0.38 ,0.38 ,3.8,3.8 ,4.3 ,2297,4.8  ,8.8 ,1504 ,0 ,      
 ,B,Bruno           ,BHA ,D,0.24 ,0.36 ,3.1,3.6 ,0.3 ,1656,4.5  ,0.9 ,-308 ,-1,      
 ,J,Tomkins         ,CRY ,D,0.3  ,0.36 ,3.3,3.6 ,4.0 ,1846,4.4  ,2.8 ,-2853,-2,      
 ,D,Lovren          ,LIV ,D,0.25 ,0.36 ,3.3,3.9 ,2.3 ,1766,5.3  ,1.2 ,-362 ,-1,      
 ,C,Smalling        ,MUN ,D,0.35 ,0.36 ,3.9,4.0 ,5.3 ,1995,5.5  ,5.5 ,2680 ,1 ,      
 ,L,Koscielny       ,ARS ,D,0.35 ,0.35 ,4.1,4.1 ,0.3 ,2135,6.0  ,1.8 ,-502 ,0 ,      
m,F,Kiko Femenía    ,WAT ,D,0.28 ,0.35 ,3.2,3.5 ,2.3 ,1479,4.3  ,1.4 ,1992 ,2 ,      
 ,J,Tarkowski       ,BUR ,D,0.33 ,0.33 ,3.5,3.5 ,3.7 ,2160,4.5  ,3.6 ,5056 ,2 ,      
m,A,Christensen     ,CHE ,D,0.21 ,0.3  ,3.1,3.6 ,1.7 ,1797,5.3  ,2.1 ,1059 ,1 ,      
 ,J,Matip           ,LIV ,D,0.22 ,0.3  ,3.2,3.6 ,2.3 ,1995,5.4  ,1.9 ,-108 ,0 ,      
 ,J,Milner          ,LIV ,D,0.07 ,0.3  ,2.4,3.8 ,3.5 ,1476,6.0  ,2.3 ,216  ,0 ,      
 ,C,Clark           ,NEW ,D,0.27 ,0.3  ,3.2,3.3 ,0.0 ,1745,4.4  ,1.8 ,-791 ,-1,      
 ,J,Vertonghen      ,TOT ,D,0.28 ,0.3  ,3.7,3.8 ,4.0 ,2669,6.0  ,8.5 ,1988 ,0 ,      
 ,K,Naughton        ,SWA ,D,0.28 ,0.28 ,3.3,3.3 ,3.3 ,2596,4.6  ,5.6 ,4    ,0 ,      
 ,H,Bellerín        ,ARS ,D,0.27 ,0.27 ,3.6,3.6 ,2.3 ,2617,5.9  ,9.9 ,1082 ,0 ,      
o,H,Maguire         ,LEI ,D,0.27 ,0.27 ,3.5,3.5 ,3.0 ,2790,5.6  ,12.4,1593 ,0 ,      
 ,D,Sánchez         ,TOT ,D,0.23 ,0.27 ,3.4,3.6 ,3.3 ,2070,6.0  ,1.2 ,-140 ,0 ,      
o,B,Chilwell        ,LEI ,D,0.19 ,0.26 ,2.8,3.1 ,6.0 ,1488,4.3  ,1.8 ,16697,16,      
 ,P,Dummett         ,NEW ,D,0.19 ,0.26 ,2.8,3.1 ,4.3 ,1005,4.2  ,0.7 ,838  ,2 ,      
 ,A,Cresswell       ,WHU ,D,0.24 ,0.26 ,3.2,3.3 ,3.0 ,2469,5.0  ,2.4 ,-404 ,0 ,      
 ,A,Mawson          ,SWA ,D,0.25 ,0.25 ,3.3,3.3 ,2.7 ,2790,5.1  ,3.7 ,-751 ,0 ,      
 ,G,Cahill          ,CHE ,D,0.11 ,0.24 ,2.7,3.5 ,0.7 ,1542,6.2  ,3.0 ,-163 ,0 ,      
 ,F,Fernández       ,SWA ,D,0.24 ,0.24 ,3.1,3.1 ,3.0 ,2250,4.5  ,3.9 ,-1406,-1,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,0.24 ,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,~~~  ,~~,~~~~~~
o,L,Baines          ,EVE ,D,0.21 ,0.23 ,3.2,3.3 ,3.8 ,1369,5.6  ,3.8 ,-1539,-1,      
 ,B,Mee             ,BUR ,D,0.22 ,0.22 ,3.1,3.1 ,3.3 ,2610,4.9  ,14.4,-1538,0 ,      
 ,J,Kenny           ,EVE ,D,0.15 ,0.2  ,2.6,2.8 ,0.0 ,1589,4.1  ,2.6 ,-2200,-1,      
 ,J,Evans           ,WBA ,D,0.18 ,0.2  ,2.9,3.0 ,3.3 ,2249,4.9  ,1.1 ,-21  ,0 ,      
 ,C,Fuchs           ,LEI ,D,0.1  ,0.19 ,2.5,2.9 ,1.3 ,1647,4.8  ,2.0 ,-221 ,0 ,      
 ,N,Aké             ,BOU ,D,0.16 ,0.18 ,2.8,2.9 ,2.0 ,2812,5.1  ,7.5 ,-1642,0 ,      
 ,C,Martina         ,EVE ,D,0.14 ,0.18 ,2.6,2.8 ,0.3 ,1830,4.4  ,2.0 ,-3545,-3,      
 ,C,Daniels         ,BOU ,D,0.15 ,0.17 ,2.7,2.8 ,2.3 ,2461,4.7  ,7.7 ,-2077,0 ,      
 ,S,Duffy           ,BHA ,D,0.17 ,0.17 ,2.8,2.8 ,2.7 ,2682,4.6  ,3.3 ,162  ,0 ,      
 ,J,Holebas         ,WAT ,D,0.15 ,0.17 ,2.7,2.8 ,2.8 ,1931,4.8  ,0.6 ,17   ,0 ,      
 ,D,Janmaat         ,WAT ,D,0.17 ,0.17 ,2.8,2.8 ,2.3 ,1473,4.8  ,0.6 ,-354 ,-1,      
 ,C,Dawson          ,WBA ,D,0.17 ,0.17 ,2.8,2.8 ,0.8 ,1970,4.8  ,1.6 ,-574 ,-1,      
 ,A,Hegazi          ,WBA ,D,0.17 ,0.17 ,2.8,2.8 ,1.0 ,2846,4.7  ,19.7,-8675,-1,      
 ,A,Masuaku         ,WHU ,D,0.12 ,0.17 ,2.5,2.7 ,3.3 ,1413,4.2  ,0.5 ,1669 ,6 ,      
 ,S,Coleman         ,EVE ,D,0.11 ,0.16 ,2.7,3.0 ,3.3 ,495 ,6.4  ,0.5 ,-642 ,-2,      
 ,D,Yedlin          ,NEW ,D,0.14 ,0.16 ,2.6,2.7 ,5.3 ,2279,4.4  ,0.8 ,828  ,2 ,      
 ,J,Stephens        ,SOU ,D,0.16 ,0.16 ,2.7,2.7 ,2.0 ,1710,4.5  ,0.9 ,-562 ,-1,      
 ,R,Bertrand        ,SOU ,D,0.15 ,0.15 ,2.8,2.8 ,2.7 ,2515,5.3  ,5.1 ,-560 ,0 ,      
 ,R,Shawcross       ,STK ,D,0.1  ,0.15 ,2.5,2.7 ,0.3 ,1831,4.8  ,0.9 ,-144 ,0 ,      
 ,S,Steve Cook      ,BOU ,D,0.09 ,0.13 ,2.4,2.6 ,1.3 ,2224,4.6  ,1.2 ,-205 ,0 ,      
 ,A,Williams        ,EVE ,D,0.06 ,0.13 ,2.3,2.7 ,-0.5,1830,5.2  ,2.2 ,-192 ,0 ,      
 ,C,Schindler       ,HUD ,D,0.13 ,0.13 ,2.6,2.6 ,2.3 ,2724,4.7  ,4.0 ,-3064,-1,      
 ,M,Zanka           ,HUD ,D,0.13 ,0.13 ,2.6,2.6 ,2.8 ,2880,4.5  ,7.0 ,-2571,-1,      
 ,W,Reid            ,WHU ,D,0.1  ,0.13 ,2.5,2.6 ,0.3 ,1452,4.8  ,0.6 ,-52  ,0 ,      
m,P,van Aanholt     ,CRY ,D,0.04 ,0.12 ,2.2,2.6 ,5.3 ,1651,5.1  ,1.7 ,319  ,0 ,      
 ,V,van Dijk        ,LIV ,D,0.11 ,0.12 ,2.6,2.7 ,3.8 ,1713,5.7  ,7.5 ,-5147,-1,      
 ,F,Lejeune         ,NEW ,D,0.09 ,0.12 ,2.4,2.5 ,5.3 ,1473,4.3  ,0.2 ,375  ,3 ,      
 ,M,Olsson          ,SWA ,D,0.12 ,0.12 ,2.6,2.6 ,2.7 ,2574,5.0  ,0.3 ,4    ,0 ,      
 ,K,Zouma           ,STK ,D,0.11 ,0.11 ,2.6,2.6 ,2.3 ,2495,5.4  ,2.1 ,-916 ,-1,      
 ,C,Kabasele        ,WAT ,D,0.09 ,0.11 ,2.4,2.5 ,0.0 ,2039,4.4  ,0.5 ,-277 ,-1,      
 ,K,Gibbs           ,WBA ,D,0.08 ,0.1  ,2.4,2.5 ,1.0 ,2301,5.0  ,0.4 ,-129 ,-1,      
 ,A,Ogbonna         ,WHU ,D,0.1  ,0.1  ,2.4,2.4 ,2.3 ,2250,4.2  ,3.4 ,-1745,-1,      
 ,L,Dunk            ,BHA ,D,0.09 ,0.09 ,2.4,2.4 ,3.3 ,2790,4.5  ,3.1 ,495  ,0 ,      
 ,G,Bong            ,BHA ,D,0.09 ,0.09 ,2.4,2.4 ,0.3 ,1612,4.4  ,0.1 ,85   ,1 ,      
 ,M,Keane           ,EVE ,D,0.06 ,0.09 ,2.3,2.5 ,2.5 ,2019,5.3  ,5.0 ,-507 ,0 ,      
 ,E,Pieters         ,STK ,D,0.09 ,0.09 ,2.4,2.4 ,1.8 ,2177,4.7  ,0.4 ,-124 ,-1,      
 ,A,Nyom            ,WBA ,D,0.04 ,0.09 ,2.2,2.4 ,0.5 ,1766,4.7  ,1.1 ,-60  ,0 ,      
 ,W,Hoedt           ,SOU ,D,0.08 ,0.08 ,2.4,2.4 ,3.0 ,1890,5.0  ,0.1 ,-86  ,-1,      
 ,P,Zabaleta        ,WHU ,D,0.08 ,0.08 ,2.4,2.4 ,2.3 ,2659,4.9  ,1.9 ,-80  ,0 ,      
 ,D,Simpson         ,LEI ,D,0.05 ,0.07 ,2.2,2.3 ,2.0 ,2024,4.3  ,2.3 ,555  ,0 ,      
 ,J,Manquillo       ,NEW ,D,0.07 ,0.07 ,2.3,2.3 ,0.0 ,1691,4.3  ,0.7 ,-140 ,0 ,      
 ,A,Mariappa        ,WAT ,D,0.02 ,0.07 ,2.1,2.3 ,1.8 ,1749,4.2  ,5.7 ,-1433,0 ,      
 ,C,Cédric          ,SOU ,D,0.04 ,0.06 ,2.2,2.3 ,2.7 ,2164,4.7  ,3.1 ,-90  ,0 ,      
 ,W,Morgan          ,LEI ,D,0.05 ,0.05 ,2.2,2.2 ,3.0 ,2277,4.4  ,2.4 ,3043 ,2 ,      
 ,J,Schlupp         ,CRY ,D,0.0  ,0.04 ,2.0,2.2 ,1.5 ,1733,4.7  ,0.2 ,-86  ,-1,      
 ,A,Adam Smith      ,BOU ,D,0.02 ,0.0  ,2.1,2.0 ,1.3 ,2067,4.8  ,0.6 ,-1183,-3,      
 ,T,Fosu-Mensah     ,CRY ,D,-0.02,0.0  ,1.9,2.0 ,0.3 ,1592,4.4  ,1.1 ,-192 ,0 ,      
 ,P,Jagielka        ,EVE ,D,-0.02,0.0  ,1.9,2.0 ,2.0 ,1534,4.7  ,2.5 ,-68  ,0 ,      
 ,T,Smith           ,HUD ,D,0.0  ,-0.02,2.0,1.9 ,0.5 ,1728,4.7  ,0.2 ,-17  ,0 ,      
 ,S,Francis         ,BOU ,D,-0.09,-0.05,1.6,1.8 ,0.8 ,2258,4.3  ,1.5 ,-1669,-2,      
 ,G,Cameron         ,STK ,D,-0.07,-0.05,1.7,1.8 ,1.5 ,1494,4.3  ,0.3 ,-90  ,-1,      
m,C,Chambers        ,ARS ,D,-0.02,-0.17,1.9,1.2 ,2.7 ,529 ,4.7  ,0.2 ,161  ,1 ,      
