W,I,web_name     ,team,T,VA/M,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf,040122
 ,S,Agüero       ,MCI ,F,0.43,0.45 ,7.0,7.3 ,0.7 ,1946,11.7 ,16.0,-25884,-3,      
m,H,Kane         ,TOT ,F,0.31,0.36 ,6.0,6.6 ,2.3 ,2450,12.7 ,24.4,14887 ,1 ,      
m,C,Tosun        ,EVE ,F,0.41,0.58 ,4.8,6.0 ,8.0 ,499 ,6.9  ,2.8 ,-995  ,-1,      
o,R,Firmino      ,LIV ,F,0.34,0.39 ,5.3,5.8 ,4.0 ,2367,9.7  ,48.5,-23389,-1,      
 ,G,Jesus        ,MCI ,F,0.22,0.38 ,4.2,5.8 ,4.7 ,1195,10.0 ,7.7 ,5558  ,1 ,      
o,P,Aubameyang   ,ARS ,F,0.42,0.3  ,6.5,5.2 ,10.3,540 ,10.7 ,12.4,19636 ,3 ,      
 ,R,Lukaku       ,MUN ,F,0.27,0.28 ,5.1,5.2 ,7.0 ,2609,11.6 ,30.6,502   ,0 ,      
 ,Á,Morata       ,CHE ,F,0.23,0.27 ,4.4,4.8 ,2.3 ,1739,10.4 ,7.6 ,1866  ,0 ,      
 ,J,Vardy        ,LEI ,F,0.3 ,0.3  ,4.7,4.7 ,4.3 ,2618,8.9  ,22.4,22280 ,2 ,      
 ,G,Murray       ,BHA ,F,0.23,0.4  ,3.4,4.4 ,3.0 ,1809,6.0  ,7.0 ,982   ,0 ,      
 ,W,Rooney       ,EVE ,F,0.26,0.33 ,3.9,4.4 ,1.3 ,1971,7.2  ,10.3,-2523 ,0 ,      
 ,S,Mounie       ,HUD ,F,0.24,0.41 ,3.4,4.4 ,1.8 ,1462,5.8  ,2.9 ,-7167 ,-4,      
 ,C,Wilson       ,BOU ,F,0.32,0.39 ,3.9,4.3 ,2.0 ,1626,5.9  ,8.3 ,-10463,-2,      
 ,M,Rashford     ,MUN ,F,0.15,0.31 ,3.1,4.3 ,4.7 ,1450,7.4  ,7.0 ,-4752 ,-1,      
~,~,~~~~~~~~     ,~~~~,~,~~~~,~~~~~,~~~,4.21,~~~~,~~~ ,~~~~~,~   ,~~~   ,~~,~~~~~~
 ,A,Lacazette    ,ARS ,F,0.19,0.21 ,3.9,4.1 ,1.7 ,1837,10.2 ,5.9 ,89    ,0 ,      
m,C,Wood         ,BUR ,F,0.37,0.34 ,4.3,4.1 ,9.7 ,1171,6.2  ,1.6 ,10306 ,11,      
 ,D,Gayle        ,NEW ,F,0.13,0.34 ,2.8,4.1 ,3.0 ,1512,6.1  ,1.3 ,-854  ,-1,      
 ,J,Chicharito   ,WHU ,F,0.22,0.31 ,3.5,4.1 ,1.0 ,1449,6.7  ,7.7 ,-4123 ,-1,      
 ,L,Depoitre     ,HUD ,F,0.2 ,0.37 ,3.0,3.9 ,1.0 ,1623,5.1  ,2.8 ,-1287 ,-1,      
 ,J,King         ,BOU ,F,0.17,0.24 ,3.2,3.7 ,5.8 ,1981,7.0  ,1.6 ,3099  ,3 ,      
 ,D,Calvert-Lewin,EVE ,F,0.18,0.3  ,2.9,3.5 ,2.8 ,1811,5.0  ,4.5 ,3614  ,1 ,      
o,A,Barnes       ,BUR ,F,0.07,0.24 ,2.4,3.3 ,6.7 ,1702,5.4  ,3.1 ,17539 ,10,      
 ,A,Pérez        ,NEW ,F,0.12,0.25 ,2.6,3.3 ,3.3 ,1881,5.2  ,1.2 ,1778  ,3 ,      
 ,M,Diouf        ,STK ,F,0.13,0.25 ,2.7,3.3 ,0.8 ,2072,5.2  ,1.8 ,-437  ,0 ,      
 ,J,Jordan Ayew  ,SWA ,F,0.19,0.25 ,3.0,3.3 ,1.7 ,2310,5.3  ,7.2 ,-11416,-3,      
m,T,Abraham      ,SWA ,F,0.17,0.24 ,2.9,3.3 ,1.0 ,1493,5.4  ,3.5 ,319   ,0 ,      
 ,C,Benteke      ,CRY ,F,0.12,0.14 ,2.9,3.1 ,2.3 ,2153,7.6  ,2.9 ,-1590 ,-1,      
 ,T,Deeney       ,WAT ,F,0.13,0.16 ,2.8,3.0 ,3.3 ,1462,6.3  ,1.2 ,-802  ,-1,      
 ,S,Rondón       ,WBA ,F,0.12,0.17 ,2.7,3.0 ,5.3 ,2267,6.0  ,0.9 ,930   ,2 ,      
 ,J,Rodriguez    ,WBA ,F,0.13,0.19 ,2.7,3.0 ,3.0 ,2321,5.3  ,1.9 ,-307  ,0 ,      
 ,J,Joselu       ,NEW ,F,0.11,0.15 ,2.6,2.8 ,0.7 ,1604,5.5  ,0.4 ,-411  ,-2,      
 ,K,Iheanacho    ,LEI ,F,0.03,0.11 ,2.2,2.7 ,5.0 ,453 ,6.5  ,0.8 ,-224  ,0 ,      
