W,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf,040122
o,M,Salah         ,LIV ,M,0.64 ,0.67 ,8.8,9.2 ,11.5,2469,10.7 ,62.8,2628  ,0 ,      
 ,R,Sterling      ,MCI ,M,0.56 ,0.63 ,6.9,7.5 ,4.3 ,2064,8.7  ,18.8,5445  ,0 ,      
o,H,Son           ,TOT ,M,0.4  ,0.57 ,5.3,6.7 ,12.0,1932,8.3  ,16.5,15793 ,2 ,      
 ,E,Hazard        ,CHE ,M,0.34 ,0.43 ,5.6,6.6 ,2.3 ,1946,10.6 ,6.8 ,-1357 ,0 ,      
 ,D,David Silva   ,MCI ,M,0.51 ,0.57 ,6.1,6.6 ,12.0,2090,8.1  ,11.3,16552 ,2 ,      
 ,W,Hughes        ,WAT ,M,0.5  ,0.96 ,4.3,6.4 ,3.3 ,474 ,4.6  ,0.2 ,415   ,4 ,      
 ,A,Ramsey        ,ARS ,M,0.51 ,0.59 ,5.5,6.1 ,1.0 ,1556,6.9  ,3.7 ,-471  ,0 ,      
 ,K,De Bruyne     ,MCI ,M,0.39 ,0.39 ,6.1,6.1 ,3.7 ,2657,10.4 ,24.8,-7720 ,-1,      
 ,L,Sané          ,MCI ,M,0.42 ,0.48 ,5.6,6.1 ,4.7 ,1902,8.6  ,12.6,1759  ,0 ,      
m,W,Willian       ,CHE ,M,0.28 ,0.56 ,4.0,6.0 ,4.7 ,1578,7.1  ,13.7,15579 ,2 ,      
o,R,Mahrez        ,LEI ,M,0.42 ,0.45 ,5.7,6.0 ,8.0 ,2318,8.9  ,12.6,3912  ,1 ,      
o,S,Mané          ,LIV ,M,0.35 ,0.41 ,5.3,5.9 ,7.5 ,1812,9.5  ,11.0,-4107 ,-1,      
m,R,Kenedy        ,NEW ,M,0.75 ,0.75 ,5.6,5.6 ,8.0 ,530 ,4.8  ,2.1 ,5751  ,5 ,      
 ,M,Arnautovic    ,WHU ,M,0.36 ,0.52 ,4.5,5.6 ,6.3 ,1691,6.9  ,4.4 ,11426 ,4 ,      
