team,33~37_avg,33,34~38_avg,34 ,35,36,37 ,38
ARS ,2.14     ,2 ,2.28     ,2  ,2 ,4 ,2.4,2 
BUR ,2.4      ,2 ,2.8      ,2.8,3 ,2 ,4  ,2 
SWA ,2.52     ,2 ,3.03     ,2  ,5 ,4 ,2.0,2 
CHE ,2.53     ,2 ,3.06     ,2.0,6 ,2 ,2.4,2 
HUD ,2.57     ,2 ,3.2      ,2  ,6 ,2 ,3.6,4 
LIV ,2.58     ,3 ,2.13     ,2  ,2 ,2 ,4  ,2 
LEI ,2.59     ,2 ,3.28     ,2.0,6 ,3 ,2.4,5 
CRY ,2.61     ,3 ,2.19     ,2  ,2 ,3 ,3  ,2 
WAT ,2.71     ,3 ,2.45     ,2  ,2 ,5 ,2  ,4 
BOU ,2.83     ,2 ,3.68     ,3.2,6 ,2 ,2  ,3 
BHA ,2.84     ,2 ,3.74     ,2.8,6 ,3 ,3.6,4 
WBA ,2.84     ,2 ,3.71     ,4  ,4 ,2 ,4  ,3 
EVE ,3.03     ,4 ,2.03     ,2  ,2 ,2 ,2  ,3 
NEW ,3.19     ,3 ,3.41     ,4  ,3 ,2 ,2.8,4 
TOT ,3.23     ,3 ,3.45     ,2.8,6 ,2 ,1.6,3 
WHU ,3.48     ,4 ,2.97     ,2  ,4 ,5 ,2.0,4 
STK ,3.55     ,4 ,3.03     ,3  ,3 ,4 ,2  ,2 
SOU ,3.75     ,4 ,3.54     ,2.8,6 ,2 ,2.0,5 
MCI ,3.86     ,4 ,3.65     ,5  ,2 ,3 ,1.6,2 
MUN ,4.19     ,5 ,3.29     ,2.0,6 ,4 ,2.0,2 
