I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
J,Lössl,HUD,G,1.27,23,3,7.7,270,90.0,4.5,7.3
F,Forster,SOU,G,0.94,20,3,6.7,270,90.0,5.0,7.6
L,Karius,LIV,G,0.82,6,1,6.0,90,90.0,4.9,0.2
D,de Gea,MUN,G,0.78,19,3,6.3,270,90.0,5.5,34.3
K,Schmeichel,LEI,G,0.74,17,3,5.7,270,90.0,5.0,4.0
B,Foster,WBA,G,0.67,15,3,5.0,270,90.0,4.5,17.8
J,Butland,STK,G,0.66,16,3,5.3,270,90.0,5.0,3.9
L,Fabianski,SWA,G,0.6,14,3,4.7,270,90.0,4.5,4.1
H,Gomes,WAT,G,0.6,14,3,4.7,270,90.0,4.5,1.9
~,~~~~~~~~,~~~~,~,0.46,~~,~,~~~,~~~,~~~~~,~~~~~,~
W,Hennessey,CRY,G,0.44,12,3,4.0,270,90.0,4.5,1.7
R,Elliot,NEW,G,0.43,11,3,3.7,270,90.0,4.0,19.7
T,Courtois,CHE,G,0.42,13,3,4.3,270,90.0,5.5,14.8
J,Pickford,EVE,G,0.4,12,3,4.0,270,90.0,5.0,10.0
E,Ederson,MCI,G,0.24,10,3,3.3,270,90.0,5.5,4.5
H,Lloris,TOT,G,0.24,10,3,3.3,270,90.0,5.5,13.4
M,Ryan,BHA,G,0.22,9,3,3.0,270,90.0,4.5,0.7
S,Mignolet,LIV,G,0.2,6,2,3.0,180,90.0,5.0,1.6
A,Begovic,BOU,G,0.16,8,3,2.7,270,90.0,4.5,5.1
T,Heaton,BUR,G,0.06,7,3,2.3,270,90.0,5.0,7.5
P,Cech,ARS,G,0.0,6,3,2.0,270,90.0,5.5,5.4
J,Hart,WHU,G,-0.22,3,3,1.0,270,90.0,4.5,10.6
