I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
A,Doucouré,WAT,M,0.88,26,4,6.5,360,90.0,5.1,6.7
P,Groß,BHA,M,0.8,25,4,6.3,331,82.0,5.4,1.5
A,Mooy,HUD,M,0.75,19,3,6.3,270,90.0,5.7,12.9
P,Pogba,MUN,M,0.7,31,4,7.8,360,90.0,8.3,38.4
M,Elneny,ARS,M,0.67,5,1,5.0,66,66.0,4.5,3.4
H,Mkhitaryan,MUN,M,0.6,28,4,7.0,327,81.0,8.3,23.2
E,Choupo-Moting,STK,M,0.6,21,4,5.3,288,72.0,5.5,1.6
C,Eriksen,TOT,M,0.57,30,4,7.5,337,84.0,9.7,24.1
R,Richarlison,WAT,M,0.55,21,4,5.3,300,75.0,6.0,4.9
C,Brunt,WBA,M,0.49,14,3,4.7,270,90.0,5.5,2.3
N,Kanté,CHE,M,0.46,17,4,4.3,360,90.0,5.0,16.7
J,Jesé,STK,M,0.45,14,3,4.7,205,68.0,6.0,9.5
M,Salah,LIV,M,0.44,24,4,6.0,249,62.0,9.1,29.8
B,Alli,TOT,M,0.37,22,4,5.5,351,87.0,9.5,34.5
G,Xhaka,ARS,M,0.36,16,4,4.0,348,87.0,5.6,14.7
R,Mahrez,LEI,M,0.35,20,4,5.0,360,90.0,8.5,5.1
D,David Silva,MCI,M,0.35,19,4,4.8,360,90.0,8.1,10.1
E,Kachunga,HUD,M,0.33,12,3,4.0,248,82.0,6.0,0.4
S,Mané,LIV,M,0.31,20,4,5.0,289,72.0,9.6,24.3
T,Cleverley,WAT,M,0.3,14,4,3.5,360,90.0,5.0,0.3
C,Fàbregas,CHE,M,0.29,12,3,4.0,247,82.0,6.9,5.5
A,Ramsey,ARS,M,0.26,15,4,3.8,224,56.0,7.0,3.1
S,Davis,SOU,M,0.26,13,4,3.3,349,87.0,5.0,1.2
M,Phillips,WBA,M,0.25,14,4,3.5,324,81.0,6.0,2.6
R,Brady,BUR,M,0.24,13,4,3.3,347,86.0,5.5,1.8
K,De Bruyne,MCI,M,0.23,17,4,4.3,360,90.0,9.9,17.2
J,Cork,BUR,M,0.22,12,4,3.0,360,90.0,4.5,3.7
M,Ritchie,NEW,M,0.22,13,4,3.3,357,89.0,5.9,2.4
L,Britton,SWA,M,0.22,3,1,3.0,73,73.0,4.5,0.2
S,Field,WBA,M,0.22,6,2,3.0,154,77.0,4.5,0.3
E,Can,LIV,M,0.2,9,3,3.0,263,87.0,5.0,7.4
F,Fernandinho,MCI,M,0.2,12,4,3.0,360,90.0,5.0,3.7
D,Tadic,SOU,M,0.2,13,4,3.3,298,74.0,6.5,4.6
M,Antonio,WHU,M,0.2,7,2,3.5,157,78.0,7.5,0.7
R,Sanches,SWA,M,0.2,3,1,3.0,68,68.0,5.0,2.4
S,Defour,BUR,M,0.18,12,4,3.0,325,81.0,5.5,0.5
W,Willian,CHE,M,0.18,13,4,3.3,284,71.0,7.1,17.1
T,Ince,HUD,M,0.17,9,3,3.0,270,90.0,6.0,1.3
X,Shaqiri,STK,M,0.17,12,4,3.0,294,73.0,5.9,2.4
S,March,BHA,M,0.16,11,4,2.8,346,86.0,5.0,0.2
N,Matic,MUN,M,0.16,11,4,2.8,360,90.0,5.0,15.4
P,Billing,HUD,M,0.16,8,3,2.7,240,80.0,4.5,0.7
C,Atsu,NEW,M,0.16,11,4,2.8,301,75.0,5.0,3.5
N,Redmond,SOU,M,0.15,12,4,3.0,360,90.0,6.5,6.2
~,~~~~~~~~,~~~~,~,0.14,~~,~,~~~,~~~,~~~~~,~~~~~,~
N,Chalobah,WAT,M,0.11,10,4,2.5,360,90.0,4.5,3.0
T,Carroll,SWA,M,0.11,10,4,2.5,355,88.0,4.5,6.2
J,Livermore,WBA,M,0.1,10,4,2.5,340,85.0,5.0,0.3
M,Lemina,SOU,M,0.1,5,2,2.5,127,63.0,5.0,0.2
S,Clucas,SWA,M,0.1,5,2,2.5,180,90.0,5.0,0.0
M,Albrighton,LEI,M,0.09,10,4,2.5,281,70.0,5.5,2.7
L,Fer,SWA,M,0.09,10,4,2.5,360,90.0,5.5,0.6
D,Stephens,BHA,M,0.07,9,4,2.3,360,90.0,4.5,0.6
G,Barry,WBA,M,0.07,7,3,2.3,270,90.0,4.5,1.6
J,Mata,MUN,M,0.07,10,4,2.5,233,58.0,7.0,2.9
D,Fletcher,STK,M,0.06,9,4,2.3,360,90.0,5.0,0.7
E,Dier,TOT,M,0.06,9,4,2.3,337,84.0,5.0,3.5
J,McClean,WBA,M,0.06,7,3,2.3,168,56.0,5.0,0.2
J,Henderson,LIV,M,0.05,9,4,2.3,360,90.0,5.5,1.7
D,Pröpper,BHA,M,0.05,9,4,2.3,360,90.0,5.5,0.1
G,Wijnaldum,LIV,M,0.04,9,4,2.3,307,76.0,6.9,4.6
M,Özil,ARS,M,0.0,8,4,2.0,360,90.0,9.5,2.4
A,Surman,BOU,M,0.0,6,3,2.0,270,90.0,4.5,0.9
D,Gosling,BOU,M,0.0,4,2,2.0,180,90.0,4.9,0.1
J,Gudmundsson,BUR,M,0.0,8,4,2.0,298,74.0,5.0,0.1
J,Hendrick,BUR,M,0.0,4,2,2.0,180,90.0,5.4,0.1
R,Loftus-Cheek,CRY,M,0.0,4,2,2.0,180,90.0,4.5,8.3
W,Zaha,CRY,M,0.0,2,1,2.0,90,90.0,6.8,3.8
W,Ndidi,LEI,M,0.0,8,4,2.0,360,90.0,5.0,0.5
O,Oriol Romeu,SOU,M,0.0,8,4,2.0,360,90.0,4.5,3.7
B,Bojan,STK,M,0.0,2,1,2.0,71,71.0,5.5,0.1
R,Mesa,SWA,M,0.0,2,1,2.0,66,66.0,4.4,0.4
M,Dembélé,TOT,M,0.0,8,4,2.0,288,72.0,5.0,3.3
N,Amrabat,WAT,M,0.0,6,3,2.0,198,66.0,5.0,0.1
A,Ayew,WHU,M,0.0,6,3,2.0,226,75.0,7.0,1.5
M,Noble,WHU,M,0.0,6,3,2.0,220,73.0,5.5,0.3
M,James,LEI,M,0.0,8,4,2.0,338,84.0,4.5,0.5
M,Merino,NEW,M,0.0,8,4,2.0,284,71.0,5.0,0.1
I,Hayden,NEW,M,0.0,8,4,2.0,314,78.0,4.5,0.3
A,Carrillo,WAT,M,0.0,4,2,2.0,133,66.0,5.5,0.0
G,Krychowiak,WBA,M,0.0,2,1,2.0,90,90.0,5.0,0.1
A,Chamberlain,LIV,M,-0.03,7,4,1.8,286,71.0,6.0,3.2
A,Knockaert,BHA,M,-0.03,7,4,1.8,211,52.0,5.9,1.3
A,Townsend,CRY,M,-0.03,7,4,1.8,315,78.0,5.9,1.6
I,Gueye,EVE,M,-0.04,7,4,1.8,349,87.0,5.0,1.2
J,Allen,STK,M,-0.04,7,4,1.8,360,90.0,5.4,2.9
G,Sigurdsson,EVE,M,-0.04,5,3,1.7,209,69.0,8.4,4.8
R,Fraser,BOU,M,-0.06,5,3,1.7,204,68.0,5.4,0.8
J,Murphy,BHA,M,-0.06,5,3,1.7,157,52.0,5.0,0.1
T,Bakayoko,CHE,M,-0.06,5,3,1.7,195,65.0,5.0,0.6
J,McArthur,CRY,M,-0.07,5,3,1.7,187,62.0,4.5,3.2
Y,Cabaye,CRY,M,-0.09,3,2,1.5,122,61.0,5.5,0.3
H,Arter,BOU,M,-0.1,6,4,1.5,360,90.0,4.9,0.7
C,Lee Chung-yong,CRY,M,-0.11,3,2,1.5,109,54.0,4.4,0.4
C,Yacob,WBA,M,-0.11,3,2,1.5,110,55.0,4.5,0.3
P,Obiang,WHU,M,-0.11,3,2,1.5,104,52.0,4.5,0.7
J,Puncheon,CRY,M,-0.14,5,4,1.3,343,85.0,4.9,0.9
M,Schneiderlin,EVE,M,-0.14,4,3,1.3,267,89.0,5.0,0.9
L,Milivojevic,CRY,M,-0.15,4,3,1.3,178,59.0,4.8,0.7
J,Ibe,BOU,M,-0.2,3,3,1.0,156,52.0,4.9,0.4
S,Arfield,BUR,M,-0.2,2,2,1.0,105,52.0,4.9,0.1
E,Fernandes,WHU,M,-0.22,3,3,1.0,171,57.0,4.5,0.3
