I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
P,Pogba,MUN,M,0.71,31,4,7.8,360,90.0,8.2,22.3
H,Mkhitaryan,MUN,M,0.64,37,5,7.4,414,82.0,8.4,29.6
M,Salah,LIV,M,0.52,34,5,6.8,339,67.0,9.2,32.6
C,Eriksen,TOT,M,0.47,33,5,6.6,427,85.0,9.7,27.6
P,Groß,BHA,M,0.8,32,5,6.4,407,81.0,5.5,6.6
D,David Silva,MCI,M,0.49,30,5,6.0,437,87.0,8.2,13.9
A,Doucouré,WAT,M,0.65,27,5,5.4,450,90.0,5.2,9.7
S,Mané,LIV,M,0.32,20,4,5.0,289,72.0,9.5,13.8
B,Alli,TOT,M,0.32,25,5,5.0,441,88.0,9.5,33.9
R,Sterling,MCI,M,0.36,19,4,4.8,237,59.0,7.8,2.6
M,Ritchie,NEW,M,0.47,24,5,4.8,447,89.0,5.9,3.3
S,Davis,SOU,M,0.56,24,5,4.8,439,87.0,5.0,1.7
A,Mooy,HUD,M,0.46,23,5,4.6,450,90.0,5.7,12.5
K,De Bruyne,MCI,M,0.26,23,5,4.6,425,85.0,9.9,18.9
E,Choupo-Moting,STK,M,0.46,23,5,4.6,378,75.0,5.6,5.0
R,Richarlison,WAT,M,0.43,23,5,4.6,390,78.0,6.0,4.6
R,Mahrez,LEI,M,0.28,22,5,4.4,450,90.0,8.5,5.3
C,Brunt,WBA,M,0.42,17,4,4.3,341,85.0,5.5,2.0
P,Obiang,WHU,M,0.51,17,4,4.3,284,71.0,4.5,2.3
A,Surman,BOU,M,0.44,16,4,4.0,360,90.0,4.5,1.2
S,Arfield,BUR,M,0.41,12,3,4.0,195,65.0,4.9,0.1
N,Kanté,CHE,M,0.4,20,5,4.0,450,90.0,5.0,19.1
C,Atsu,NEW,M,0.4,20,5,4.0,391,78.0,5.0,3.7
J,Morrison,WBA,M,0.36,12,3,4.0,178,59.0,5.5,0.0
J,Jesé,STK,M,0.33,16,4,4.0,266,66.0,6.0,9.4
G,Xhaka,ARS,M,0.32,19,5,3.8,438,87.0,5.6,13.5
R,Brady,BUR,M,0.33,19,5,3.8,437,87.0,5.5,1.8
C,Fàbregas,CHE,M,0.26,15,4,3.8,337,84.0,6.9,5.9
X,Shaqiri,STK,M,0.31,19,5,3.8,384,76.0,5.9,3.0
A,Ramsey,ARS,M,0.23,18,5,3.6,314,62.0,7.0,3.1
S,March,BHA,M,0.32,18,5,3.6,436,87.0,5.0,0.2
A,Ayew,WHU,M,0.23,18,5,3.6,266,53.0,7.0,1.7
N,Matic,MUN,M,0.28,17,5,3.4,450,90.0,5.0,15.1
M,Phillips,WBA,M,0.23,17,5,3.4,399,79.0,6.0,2.3
E,Can,LIV,M,0.26,13,4,3.3,353,88.0,5.0,7.5
W,Willian,CHE,M,0.17,16,5,3.2,353,70.0,7.0,14.8
E,Kachunga,HUD,M,0.2,16,5,3.2,395,79.0,6.0,0.4
D,Tadic,SOU,M,0.18,16,5,3.2,384,76.0,6.5,4.1
