I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
S,Agüero,MCI,F,0.58,52,6,8.7,466,77.0,11.5,7.7
Á,Morata,CHE,F,0.49,49,7,7.0,488,69.0,10.3,20.6
D,Welbeck,ARS,F,0.46,27,5,5.4,400,80.0,7.4,1.1
T,Hemed,BHA,F,0.46,26,6,4.3,435,72.0,5.0,2.2
R,Lukaku,MUN,F,0.43,50,7,7.1,630,90.0,11.8,59.4
J,Vardy,LEI,F,0.4,38,7,5.4,606,86.0,8.6,13.6
M,Rashford,MUN,F,0.36,33,7,4.7,468,66.0,7.6,8.9
G,Jesus,MCI,F,0.35,34,6,5.7,413,68.0,10.5,15.5
H,Kane,TOT,F,0.35,45,7,6.4,618,88.0,12.7,39.0
C,Wood,BUR,F,0.33,21,5,4.2,389,77.0,6.6,2.7
R,Firmino,LIV,F,0.32,33,7,4.7,471,67.0,8.5,21.5
M,Diouf,STK,F,0.31,22,6,3.7,540,90.0,5.4,0.7
T,Abraham,SWA,F,0.3,26,7,3.7,535,76.0,5.6,6.0
J,Chicharito,WHU,F,0.27,27,7,3.9,575,82.0,7.0,19.2
J,Joselu,NEW,F,0.27,21,6,3.5,412,68.0,5.5,1.0
~,~~~~~~~~,~~~~,~,0.26,~~,~,~~~,~~~,~~~~~,~~~~~,~
A,Lacazette,ARS,F,0.25,32,7,4.6,487,69.0,10.4,15.0
W,Rooney,EVE,F,0.18,23,7,3.3,521,74.0,7.4,11.0
A,Gray,WAT,F,0.14,20,7,2.9,455,65.0,6.3,1.5
J,Ayew,SWA,F,0.12,18,7,2.6,630,90.0,5.0,3.3
J,King,BOU,F,0.1,19,7,2.7,618,88.0,7.2,2.0
D,Calvert-Lewin,EVE,F,0.06,16,7,2.3,447,63.0,5.0,2.1
J,Defoe,BOU,F,0.05,17,7,2.4,431,61.0,7.8,2.2
A,Pérez,NEW,F,0.05,16,7,2.3,614,87.0,5.5,1.1
J,Rodriguez,WBA,F,0.05,16,7,2.3,624,89.0,5.8,1.2
C,Benteke,CRY,F,-0.06,9,6,1.5,521,86.0,7.7,2.4
