team,8~12_avg,8,9~13_avg,9,10,11,12,13
SOU,2.06,2,2.16,2,2,2,4,3
CHE,2.13,2,2.32,2,2,4,2,4
MCI,2.16,2,2.32,2,2,4,3,2
LEI,2.19,2,2.39,2,3,2,4,2
WHU,2.39,3,1.77,1,2,4,2,3
NEW,2.45,3,1.87,1,3,2,4,2
SWA,2.48,2,2.97,3,4,1,3,2
ARS,2.52,2,3.06,3,2,5,4,3
BHA,2.52,3,2.06,2,2,2,2,4
EVE,2.65,2,3.32,4,3,2,2,3
HUD,2.77,2,3.61,4,4,2,2,4
TOT,2.77,2,3.55,4,4,1,4,2
BUR,2.84,2,3.74,5,2,3,2,4
WBA,3.1,3,3.23,3,4,2,4,4
CRY,3.19,4,2.32,2,2,4,3,2
BOU,3.29,4,2.52,2,4,2,2,2
MUN,3.48,4,2.87,2,4,5,2,1
LIV,3.55,4,3.1,4,2,2,2,4
STK,3.61,5,2.13,2,2,3,2,2
WAT,3.87,4,3.68,5,2,3,2,2
