W,I,web_name        ,team,T,VA/M ,VA/ML,p/g ,p/gl,form,min,price,%   ,txn   ,gf ,081112
m,L,Shaw            ,MUN ,D,1.8  ,-0.4 ,11.0,0.0 ,11.0,90 ,5.0  ,4.8 ,28807 ,13 ,      
m,P,Pogba           ,MUN ,M,1.0  ,-0.25,10.0,0.0 ,10.0,83 ,8.0  ,8.9 ,18104 ,4  ,      
o,A,Wan-Bissaka     ,CRY ,D,1.75 ,-0.5 ,9.0 ,0.0 ,9.0 ,90 ,4.0  ,14.3,6297  ,1  ,      
 ,J,Vertonghen      ,TOT ,D,1.0  ,-0.33,8.0 ,0.0 ,8.0 ,90 ,6.0  ,9.3 ,6031  ,1  ,      
 ,J,Jorginho        ,CHE ,M,1.2  ,-0.4 ,8.0 ,0.0 ,8.0 ,90 ,5.0  ,8.9 ,5900  ,1  ,      
 ,E,Bailly          ,MUN ,D,0.0  ,-0.36,2.0 ,0.0 ,2.0 ,90 ,5.5  ,3.3 ,4742  ,3  ,      
 ,N,Kanté           ,CHE ,M,1.2  ,-0.4 ,8.0 ,0.0 ,8.0 ,90 ,5.0  ,20.0,4132  ,0  ,      
 ,R,Pereyra         ,WAT ,M,1.83 ,-0.33,13.0,0.0 ,13.0,86 ,6.0  ,0.6 ,3751  ,13 ,      
o,S,Agüero          ,MCI ,F,-0.18,-0.18,0.0 ,0.0 ,0.0 ,0  ,11.0 ,31.8,3026  ,0  ,      
 ,R,Pereira         ,LEI ,D,0.4  ,-0.4 ,4.0 ,0.0 ,4.0 ,90 ,5.0  ,1.6 ,2363  ,3  ,      
 ,K,Kepa            ,CHE ,G,0.73 ,-0.36,6.0 ,0.0 ,6.0 ,90 ,5.5  ,2.9 ,2315  ,2  ,      
 ,J,Joselu          ,NEW ,F,0.4  ,-0.4 ,4.0 ,0.0 ,4.0 ,58 ,5.0  ,2.0 ,2034  ,2  ,      
 ,B,Alli            ,TOT ,M,0.56 ,-0.22,7.0 ,0.0 ,7.0 ,79 ,9.0  ,4.0 ,1873  ,1  ,      
