I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
G,Jesus,MCI,F,0.45,67,10,6.7,651,65.0,10.5,12.7
H,Kane,TOT,F,0.44,224,30,7.5,2523,84.0,12.5,35.6
J,King,BOU,F,0.39,178,36,4.9,2714,75.0,7.5,4.7
D,Costa,CHE,F,0.36,196,35,5.6,3083,88.0,10.0,2.0
R,Firmino,LIV,F,0.36,180,35,5.1,3062,87.0,8.5,17.4
R,Lukaku,MUN,F,0.35,221,37,6.0,3266,88.0,11.5,48.3
C,Austin,SOU,F,0.32,62,15,4.1,934,62.0,6.5,2.1
F,Llorente,SWA,F,0.32,146,33,4.4,2442,74.0,7.5,0.4
J,Defoe,BOU,F,0.31,166,37,4.5,3322,89.0,8.0,13.6
J,Vardy,LEI,F,0.31,161,35,4.6,2801,80.0,8.5,3.7
S,Agüero,MCI,F,0.31,175,31,5.6,2404,77.0,11.5,9.6
A,Carroll,WHU,F,0.3,69,18,3.8,1312,72.0,6.0,0.2
O,Giroud,ARS,F,0.24,116,29,4.0,1206,41.0,8.5,1.5
I,Slimani,LEI,F,0.23,83,23,3.6,1281,55.0,7.0,0.5
T,Deeney,WAT,F,0.23,130,37,3.5,2944,79.0,6.5,1.4
S,Vokes,BUR,F,0.22,121,37,3.3,2064,55.0,6.0,2.6
A,Gray,BUR,F,0.22,108,32,3.4,2260,70.0,6.5,1.6
C,Benteke,CRY,F,0.22,136,36,3.8,3131,86.0,8.0,10.0
M,Gabbiadini,SOU,F,0.21,38,11,3.5,724,65.0,7.0,4.6
~,~~~~~~~~,~~~~,~,0.19,~~,~,~~~,~~~,~~~~~,~~~~~,~
C,Callum Wilson,BOU,F,0.18,63,20,3.1,1361,68.0,6.0,0.1
P,Crouch,STK,F,0.18,79,27,2.9,1343,49.0,5.0,2.7
S,Rondón,WBA,F,0.17,118,38,3.1,2892,76.0,6.5,2.1
J,Rodriguez,WBA,F,0.17,73,24,3.0,893,37.0,6.0,3.2
A,Barnes,BUR,F,0.16,81,28,2.9,1774,63.0,5.5,1.1
J,Ayew,SWA,F,0.16,39,14,2.8,867,61.0,5.0,1.9
B,Afobe,BOU,F,0.13,88,31,2.8,1458,47.0,6.0,0.7
W,Rooney,EVE,F,0.13,76,25,3.0,1540,61.0,7.5,17.7
D,Origi,LIV,F,0.11,96,34,2.8,1469,43.0,7.5,0.4
D,Sturridge,LIV,F,0.09,54,20,2.7,775,38.0,8.0,2.7
E,Valencia,WHU,F,0.06,54,23,2.3,927,40.0,5.0,0.1
M,Rashford,MUN,F,0.05,76,32,2.4,1712,53.0,7.5,6.1
S,Okaka,WAT,F,0.05,43,19,2.3,959,50.0,5.5,0.2
D,Welbeck,ARS,F,0.04,37,16,2.3,748,46.0,7.5,0.7
S,Okazaki,LEI,F,0.02,63,30,2.1,1565,52.0,5.5,1.1
V,Janssen,TOT,F,0.0,55,28,2.0,845,30.0,7.5,0.3
M,Diouf,STK,F,-0.02,51,27,1.9,1385,51.0,5.5,0.4
S,Long,SOU,F,-0.03,57,32,1.8,1262,39.0,6.0,0.6
S,Berahino,STK,F,-0.08,26,17,1.5,963,56.0,6.0,0.6
