W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,110222
o,R,Barkley,CHE,M,0.49,1.1,4.9,8.5,12.0,388,5.9,8.3,376795,78,
o,C,Wilson,BOU,F,0.65,0.65,6.3,6.3,9.3,877,6.6,29.7,262061,15,
m,R,Pereyra,WAT,M,0.55,0.55,5.5,5.5,7.0,878,6.4,19.3,170658,15,
,A,Martial,MUN,M,0.53,0.78,5.9,7.8,12.3,438,7.4,6.9,150753,38,
m,S,Mané,LIV,M,0.51,0.51,7.0,7.0,6.0,790,9.8,33.0,135611,7,
m,B,Mendy,MCI,D,0.87,0.87,7.6,7.6,7.0,630,6.4,19.3,116154,10,
m,G,Murray,BHA,F,0.41,0.55,4.7,5.6,5.7,752,6.6,4.4,108155,42,
,P,Aubameyang,ARS,F,0.39,0.23,6.3,4.5,11.7,688,10.9,15.3,94272,11,
m,A,Laporte,MCI,D,0.58,0.58,5.4,5.4,6.0,900,5.9,10.7,91273,15,
,M,Salah,LIV,M,0.35,0.35,6.5,6.5,8.7,851,13.0,35.2,81398,4,
,R,Mahrez,MCI,M,0.24,0.34,4.1,5.0,7.3,499,8.7,3.6,77009,37,
o,S,Agüero,MCI,F,0.35,0.35,6.0,6.0,3.0,711,11.3,51.9,66077,2,
o,R,Fraser,BOU,M,0.69,0.69,6.2,6.2,6.7,859,6.1,23.6,58743,4,
m,S,Duffy,BHA,D,0.54,0.54,4.5,4.5,6.0,900,4.6,5.9,58568,17,
m,M,Ryan,BHA,G,0.56,0.56,4.5,4.5,10.0,900,4.5,5.3,52906,17,
,E,Ederson,MCI,G,0.64,0.64,5.7,5.7,7.0,900,5.8,26.4,51766,3,
m,F,Kiko Femenía,WAT,D,0.21,0.95,2.9,6.0,6.0,324,4.2,1.2,46136,66,
,G,Sigurdsson,EVE,M,0.44,0.51,5.3,5.8,7.0,838,7.5,7.7,44049,10,
,A,Rüdiger,CHE,D,0.52,0.52,5.1,5.1,7.7,878,6.0,4.2,43044,18,
,E,Capoue,WAT,M,0.35,0.35,3.8,3.8,6.3,900,5.1,2.2,40887,32,
o,M,Alonso,CHE,D,0.74,0.74,7.2,7.2,6.0,900,7.0,46.7,40821,2,
,J,Pickford,EVE,G,0.53,0.53,4.6,4.6,9.3,900,4.9,14.3,40652,5,
m,B,Bruno,BHA,D,1.02,1.43,6.5,8.3,8.3,272,4.4,0.7,27812,68,
,G,Deulofeu,WAT,M,0.37,0.65,4.0,5.5,4.0,148,5.4,0.7,24794,61,
m,L,Fabianski,WHU,G,0.42,0.42,3.9,3.9,3.7,900,4.5,13.7,24474,3,
,W,Willian,CHE,M,0.32,0.28,4.4,4.1,5.3,640,7.4,6.8,22529,6,
,D,David Luiz,CHE,D,0.36,0.36,4.0,4.0,4.3,900,5.5,5.1,21503,7,
,J,Stones,MCI,D,0.55,0.66,4.9,5.5,7.0,556,5.3,6.3,20969,6,
,M,Keane,EVE,D,0.61,0.61,5.0,5.0,4.7,720,4.9,2.1,20665,17,
o,F,Balbuena,WHU,D,0.18,0.18,2.8,2.8,4.3,900,4.4,0.7,19222,47,
,Á,Morata,CHE,F,0.1,0.14,2.9,3.2,4.0,511,8.7,2.1,18301,15,
,D,Brooks,BOU,M,0.39,0.39,4.0,4.0,6.0,633,5.1,2.2,17254,13,
o,J,Vardy,LEI,F,0.21,0.22,3.9,4.0,1.7,563,9.0,5.2,16325,5,
,V,Camarasa,CAR,M,0.24,0.24,3.1,3.1,3.7,777,4.5,1.0,15908,27,
,S,Vokes,BUR,F,0.15,0.38,2.8,4.0,4.0,535,5.3,1.4,12007,15,
,F,Fernandinho,MCI,M,0.35,0.35,3.9,3.9,6.3,883,5.4,5.4,11247,4,
,B,Kayal,BHA,M,0.23,0.32,3.0,3.4,4.7,430,4.4,0.8,10849,23,
,W,Ndidi,LEI,M,0.16,0.16,2.8,2.8,4.7,900,4.9,0.8,9730,21,
,N,Aké,BOU,D,0.42,0.42,4.1,4.1,6.3,900,5.0,4.6,8888,3,
o,B,Foster,WAT,G,0.29,0.29,3.3,3.3,5.3,900,4.5,4.4,8347,3,
,B,Reid,CAR,F,0.15,0.33,2.8,3.7,5.0,543,5.2,0.6,7673,22,
,R,Sterling,MCI,M,0.45,0.45,7.0,7.0,3.0,678,11.1,7.0,6993,2,
,B,Chilwell,LEI,D,0.12,0.12,2.6,2.6,2.0,900,5.0,1.0,6007,10,
,K,Kepa,CHE,G,0.42,0.42,4.3,4.3,5.3,900,5.5,5.5,5882,2,
,L,Digne,EVE,D,0.21,0.27,3.0,3.3,3.0,619,4.8,1.7,5204,5,
,C,Paterson,CAR,M,0.21,0.35,3.1,3.8,5.3,515,5.2,0.2,4532,39,
,A,Adam Smith,BOU,D,0.36,0.36,3.6,3.6,6.0,846,4.5,1.0,4278,7,
,P,Zabaleta,WHU,D,0.23,0.23,3.0,3.0,1.7,630,4.3,2.6,3982,3,
,L,Dunk,BHA,D,0.18,0.23,2.8,3.0,6.3,739,4.4,1.5,3827,4,
,D,Lovren,LIV,D,0.96,0.96,6.7,6.7,6.7,270,4.9,2.5,3414,2,
,P,Pogba,MUN,M,0.3,0.3,4.4,4.4,4.7,872,8.0,13.4,3400,0,
,D,Sánchez,TOT,D,0.5,0.5,4.9,4.9,6.3,602,5.8,2.0,2473,2,
,A,Masina,WAT,D,0.77,1.28,5.3,7.5,5.0,186,4.3,0.1,2355,40,
,S,Steve Cook,BOU,D,0.48,0.48,4.2,4.2,5.7,900,4.6,8.7,2250,0,
,D,David Silva,MCI,M,0.36,0.36,5.1,5.1,5.0,671,8.5,7.4,2161,1,
,G,Xhaka,ARS,M,0.23,0.3,3.2,3.6,3.3,834,5.3,3.3,2144,1,
,L,Torreira,ARS,M,0.04,0.16,2.2,2.8,3.3,614,4.9,1.5,1628,2,
,I,Diop,WHU,D,0.0,0.0,2.0,2.0,2.0,720,4.3,0.6,1608,5,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,~~~~,~~~~,~~~,~~~~~,~,1576.78,~~,~~~~~~
,A,Mariappa,WAT,D,0.36,0.95,3.5,6.0,4.3,216,4.2,0.2,1563,13,
,D,Yedlin,NEW,D,0.2,0.2,2.9,2.9,3.0,799,4.5,1.2,1381,2,
,K,Zouma,EVE,D,0.26,0.32,3.3,3.6,4.3,631,5.0,0.3,1301,7,
,J,Lascelles,NEW,D,0.27,0.33,3.3,3.6,4.0,765,4.8,4.1,1278,1,
,E,Lamela,TOT,M,0.5,0.7,5.2,6.5,4.7,252,6.4,0.9,1209,2,
,J,Lerma,BOU,M,0.16,0.16,2.7,2.7,3.0,614,4.5,0.4,1110,5,
,R,Kenedy,NEW,M,0.12,0.16,2.6,2.8,4.3,681,4.9,1.3,1096,1,
m,H,Maguire,LEI,D,0.36,0.36,4.0,4.0,1.3,900,5.5,15.9,991,0,
,D,Rice,WHU,D,0.02,0.11,2.1,2.5,2.0,585,4.4,0.3,964,6,
,J,Lössl,HUD,G,0.2,0.2,2.9,2.9,2.0,707,4.4,1.5,950,1,
,V,Lindelöf,MUN,D,-0.06,-0.04,1.7,1.8,1.0,718,4.8,0.9,862,2,
,G,Bong,BHA,D,0.13,0.13,2.6,2.6,6.0,874,4.5,0.2,846,7,
,M,Sissoko,TOT,M,0.24,0.37,3.2,3.8,4.3,353,4.9,0.1,800,14,
,H,Lloris,TOT,G,0.59,0.59,5.2,5.2,6.7,540,5.4,4.2,626,0,
,L,Milivojevic,CRY,M,0.21,0.21,3.3,3.3,5.3,900,6.1,2.8,556,0,
,P,Dummett,NEW,D,0.23,0.23,3.0,3.0,2.7,720,4.4,0.2,440,4,
,C,Schindler,HUD,D,0.09,0.09,2.4,2.4,3.7,880,4.3,1.8,355,0,
,C,Löwe,HUD,D,0.05,0.05,2.2,2.2,3.3,785,4.4,0.1,325,6,
,M,Dubravka,NEW,G,0.38,0.38,3.9,3.9,4.7,900,5.0,0.5,276,1,
,F,Fernández,NEW,D,0.23,0.23,3.0,3.0,3.0,630,4.4,0.2,253,2,
,J,Stephens,SOU,D,0.65,0.65,4.8,4.8,4.3,360,4.3,0.2,238,2,
,S,Francis,BOU,D,0.2,0.5,2.9,4.2,6.0,552,4.4,0.4,143,1,
,N,Matic,MUN,M,-0.12,-0.12,1.4,1.4,1.3,600,5.0,0.6,142,0,
,W,Hoedt,SOU,D,0.23,0.23,3.0,3.0,5.3,900,4.4,0.3,7,0,
,I,Gueye,EVE,M,-0.02,-0.02,1.9,1.9,1.7,797,4.8,0.3,-6,0,
,T,Alderweireld,TOT,D,0.27,0.27,3.6,3.6,4.7,800,5.9,2.7,-90,0,
,D,Hoilett,CAR,M,0.08,0.08,2.4,2.4,2.3,593,5.1,0.1,-91,-2,
,D,Odoi,FUL,D,-0.32,-0.32,0.6,0.6,0.3,675,4.4,0.1,-125,-2,
,M,Diamé,NEW,M,0.02,0.02,2.1,2.1,2.0,885,4.9,0.1,-138,-2,
,S,March,BHA,M,0.12,0.12,2.6,2.6,3.0,793,5.0,0.2,-152,-1,
,A,Pérez,NEW,F,0.03,0.05,2.2,2.3,3.0,734,6.1,1.1,-199,0,
,B,Ecuele Manga,CAR,D,0.02,0.02,2.1,2.1,1.0,900,4.5,0.1,-232,-4,
,M,Le Marchand,FUL,D,-0.3,-0.3,0.7,0.7,0.3,599,4.3,0.2,-284,-2,
,D,Pröpper,BHA,M,0.0,0.0,2.0,2.0,1.0,692,4.8,0.1,-397,-7,
,H,Arter,CAR,M,-0.08,-0.06,1.6,1.7,1.0,670,4.9,0.2,-535,-5,
,M,Lemina,SOU,M,0.06,0.06,2.3,2.3,2.0,875,4.9,0.3,-568,-3,
,C,Taylor,BUR,D,-0.11,-0.09,1.5,1.6,0.7,720,4.4,0.3,-666,-4,
,J,Ralls,CAR,M,-0.09,-0.09,1.6,1.6,-0.7,675,4.7,0.1,-735,-13,
,C,Kabasele,WAT,D,-0.13,0.07,1.4,2.3,-1.0,666,4.5,0.4,-817,-4,
,C,Coady,WOL,D,0.29,0.29,3.3,3.3,2.7,900,4.5,0.6,-838,-2,
,M,Lowton,BUR,D,-0.04,-0.04,1.8,1.8,0.3,720,4.7,0.4,-906,-4,
,V,van Dijk,LIV,D,0.37,0.37,4.2,4.2,5.3,864,5.9,15.2,-934,0,
,M,Ritchie,NEW,M,0.05,0.05,2.3,2.3,2.0,711,5.8,0.5,-957,-3,
,S,Morrison,CAR,D,0.06,0.06,2.3,2.3,0.7,900,4.8,0.4,-988,-4,
,J,Mata,MUN,M,0.16,0.4,3.0,4.5,4.3,410,6.2,1.2,-999,-1,
,C,Cédric,SOU,D,0.27,0.27,3.2,3.2,5.3,865,4.4,4.7,-1015,0,
,J,Shelvey,NEW,M,0.17,0.17,2.9,2.9,3.3,630,5.4,0.6,-1032,-3,
,K,McDonald,FUL,M,-0.2,-0.18,1.1,1.2,0.3,595,4.4,0.3,-1072,-6,
,A,Masuaku,WHU,M,0.0,0.0,2.0,2.0,1.3,720,4.4,1.9,-1117,-1,
,N,Redmond,SOU,M,0.08,0.08,2.4,2.4,2.7,900,5.3,0.3,-1147,-7,
,G,Wijnaldum,LIV,M,0.25,0.31,3.4,3.7,3.0,834,5.5,1.5,-1176,-1,
,B,Bernard,EVE,M,0.1,0.34,2.6,4.0,4.0,288,5.9,0.3,-1542,-9,
,D,Amartey,LEI,M,-0.07,-0.02,1.7,1.9,1.7,639,4.4,0.3,-1818,-10,
,J,Bennett,CAR,D,0.18,0.18,2.8,2.8,1.0,720,4.5,0.7,-1825,-4,
,M,Bettinelli,FUL,G,0.02,0.02,2.1,2.1,0.0,630,4.4,0.6,-1826,-5,
,K,Trippier,TOT,D,0.63,0.63,6.0,6.0,5.0,795,6.3,33.5,-1864,0,
,S,Bamba,CAR,D,0.24,0.24,3.1,3.1,1.7,810,4.5,1.1,-2238,-3,
,H,Costa,WOL,M,0.02,0.04,2.1,2.2,2.3,711,4.9,0.5,-2419,-8,
,J,Cork,BUR,M,-0.02,-0.02,1.9,1.9,1.7,882,4.7,0.5,-2669,-9,
,J,McArthur,CRY,M,0.02,0.02,2.1,2.1,1.7,826,4.8,0.8,-2720,-6,
,A,Mooy,HUD,M,0.0,0.0,2.0,2.0,1.7,810,5.2,1.5,-2794,-3,
,P,Cech,ARS,G,0.28,0.36,3.4,3.8,0.0,585,5.0,1.5,-2805,-3,
,A,Gray,WAT,F,0.18,0.27,3.1,3.6,1.0,603,6.0,1.4,-3051,-4,
,C,Cathcart,WAT,D,0.31,0.31,3.4,3.4,3.7,891,4.5,1.0,-3165,-5,
,S,Mustafi,ARS,D,0.17,0.17,2.9,2.9,1.7,900,5.4,1.3,-3351,-4,
,X,Shaqiri,LIV,M,0.31,0.57,4.2,6.0,4.0,215,7.0,2.4,-3417,-2,
,A,Begovic,BOU,G,0.38,0.38,3.7,3.7,7.0,900,4.5,4.4,-3479,-1,
,A,Townsend,CRY,M,0.04,0.04,2.2,2.2,2.0,866,5.7,1.0,-3508,-6,
,M,Sakho,CRY,D,0.2,0.2,3.0,3.0,1.3,900,5.0,1.5,-3735,-4,
,N,Mendy,LEI,M,0.11,0.11,2.5,2.5,1.3,720,4.5,1.2,-3786,-5,
,C,Smalling,MUN,D,0.17,0.17,3.0,3.0,1.0,720,5.8,1.8,-3928,-4,
,C,Azpilicueta,CHE,D,0.34,0.34,4.2,4.2,4.7,900,6.4,10.0,-4090,-1,
,K,Schmeichel,LEI,G,0.12,0.12,2.6,2.6,2.3,900,5.0,5.0,-4303,-1,
,A,Doucouré,WAT,M,0.29,0.29,3.7,3.7,5.0,900,5.9,1.8,-4468,-4,
,F,Felipe Anderson,WHU,M,0.15,0.15,3.0,3.0,2.0,810,6.8,2.4,-4785,-3,
,A,McCarthy,SOU,G,0.44,0.44,4.0,4.0,4.7,900,4.5,3.6,-5079,-2,
o,M,Doherty,WOL,D,0.65,0.65,5.2,5.2,6.0,859,4.9,16.4,-5152,-1,
,P,Billing,HUD,M,0.11,0.11,2.5,2.5,1.7,866,4.5,2.3,-5240,-4,
,A,Westwood,BUR,M,0.07,0.2,2.3,2.9,1.3,661,4.5,1.9,-5756,-5,
,D,Stephens,BHA,M,-0.05,-0.02,1.8,1.9,2.0,650,4.4,4.8,-5827,-2,
,M,Noble,WHU,M,0.02,0.14,2.1,2.7,0.3,600,4.9,0.3,-5997,-34,
,J,Jonny,WOL,D,0.44,0.53,4.0,4.4,2.3,828,4.5,2.9,-6178,-4,
,M,Zanka,HUD,D,0.05,0.05,2.2,2.2,1.3,797,4.4,3.6,-6382,-3,
,R,Bertrand,SOU,D,0.27,0.27,3.3,3.3,3.7,900,4.9,4.4,-7129,-3,
,D,Jota,WOL,M,0.03,0.08,2.2,2.5,1.7,740,5.9,1.1,-7518,-12,
,R,Sessegnon,FUL,M,0.12,0.18,2.7,3.1,4.0,737,6.0,2.8,-8116,-5,
,W,Hughes,WAT,M,0.22,0.22,3.1,3.1,2.0,820,5.0,1.8,-8199,-8,
,B,Mee,BUR,D,0.08,0.08,2.4,2.4,0.3,900,4.8,2.5,-8463,-6,
,L,Shaw,MUN,D,0.24,0.24,3.2,3.2,1.0,810,5.0,8.0,-8691,-2,
