W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,110222
,E,Ederson,MCI,G,0.64,0.64,5.7,5.7,7.0,900,5.8,26.4,51766,3,
,H,Lloris,TOT,G,0.59,0.59,5.2,5.2,6.7,540,5.4,4.2,626,0,
m,M,Ryan,BHA,G,0.56,0.56,4.5,4.5,10.0,900,4.5,5.3,52906,17,
,J,Pickford,EVE,G,0.53,0.53,4.6,4.6,9.3,900,4.9,14.3,40652,5,
,R,Patrício,WOL,G,0.52,0.52,4.4,4.4,4.0,900,4.6,10.3,-24910,-4,
,A,Alisson,LIV,G,0.47,0.47,4.7,4.7,4.7,900,5.7,19.9,-36491,-3,
,W,Hennessey,CRY,G,0.46,0.46,4.1,4.1,1.3,900,4.6,6.5,-30761,-8,
,A,McCarthy,SOU,G,0.44,0.44,4.0,4.0,4.7,900,4.5,3.6,-5079,-2,
o,J,Hart,BUR,G,0.43,0.43,4.0,4.0,1.3,900,4.6,8.8,-14854,-3,
,K,Kepa,CHE,G,0.42,0.42,4.3,4.3,5.3,900,5.5,5.5,5882,2,
m,L,Fabianski,WHU,G,0.42,0.42,3.9,3.9,3.7,900,4.5,13.7,24474,3,
,N,Etheridge,CAR,G,0.39,0.39,3.8,3.8,1.3,900,4.6,6.2,-20149,-6,
~,~,~~~~~~~~,~~~~,~,~~~~,0.39,~~~,~~~~,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,A,Begovic,BOU,G,0.38,0.38,3.7,3.7,7.0,900,4.5,4.4,-3479,-1,
,M,Dubravka,NEW,G,0.38,0.38,3.9,3.9,4.7,900,5.0,0.5,276,1,
,P,Cech,ARS,G,0.28,0.36,3.4,3.8,0.0,585,5.0,1.5,-2805,-3,
o,B,Foster,WAT,G,0.29,0.29,3.3,3.3,5.3,900,4.5,4.4,8347,3,
,J,Lössl,HUD,G,0.2,0.2,2.9,2.9,2.0,707,4.4,1.5,950,1,
,D,De Gea,MUN,G,0.14,0.14,2.8,2.8,2.7,900,5.8,16.9,-30264,-3,
,K,Schmeichel,LEI,G,0.12,0.12,2.6,2.6,2.3,900,5.0,5.0,-4303,-1,
,M,Bettinelli,FUL,G,0.02,0.02,2.1,2.1,0.0,630,4.4,0.6,-1826,-5,
