O,I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
,S,Agüero,MCI,F,0.54,67,8,8.4,602,75.0,11.8,22.3
x,R,Sterling,MCI,M,0.6,62,9,6.9,583,64.0,8.2,12.3
x,L,Sané,MCI,M,0.52,73,11,6.6,672,61.0,8.9,26.7
x,M,Salah,LIV,M,0.48,72,11,6.5,849,77.0,9.4,41.4
,B,Davies,TOT,D,0.78,52,8,6.5,620,77.0,5.8,19.2
x,H,Kane,TOT,F,0.35,65,10,6.5,865,86.0,12.8,38.6
x,Á,Morata,CHE,F,0.42,63,10,6.3,716,71.0,10.3,21.0
,C,Azpilicueta,CHE,D,0.6,67,11,6.1,990,90.0,6.8,18.9
,K,Trippier,TOT,D,0.7,48,8,6.0,633,79.0,5.7,9.1
,D,de Gea,MUN,G,0.68,65,11,5.9,990,90.0,5.7,41.2
,K,De Bruyne,MCI,M,0.38,64,11,5.8,929,84.0,10.1,20.5
,E,Bailly,MUN,D,0.62,46,8,5.8,720,90.0,6.1,10.6
,R,Lukaku,MUN,F,0.33,64,11,5.8,990,90.0,11.5,48.0
,C,Eriksen,TOT,M,0.38,63,11,5.7,923,83.0,9.7,24.1
,N,Pope,BUR,G,0.78,45,8,5.6,684,85.0,4.6,2.5
,D,David Silva,MCI,M,0.42,61,11,5.5,962,87.0,8.4,22.1
,A,Valencia,MUN,D,0.52,61,11,5.5,990,90.0,6.7,15.2
,A,Ramsey,ARS,M,0.49,54,10,5.4,764,76.0,7.0,5.9
,G,Jesus,MCI,F,0.32,54,10,5.4,598,59.0,10.5,15.7
x,P,Jones,MUN,D,0.62,59,11,5.4,893,81.0,5.5,14.6
x,P,Groß,BHA,M,0.56,58,11,5.3,920,83.0,5.9,19.3
,R,Richarlison,WAT,M,0.51,58,11,5.3,930,84.0,6.5,18.0
,S,Kolasinac,ARS,D,0.53,52,10,5.2,862,86.0,6.0,10.9
,S,Ward,BUR,D,0.63,56,11,5.1,980,89.0,4.9,19.1
,J,Lössl,HUD,G,0.67,56,11,5.1,990,90.0,4.6,9.6
,R,Mahrez,LEI,M,0.37,56,11,5.1,865,78.0,8.4,5.0
x,N,Otamendi,MCI,D,0.53,56,11,5.1,970,88.0,5.9,16.1
,M,Yoshida,SOU,D,0.61,46,9,5.1,810,90.0,5.1,4.9
,B,Alli,TOT,M,0.31,49,10,4.9,891,89.0,9.3,18.6
,K,Walker,MCI,D,0.42,48,10,4.8,853,85.0,6.6,14.5
