O,I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
x,R,Sterling,MCI,M,0.6,62,9,6.9,583,64.0,8.2,12.3
x,P,Groß,BHA,M,0.56,58,11,5.3,920,83.0,5.9,19.3
x,L,Sané,MCI,M,0.52,73,11,6.6,672,61.0,8.9,26.7
,R,Richarlison,WAT,M,0.51,58,11,5.3,930,84.0,6.5,18.0
,A,Doucouré,WAT,M,0.5,52,11,4.7,990,90.0,5.4,17.7
,A,Ramsey,ARS,M,0.49,54,10,5.4,764,76.0,7.0,5.9
x,M,Salah,LIV,M,0.48,72,11,6.5,849,77.0,9.4,41.4
,F,Fernandinho,MCI,M,0.44,47,11,4.3,959,87.0,5.2,7.2
,D,David Silva,MCI,M,0.42,61,11,5.5,962,87.0,8.4,22.1
,X,Shaqiri,STK,M,0.42,45,10,4.5,827,82.0,5.9,4.8
,A,Surman,BOU,M,0.4,39,10,3.9,900,90.0,4.7,7.0
,S,Davis,SOU,M,0.39,44,11,4.0,864,78.0,5.1,4.8
,K,De Bruyne,MCI,M,0.38,64,11,5.8,929,84.0,10.1,20.5
,C,Eriksen,TOT,M,0.38,63,11,5.7,923,83.0,9.7,24.1
,R,Mahrez,LEI,M,0.37,56,11,5.1,865,78.0,8.4,5.0
,E,Choupo-Moting,STK,M,0.35,44,11,4.0,918,83.0,5.7,6.0
,H,Mkhitaryan,MUN,M,0.34,52,11,4.7,785,71.0,8.0,14.7
,J,Hendrick,BUR,M,0.33,30,8,3.8,609,76.0,5.4,0.2
,A,Mooy,HUD,M,0.31,41,11,3.7,915,83.0,5.5,7.8
,B,Alli,TOT,M,0.31,49,10,4.9,891,89.0,9.3,18.6
,N,Kanté,CHE,M,0.29,27,8,3.4,720,90.0,4.9,12.0
,J,Henderson,LIV,M,0.29,32,9,3.6,810,90.0,5.5,2.0
,G,Xhaka,ARS,M,0.27,38,11,3.5,957,87.0,5.5,10.6
,M,Ritchie,NEW,M,0.27,40,11,3.6,975,88.0,5.9,4.1
,C,Atsu,NEW,M,0.27,37,11,3.4,913,83.0,5.1,3.7
,T,Bakayoko,CHE,M,0.25,33,10,3.3,762,76.0,5.1,4.0
,R,Brady,BUR,M,0.22,35,11,3.2,977,88.0,5.5,1.7
,T,Cleverley,WAT,M,0.22,34,11,3.1,963,87.0,5.0,1.3
,P,Obiang,WHU,M,0.22,21,7,3.0,509,72.0,4.5,1.4
,N,Matic,MUN,M,0.2,33,11,3.0,990,90.0,5.0,14.2
,A,Ayew,WHU,M,0.2,34,10,3.4,592,59.0,6.9,1.3
,G,Krychowiak,WBA,M,0.2,24,8,3.0,678,84.0,5.0,0.4
,A,Knockaert,BHA,M,0.19,34,11,3.1,734,66.0,5.7,0.9
,D,Fletcher,STK,M,0.18,32,11,2.9,990,90.0,4.9,0.8
,M,Phillips,WBA,M,0.18,30,10,3.0,538,53.0,5.7,0.8
~,~,~~~~~~~~,~~~~,~,0.18,~~,~,~~~,~~~,~~~~~,~~~~~,~
,C,Fàbregas,CHE,M,0.16,31,10,3.1,797,79.0,6.9,4.8
,A,Sánchez,ARS,M,0.15,30,8,3.8,542,67.0,11.8,2.7
,M,Özil,ARS,M,0.14,30,9,3.3,657,73.0,9.3,1.9
,S,Arfield,BUR,M,0.14,19,7,2.7,496,70.0,4.9,0.2
,A,Young,MUN,M,0.14,19,7,2.7,617,88.0,4.9,0.4
,C,Kouyaté,WHU,M,0.14,24,9,2.7,694,77.0,5.0,0.5
,M,Antonio,WHU,M,0.14,27,9,3.0,662,73.0,7.4,0.3
,D,Stephens,BHA,M,0.13,29,11,2.6,990,90.0,4.5,1.7
,G,Barry,WBA,M,0.13,26,10,2.6,862,86.0,4.5,1.5
,G,Wijnaldum,LIV,M,0.13,26,9,2.9,757,84.0,6.7,2.5
,T,Carroll,SWA,M,0.13,29,11,2.6,946,86.0,4.5,6.5
,S,March,BHA,M,0.12,29,11,2.6,716,65.0,5.0,0.5
,J,Gudmundsson,BUR,M,0.12,26,10,2.6,614,61.0,5.0,0.1
,T,Ince,HUD,M,0.12,30,11,2.7,990,90.0,5.7,0.6
,M,Merino,NEW,M,0.12,23,9,2.6,598,66.0,5.0,0.2
,D,Pröpper,BHA,M,0.11,29,11,2.6,990,90.0,5.4,0.1
,W,Ndidi,LEI,M,0.1,27,11,2.5,990,90.0,4.9,0.4
,N,Redmond,SOU,M,0.1,29,11,2.6,785,71.0,6.2,2.6
,S,Defour,BUR,M,0.09,28,11,2.5,929,84.0,5.5,0.3
,J,Cork,BUR,M,0.09,26,11,2.4,990,90.0,4.5,3.2
,D,Tadic,SOU,M,0.09,29,11,2.6,892,81.0,6.4,2.1
,E,Kachunga,HUD,M,0.08,27,11,2.5,817,74.0,5.9,0.2
,E,Can,LIV,M,0.08,22,9,2.4,704,78.0,4.9,5.5
,M,Lemina,SOU,M,0.08,17,7,2.4,572,81.0,5.0,0.2
,W,Willian,CHE,M,0.07,28,11,2.5,573,52.0,6.7,6.8
x,R,Loftus-Cheek,CRY,M,0.07,16,7,2.3,540,77.0,4.5,5.3
,L,Milivojevic,CRY,M,0.07,23,10,2.3,739,73.0,4.6,0.4
,E,Dier,TOT,M,0.06,25,11,2.3,886,80.0,4.9,3.0
,A,Townsend,CRY,M,0.04,24,11,2.2,945,85.0,5.7,1.0
,J,Allen,STK,M,0.04,22,10,2.2,893,89.0,5.2,1.5
,Y,Cabaye,CRY,M,0.02,19,9,2.1,713,79.0,5.4,0.3
,O,Oriol Romeu,SOU,M,0.02,23,11,2.1,944,85.0,4.4,3.1
,A,Carrillo,WAT,M,0.02,19,9,2.1,591,65.0,5.5,0.0
,J,Ibe,BOU,M,0.0,20,10,2.0,513,51.0,4.9,0.5
,L,Fer,SWA,M,0.0,20,10,2.0,779,77.0,5.4,0.3
,J,Livermore,WBA,M,0.0,20,10,2.0,790,79.0,4.9,0.2
