W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,111110
 ,A,Martial         ,MUN ,M,0.59 ,0.29 ,6.4,4.2 ,8.5 ,528 ,7.5  ,10.8,19745 ,3  ,      
 ,R,Jiménez         ,WOL ,F,0.44 ,-0.35,4.5,0.0 ,3.8 ,895 ,5.7  ,8.8 ,11708 ,2  ,      
m,R,Sterling        ,MCI ,M,0.59 ,0.3  ,8.6,5.3 ,6.8 ,768 ,11.1 ,8.4 ,10575 ,2  ,      
m,F,Felipe Anderson ,WHU ,M,0.33 ,-0.03,4.3,1.8 ,6.5 ,990 ,6.9  ,4.9 ,9875  ,3  ,      
 ,L,Dunk            ,BHA ,D,0.36 ,0.3  ,3.6,3.3 ,7.0 ,919 ,4.4  ,2.4 ,9841  ,7  ,      
m,A,Laporte         ,MCI ,D,0.53 ,0.85 ,5.1,7.0 ,3.5 ,990 ,5.9  ,11.4,7092  ,1  ,      
o,A,Robertson       ,LIV ,D,0.66 ,0.61 ,6.2,5.9 ,4.8 ,990 ,6.4  ,30.6,6558  ,0  ,      
o,R,Fraser          ,BOU ,M,0.61 ,0.61 ,5.8,5.8 ,5.5 ,1022,6.2  ,25.4,6279  ,0  ,      
m,B,Mendy           ,MCI ,D,0.77 ,0.48 ,6.9,5.1 ,4.5 ,720 ,6.4  ,19.7,6240  ,1  ,      
o,S,Agüero          ,MCI ,F,0.4  ,0.18 ,6.6,4.0 ,5.3 ,801 ,11.4 ,51.3,5930  ,0  ,      
o,C,Wilson          ,BOU ,F,0.59 ,0.65 ,6.0,6.4 ,5.8 ,1057,6.8  ,35.5,4946  ,0  ,      
 ,R,Pereira         ,LEI ,D,0.58 ,0.48 ,4.9,4.4 ,3.5 ,873 ,5.0  ,5.0 ,4841  ,2  ,      
o,M,Doherty         ,WOL ,D,0.57 ,-0.41,4.8,0.0 ,1.0 ,949 ,4.9  ,16.3,4423  ,0  ,      
m,B,Chilwell        ,LEI ,D,0.33 ,0.29 ,3.7,3.5 ,6.0 ,1080,5.1  ,2.3 ,4202  ,3  ,      
 ,C,Paterson        ,CAR ,M,0.37 ,0.31 ,3.9,3.6 ,7.0 ,695 ,5.2  ,0.3 ,3883  ,22 ,      
 ,T,Alexander-Arnold,LIV ,D,0.58 ,0.48 ,4.9,4.4 ,3.3 ,895 ,5.0  ,17.7,3616  ,0  ,      
 ,G,Sigurdsson      ,EVE ,M,0.39 ,0.49 ,4.9,5.7 ,4.3 ,972 ,7.5  ,7.4 ,2964  ,1  ,      
o,J,Hart            ,BUR ,G,0.51 ,-0.44,4.3,0.0 ,3.3 ,1080,4.5  ,8.5 ,2801  ,1  ,      
 ,V,van Dijk        ,LIV ,D,0.37 ,0.33 ,4.2,4.0 ,4.5 ,1044,6.0  ,16.3,2727  ,0  ,      
o,R,Richarlison     ,EVE ,M,0.54 ,0.33 ,5.7,4.3 ,6.0 ,792 ,6.9  ,25.6,2640  ,0  ,      
 ,H,Bellerín        ,ARS ,D,0.28 ,0.31 ,3.5,3.7 ,2.5 ,945 ,5.4  ,10.5,1912  ,0  ,      
m,J,Gudmundsson     ,BUR ,M,0.45 ,0.55 ,4.7,5.3 ,3.3 ,888 ,6.0  ,3.6 ,1830  ,1  ,      
 ,A,Rüdiger         ,CHE ,D,0.4  ,0.47 ,4.4,4.8 ,4.8 ,1013,6.0  ,4.5 ,1776  ,1  ,      
o,M,Alonso          ,CHE ,D,0.66 ,0.73 ,6.6,7.1 ,4.8 ,1035,7.0  ,47.3,1754  ,0  ,      
 ,J,Foyth           ,TOT ,D,1.1  ,-0.4 ,7.5,0.0 ,7.5 ,180 ,5.0  ,0.0 ,1748  ,0.0,      
 ,D,David Silva     ,MCI ,M,0.39 ,0.2  ,5.3,3.7 ,4.8 ,742 ,8.5  ,7.5 ,1673  ,0  ,      
 ,Á,Morata          ,CHE ,F,0.18 ,0.3  ,3.6,4.6 ,5.3 ,646 ,8.7  ,2.9 ,1636  ,1  ,      
m,M,Arnautovic      ,WHU ,F,0.45 ,-0.28,5.2,0.0 ,3.8 ,809 ,7.1  ,22.2,1524  ,0  ,      
 ,J,Jonny           ,WOL ,D,0.44 ,0.24 ,4.0,3.1 ,1.5 ,918 ,4.5  ,3.0 ,1518  ,1  ,      
 ,E,Ederson         ,MCI ,G,0.6  ,-0.34,5.5,0.0 ,4.3 ,990 ,5.8  ,26.5,1452  ,0  ,      
 ,P,Aubameyang      ,ARS ,F,0.36 ,0.2  ,5.9,4.2 ,5.5 ,760 ,10.9 ,16.3,1409  ,0  ,      
 ,R,Kenedy          ,NEW ,M,0.18 ,0.2  ,2.9,3.0 ,3.5 ,848 ,4.9  ,1.4 ,1361  ,2  ,      
 ,V,Camarasa        ,CAR ,M,0.2  ,0.07 ,2.9,2.3 ,3.3 ,957 ,4.5  ,1.5 ,1301  ,1  ,      
 ,J,Pickford        ,EVE ,G,0.43 ,0.49 ,4.1,4.4 ,7.3 ,1035,4.9  ,14.5,1299  ,0  ,      
 ,X,Shaqiri         ,LIV ,M,0.33 ,0.07 ,4.3,2.5 ,5.3 ,305 ,7.0  ,2.5 ,1269  ,1  ,      
 ,M,Keane           ,EVE ,D,0.47 ,0.55 ,4.3,4.7 ,3.8 ,855 ,4.9  ,2.1 ,1107  ,1  ,      
 ,S,Bamba           ,CAR ,D,0.36 ,0.22 ,3.6,3.0 ,3.8 ,990 ,4.5  ,1.1 ,1002  ,2  ,      
 ,J,Milner          ,LIV ,M,0.3  ,-0.09,3.7,1.5 ,3.8 ,778 ,5.6  ,4.9 ,901   ,0  ,      
 ,T,Alderweireld    ,TOT ,D,0.27 ,0.58 ,3.6,5.4 ,4.3 ,980 ,5.9  ,2.7 ,814   ,1  ,      
 ,F,Fernandinho     ,MCI ,M,0.31 ,-0.37,3.7,0.0 ,4.5 ,961 ,5.4  ,5.4 ,761   ,0  ,      
 ,L,Sané            ,MCI ,M,0.37 ,0.27 ,5.4,4.5 ,5.3 ,474 ,9.2  ,4.6 ,761   ,0  ,      
 ,A,Lacazette       ,ARS ,F,0.34 ,0.46 ,5.3,6.5 ,2.5 ,805 ,9.7  ,14.1,747   ,0  ,      
 ,S,Coleman         ,EVE ,D,0.17 ,0.21 ,2.9,3.1 ,4.3 ,675 ,5.2  ,0.9 ,666   ,1  ,      
 ,R,Neves           ,WOL ,M,0.3  ,0.0  ,3.5,2.0 ,2.5 ,990 ,5.0  ,17.4,651   ,0  ,      
 ,L,Shaw            ,MUN ,D,0.2  ,-0.4 ,3.0,0.0 ,1.0 ,900 ,5.0  ,7.5 ,650   ,0  ,      
m,S,Duffy           ,BHA ,D,0.4  ,0.47 ,3.9,4.2 ,3.8 ,1080,4.7  ,7.2 ,641   ,0  ,      
 ,J,Lerma           ,BOU ,M,0.24 ,0.22 ,3.1,3.0 ,3.8 ,749 ,4.5  ,0.4 ,631   ,3  ,      
 ,D,Yedlin          ,NEW ,D,0.27 ,0.0  ,3.2,2.0 ,4.3 ,979 ,4.5  ,1.4 ,621   ,1  ,      
 ,C,Schindler       ,HUD ,D,0.26 ,0.28 ,3.1,3.2 ,4.0 ,1060,4.3  ,2.0 ,606   ,1  ,      
 ,D,David Luiz      ,CHE ,D,0.29 ,0.33 ,3.6,3.8 ,2.5 ,1035,5.5  ,5.3 ,595   ,0  ,      
 ,W,Ndidi           ,LEI ,M,0.16 ,0.16 ,2.8,2.8 ,4.5 ,1080,4.9  ,1.0 ,589   ,1  ,      
 ,J,Holebas         ,WAT ,D,0.5  ,-0.42,4.4,0.0 ,2.3 ,893 ,4.8  ,12.3,546   ,0  ,      
 ,S,March           ,BHA ,M,0.2  ,0.18 ,3.0,2.9 ,4.0 ,900 ,5.0  ,0.3 ,436   ,2  ,      
 ,R,Mahrez          ,MCI ,M,0.24 ,0.35 ,4.1,5.0 ,5.3 ,499 ,8.6  ,3.3 ,401   ,0  ,      
 ,J,Gomez           ,LIV ,D,0.43 ,0.47 ,4.2,4.4 ,3.3 ,935 ,5.1  ,4.2 ,378   ,0  ,      
m,D,Brooks          ,BOU ,M,0.31 ,0.35 ,3.6,3.8 ,3.3 ,813 ,5.1  ,2.8 ,327   ,0  ,      
 ,L,Digne           ,EVE ,D,0.15 ,-0.42,2.7,0.0 ,2.5 ,754 ,4.8  ,1.7 ,327   ,0  ,      
 ,G,Xhaka           ,ARS ,M,0.21 ,0.26 ,3.1,3.4 ,2.5 ,924 ,5.3  ,3.6 ,324   ,0  ,      
 ,G,Deulofeu        ,WAT ,M,0.3  ,0.3  ,3.6,3.6 ,4.3 ,303 ,5.4  ,0.9 ,317   ,1  ,      
 ,V,Lindelöf        ,MUN ,D,-0.06,-0.02,1.7,1.9 ,1.3 ,808 ,4.8  ,0.9 ,312   ,1  ,      
 ,L,Torreira        ,ARS ,M,0.04 ,-0.12,2.2,1.4 ,2.5 ,704 ,4.9  ,1.6 ,308   ,0  ,      
 ,R,Patrício        ,WOL ,G,0.48 ,-0.24,4.2,0.9 ,1.3 ,990 ,4.6  ,10.0,277   ,0  ,      
 ,F,Fernández       ,NEW ,D,0.32 ,-0.45,3.4,0.0 ,4.5 ,810 ,4.4  ,0.3 ,253   ,1  ,      
 ,A,Mariappa        ,WAT ,D,0.24 ,0.71 ,3.0,5.0 ,4.0 ,396 ,4.2  ,0.2 ,178   ,2  ,      
 ,C,Taylor          ,BUR ,D,-0.05,-0.14,1.8,1.4 ,1.8 ,900 ,4.4  ,0.3 ,119   ,1  ,      
 ,K,Schmeichel      ,LEI ,G,0.26 ,0.22 ,3.3,3.1 ,4.5 ,1080,5.0  ,5.1 ,110   ,0  ,      
 ,A,Pérez           ,NEW ,F,0.11 ,0.13 ,2.7,2.8 ,3.5 ,869 ,6.1  ,1.2 ,107   ,0  ,      
