O,I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
x,S,Mustafi,ARS,D,0.89,40,6,6.7,540,90,5.3,1.9
,C,Azpilicueta,CHE,D,0.6,73,12,6.1,1080,90,6.8,20.3
,B,Davies,TOT,D,0.68,53,9,5.9,710,79,5.7,18.5
,E,Bailly,MUN,D,0.62,46,8,5.8,720,90,6.1,10.2
,P,Jones,MUN,D,0.62,59,11,5.4,893,81,5.5,11.3
,K,Trippier,TOT,D,0.6,49,9,5.4,723,80,5.7,8.8
,S,Kolasinac,ARS,D,0.55,58,11,5.3,952,87,6.0,11.9
,A,Valencia,MUN,D,0.49,63,12,5.3,1080,90,6.7,15.6
,K,Walker,MCI,D,0.48,57,11,5.2,943,86,6.6,15.2
,S,Ward,BUR,D,0.62,61,12,5.1,1070,89,5.0,21.4
x,N,Otamendi,MCI,D,0.53,56,11,5.1,970,88,5.8,15.5
,M,Yoshida,SOU,D,0.62,46,9,5.1,810,90,5.0,4.5
,M,Alonso,CHE,D,0.43,60,12,5.0,1025,85,6.9,14.3
,N,Monreal,ARS,D,0.48,56,12,4.7,1080,90,5.6,11.0
,M,Lowton,BUR,D,0.5,51,12,4.3,1080,90,4.6,3.8
,B,Mee,BUR,D,0.5,51,12,4.3,1080,90,4.6,11.8
,C,Smalling,MUN,D,0.43,30,7,4.3,555,79,5.4,3.0
,J,Fonte,WHU,D,0.47,34,8,4.3,688,86,4.9,1.5
,J,Vertonghen,TOT,D,0.36,50,12,4.2,1080,90,6.1,9.3
,J,Gomez,LIV,D,0.43,36,9,4.0,721,80,4.6,4.6
x,J,Lascelles,NEW,D,0.43,44,11,4.0,947,86,4.7,9.3
,H,Maguire,LEI,D,0.37,47,12,3.9,1080,90,5.1,7.7
,D,Sánchez,TOT,D,0.32,35,9,3.9,721,80,6.0,0.6
x,C,Daniels,BOU,D,0.37,45,12,3.8,1080,90,4.9,11.1
,R,Klavan,LIV,D,0.42,23,6,3.8,540,90,4.3,0.8
,J,Stones,MCI,D,0.32,46,12,3.8,884,74,5.7,8.4
,T,Alderweireld,TOT,D,0.31,38,10,3.8,900,90,5.9,7.3
,H,Bellerín,ARS,D,0.29,44,12,3.7,1080,90,5.9,9.5
