O,I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
,N,Pope,BUR,G,0.85,53,9,5.9,774,86,4.6,3.2
,D,de Gea,MUN,G,0.64,68,12,5.7,1080,90,5.8,41.8
,J,Lössl,HUD,G,0.59,56,12,4.7,1080,90,4.6,9.8
,T,Courtois,CHE,G,0.44,53,12,4.4,1080,90,5.4,12.8
,F,Forster,SOU,G,0.47,53,12,4.4,1080,90,5.1,8.8
,P,Cech,ARS,G,0.37,48,12,4.0,1080,90,5.4,5.2
,E,Ederson,MCI,G,0.36,48,12,4.0,1035,86,5.5,5.0
x,L,Fabianski,SWA,G,0.43,48,12,4.0,1080,90,4.6,7.9
,K,Schmeichel,LEI,G,0.38,47,12,3.9,1080,90,5.0,4.2
,H,Lloris,TOT,G,0.35,43,11,3.9,990,90,5.5,9.5
~,~,~~~~~~~~,~~~~,~,~~~~,~~,~,3.81,~~~,~~~~~,~~~~~,~
,A,Begovic,BOU,G,0.38,44,12,3.7,1080,90,4.5,4.2
,M,Ryan,BHA,G,0.36,43,12,3.6,1080,90,4.5,0.9
,S,Mignolet,LIV,G,0.31,39,11,3.5,990,90,4.9,1.5
x,R,Elliot,NEW,G,0.33,41,12,3.4,1080,90,4.2,26.5
,H,Gomes,WAT,G,0.27,38,12,3.2,1048,87,4.5,2.2
,J,Hart,WHU,G,0.27,38,12,3.2,1080,90,4.4,8.4
,B,Foster,WBA,G,0.2,32,11,2.9,990,90,4.4,11.6
,W,Hennessey,CRY,G,0.16,19,7,2.7,630,90,4.3,0.9
,J,Butland,STK,G,0.14,30,11,2.7,990,90,5.0,2.7
,J,Pickford,EVE,G,0.08,29,12,2.4,1080,90,4.9,6.2
