O,I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
x,M,Salah,LIV,M,0.55,88,12,7.3,928,77,9.6,44.5
x,L,Sané,MCI,M,0.52,80,12,6.7,762,64,9.0,29.0
x,R,Sterling,MCI,M,0.56,65,10,6.5,666,67,8.1,10.5
,K,De Bruyne,MCI,M,0.4,72,12,6.0,1017,85,10.1,21.2
x,P,Groß,BHA,M,0.63,68,12,5.7,1003,84,5.9,19.5
,D,David Silva,MCI,M,0.43,67,12,5.6,1052,88,8.4,21.3
,R,Richarlison,WAT,M,0.54,66,12,5.5,1020,85,6.5,19.1
,C,Eriksen,TOT,M,0.36,65,12,5.4,1013,84,9.5,22.1
,A,Ramsey,ARS,M,0.46,57,11,5.2,854,78,7.0,6.1
,E,Hazard,CHE,M,0.27,44,9,4.9,541,60,10.6,5.6
,R,Mahrez,LEI,M,0.33,58,12,4.8,947,79,8.4,4.7
,H,Mkhitaryan,MUN,M,0.34,52,11,4.7,785,71,7.9,12.0
,B,Alli,TOT,M,0.28,51,11,4.6,965,88,9.2,16.5
,A,Doucouré,WAT,M,0.48,55,12,4.6,1080,90,5.4,17.1
,X,Shaqiri,STK,M,0.42,50,11,4.5,899,82,6.0,5.4
,E,Choupo-Moting,STK,M,0.44,54,12,4.5,1008,84,5.7,6.0
,F,Fernandinho,MCI,M,0.42,50,12,4.2,1049,87,5.2,8.0
,A,Sánchez,ARS,M,0.18,37,9,4.1,632,70,11.8,2.7
,A,Surman,BOU,M,0.45,45,11,4.1,990,90,4.7,7.9
,J,Hendrick,BUR,M,0.37,36,9,4.0,688,76,5.4,0.3
,S,Davis,SOU,M,0.35,46,12,3.8,954,80,5.1,4.7
,M,Özil,ARS,M,0.17,36,10,3.6,740,74,9.3,1.9
,A,Mooy,HUD,M,0.29,43,12,3.6,1005,84,5.5,7.4
,J,Mata,MUN,M,0.23,32,9,3.6,573,64,6.9,2.2
,C,Fàbregas,CHE,M,0.22,39,11,3.5,863,78,6.9,4.9
,J,Henderson,LIV,M,0.27,35,10,3.5,900,90,5.5,1.8
,M,Ritchie,NEW,M,0.26,42,12,3.5,1040,87,5.8,3.7
,R,Brady,BUR,M,0.25,41,12,3.4,1067,89,5.5,1.6
,F,Delph,MCI,M,0.31,24,7,3.4,560,80,4.5,0.9
,A,Young,MUN,M,0.29,27,8,3.4,707,88,4.9,0.5
,C,Atsu,NEW,M,0.28,37,11,3.4,913,83,5.0,2.6
,A,Ayew,WHU,M,0.2,34,10,3.4,592,59,6.9,1.2
,G,Xhaka,ARS,M,0.24,40,12,3.3,1047,87,5.4,10.1
,N,Kanté,CHE,M,0.27,30,9,3.3,796,88,4.9,12.0
,T,Bakayoko,CHE,M,0.25,36,11,3.3,852,77,5.1,3.8
~,~,~~~~~~~~,~~~~,~,~~~~,~~,~,3.24,~~~,~~~~~,~~~~~,~
,G,Wijnaldum,LIV,M,0.18,32,10,3.2,847,85,6.7,2.5
,J,Cork,BUR,M,0.24,37,12,3.1,1080,90,4.5,3.5
,T,Cleverley,WAT,M,0.22,37,12,3.1,1053,88,5.0,1.2
,A,Knockaert,BHA,M,0.18,36,12,3.0,817,68,5.7,0.9
,M,Antonio,WHU,M,0.14,27,9,3.0,662,74,7.4,0.3
,N,Matic,MUN,M,0.18,35,12,2.9,1080,90,5.0,13.6
,M,Phillips,WBA,M,0.16,32,11,2.9,621,56,5.6,0.8
,D,Fletcher,STK,M,0.16,34,12,2.8,1080,90,4.9,0.7
,P,Obiang,WHU,M,0.18,22,8,2.8,599,75,4.5,1.3
,D,Pröpper,BHA,M,0.15,34,12,2.8,1080,90,5.4,0.1
,G,Krychowiak,WBA,M,0.16,25,9,2.8,723,80,5.0,0.4
,T,Ince,HUD,M,0.12,32,12,2.7,1080,90,5.7,0.6
,D,Stephens,BHA,M,0.13,31,12,2.6,1080,90,4.5,1.7
,J,Gudmundsson,BUR,M,0.12,29,11,2.6,704,64,5.0,0.1
,S,Defour,BUR,M,0.11,31,12,2.6,1019,85,5.5,0.3
x,R,Loftus-Cheek,CRY,M,0.13,21,8,2.6,630,79,4.5,5.5
,N,Redmond,SOU,M,0.1,31,12,2.6,875,73,6.1,2.5
,T,Carroll,SWA,M,0.13,29,11,2.6,946,86,4.5,6.1
,C,Kouyaté,WHU,M,0.12,26,10,2.6,784,78,5.0,0.5
,M,Merino,NEW,M,0.12,23,9,2.6,598,66,5.0,0.1
,S,March,BHA,M,0.1,30,12,2.5,732,61,5.0,0.4
,G,Barry,WBA,M,0.11,28,11,2.5,952,87,4.5,1.4
,D,Tadic,SOU,M,0.08,30,12,2.5,946,79,6.3,1.9
,H,Arter,BOU,M,0.08,19,8,2.4,640,80,4.9,0.4
,E,Kachunga,HUD,M,0.07,29,12,2.4,877,73,5.9,0.2
,W,Ndidi,LEI,M,0.08,29,12,2.4,1080,90,4.9,0.4
,G,Sigurdsson,EVE,M,0.05,26,11,2.4,849,77,8.0,2.1
,M,Lemina,SOU,M,0.08,17,7,2.4,572,82,5.0,0.2
,E,Can,LIV,M,0.06,23,10,2.3,725,72,4.9,5.2
,E,Dier,TOT,M,0.06,27,12,2.3,976,81,4.9,3.0
,M,Sissoko,TOT,M,0.06,27,12,2.3,595,50,5.4,0.5
,S,Clucas,SWA,M,0.06,21,9,2.3,582,65,4.9,0.0
,J,Ibe,BOU,M,0.04,24,11,2.2,555,50,4.9,0.5
,A,Townsend,CRY,M,0.04,26,12,2.2,1035,86,5.7,0.9
,L,Milivojevic,CRY,M,0.04,24,11,2.2,829,75,4.6,0.4
,J,Allen,STK,M,0.04,24,11,2.2,983,89,5.2,1.4
,Y,Cabaye,CRY,M,0.02,21,10,2.1,797,80,5.4,0.3
,O,Oriol Romeu,SOU,M,0.0,24,12,2.0,1034,86,4.4,2.9
,L,Fer,SWA,M,0.0,22,11,2.0,848,77,5.4,0.3
,J,Livermore,WBA,M,0.0,22,11,2.0,880,80,4.9,0.2
,A,Carrillo,WAT,M,0.0,20,10,2.0,592,59,5.5,0.0
,R,van La Parra,HUD,M,-0.02,23,12,1.9,660,55,4.8,0.1
,M,Albrighton,LEI,M,-0.02,23,12,1.9,761,63,5.5,1.4
,M,Noble,WHU,M,-0.02,15,8,1.9,611,76,5.4,0.2
,I,Hayden,NEW,M,-0.02,23,12,1.9,804,67,4.5,0.3
,J,Shelvey,NEW,M,-0.04,16,9,1.8,630,70,5.3,0.5
,I,Gueye,EVE,M,-0.06,20,12,1.7,1009,84,4.8,0.9
,M,Schneiderlin,EVE,M,-0.1,12,8,1.5,644,80,4.8,0.6
,J,Puncheon,CRY,M,-0.17,11,9,1.2,554,62,4.6,0.5
