W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf,112513
m,T,Alexander-Arnold,LIV ,D,0.76 ,0.76 ,5.9,5.9 ,7.3 ,985 ,5.1  ,22.0,72235 ,6 ,      
 ,J,Foyth           ,TOT ,D,0.74 ,0.74 ,5.7,5.7 ,5.7 ,270 ,5.0  ,0.5 ,1335  ,5 ,      
o,A,Robertson       ,LIV ,D,0.69 ,0.69 ,6.5,6.5 ,5.3 ,1080,6.5  ,33.8,8353  ,0 ,      
 ,B,Mendy           ,MCI ,D,0.68 ,0.68 ,6.3,6.3 ,2.5 ,810 ,6.3  ,10.8,-45710,-7,      
o,M,Alonso          ,CHE ,D,0.66 ,0.66 ,6.7,6.7 ,6.5 ,1170,7.1  ,48.1,-1758 ,0 ,      
 ,M,Keane           ,EVE ,D,0.64 ,0.64 ,5.2,5.2 ,4.5 ,990 ,5.0  ,3.8 ,6584  ,3 ,      
 ,K,Trippier        ,TOT ,D,0.55 ,0.61 ,5.4,5.8 ,1.8 ,908 ,6.2  ,24.1,-49377,-3,      
 ,K,Walker          ,MCI ,D,0.54 ,0.54 ,5.5,5.5 ,4.0 ,990 ,6.5  ,14.2,6114  ,1 ,      
 ,R,Pereira         ,LEI ,D,0.52 ,0.52 ,4.6,4.6 ,4.0 ,963 ,5.0  ,5.8 ,-766  ,0 ,      
 ,J,Holebas         ,WAT ,D,0.5  ,0.5  ,4.4,4.4 ,2.3 ,893 ,4.8  ,12.0,-9784 ,-1,      
 ,J,Gomez           ,LIV ,D,0.43 ,0.49 ,4.2,4.5 ,1.8 ,935 ,5.1  ,4.1 ,-11624,-5,      
 ,J,Jonny           ,WOL ,D,0.4  ,0.49 ,3.8,4.2 ,2.0 ,1008,4.5  ,2.3 ,-6765 ,-5,      
m,A,Laporte         ,MCI ,D,0.48 ,0.48 ,4.9,4.9 ,4.0 ,1170,6.0  ,15.5,23019 ,3 ,      
o,M,Doherty         ,WOL ,D,0.45 ,0.45 ,4.2,4.2 ,1.3 ,1129,4.9  ,17.4,1215  ,0 ,      
 ,A,Rüdiger         ,CHE ,D,0.42 ,0.42 ,4.5,4.5 ,3.3 ,1148,6.0  ,5.1 ,-1781 ,-1,      
 ,F,Kiko Femenía    ,WAT ,D,0.12 ,0.42 ,2.5,3.8 ,4.3 ,594 ,4.3  ,1.8 ,126   ,0 ,      
 ,L,Dunk            ,BHA ,D,0.36 ,0.4  ,3.6,3.8 ,5.8 ,1009,4.5  ,4.3 ,8138  ,3 ,      
 ,V,van Dijk        ,LIV ,D,0.4  ,0.4  ,4.4,4.4 ,4.3 ,1134,6.0  ,17.4,4478  ,0 ,      
 ,L,Digne           ,EVE ,D,0.31 ,0.37 ,3.5,3.8 ,4.0 ,889 ,4.9  ,3.0 ,1911  ,1 ,      
 ,H,Maguire         ,LEI ,D,0.31 ,0.37 ,3.7,4.0 ,0.8 ,926 ,5.4  ,10.6,-8084 ,-1,      
m,S,Duffy           ,BHA ,D,0.36 ,0.36 ,3.7,3.7 ,2.3 ,1170,4.7  ,7.4 ,762   ,0 ,      
 ,D,David Luiz      ,CHE ,D,0.36 ,0.36 ,4.0,4.0 ,4.5 ,1170,5.6  ,6.0 ,1108  ,0 ,      
o,A,Wan-Bissaka     ,CRY ,D,0.36 ,0.36 ,3.5,3.5 ,2.5 ,1064,4.2  ,26.6,8227  ,1 ,      
 ,C,Azpilicueta     ,CHE ,D,0.35 ,0.35 ,4.2,4.2 ,5.0 ,1170,6.3  ,9.8 ,1376  ,0 ,      
 ,S,Coleman         ,EVE ,D,0.35 ,0.35 ,3.8,3.8 ,5.8 ,810 ,5.2  ,1.5 ,1476  ,2 ,      
 ,J,Lascelles       ,NEW ,D,0.23 ,0.34 ,3.1,3.6 ,2.5 ,810 ,4.7  ,3.4 ,-1011 ,-1,      
 ,S,Steve Cook      ,BOU ,D,0.33 ,0.33 ,3.5,3.5 ,2.0 ,1170,4.6  ,8.6 ,-2157 ,0 ,      
 ,S,Bamba           ,CAR ,D,0.33 ,0.33 ,3.5,3.5 ,3.5 ,1080,4.5  ,1.3 ,681   ,1 ,      
 ,W,Boly            ,WOL ,D,0.33 ,0.33 ,3.5,3.5 ,1.5 ,1170,4.6  ,5.2 ,270   ,0 ,      
 ,F,Fernández       ,NEW ,D,0.32 ,0.32 ,3.4,3.4 ,4.0 ,810 ,4.4  ,0.4 ,369   ,2 ,      
 ,P,van Aanholt     ,CRY ,D,0.3  ,0.3  ,3.6,3.6 ,2.5 ,1170,5.4  ,3.7 ,1883  ,1 ,      
 ,C,Schindler       ,HUD ,D,0.3  ,0.3  ,3.3,3.3 ,5.0 ,1150,4.3  ,2.2 ,1004  ,1 ,      
 ,A,Adam Smith      ,BOU ,D,0.24 ,0.29 ,3.1,3.3 ,1.8 ,965 ,4.5  ,0.7 ,-1572 ,-4,      
m,B,Chilwell        ,LEI ,D,0.29 ,0.29 ,3.5,3.5 ,5.5 ,1170,5.1  ,3.4 ,955   ,0 ,      
 ,D,Yedlin          ,NEW ,D,0.27 ,0.27 ,3.2,3.2 ,3.8 ,979 ,4.5  ,1.6 ,639   ,1 ,      
 ,P,Dummett         ,NEW ,D,0.27 ,0.27 ,3.2,3.2 ,3.5 ,900 ,4.4  ,0.2 ,-262  ,-2,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,0.27 ,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,~~~   ,~~,~~~~~~
 ,N,Aké             ,BOU ,D,0.26 ,0.26 ,3.3,3.3 ,2.3 ,1170,5.0  ,4.9 ,-1005 ,0 ,      
 ,T,Alderweireld    ,TOT ,D,0.25 ,0.25 ,3.5,3.5 ,3.0 ,1070,5.9  ,2.9 ,1163  ,1 ,      
 ,H,Bellerín        ,ARS ,D,0.22 ,0.24 ,3.2,3.3 ,1.5 ,1125,5.4  ,10.7,-1288 ,0 ,      
 ,S,Francis         ,BOU ,D,0.09 ,0.23 ,2.4,3.0 ,2.3 ,822 ,4.4  ,0.4 ,21    ,0 ,      
 ,C,Cathcart        ,WAT ,D,0.22 ,0.22 ,3.0,3.0 ,2.8 ,1161,4.5  ,1.0 ,-29   ,0 ,      
 ,C,Löwe            ,HUD ,D,0.16 ,0.2  ,2.7,2.9 ,2.8 ,919 ,4.4  ,0.1 ,-72   ,-1,      
 ,M,Sakho           ,CRY ,D,0.18 ,0.18 ,2.9,2.9 ,2.3 ,1170,4.9  ,1.3 ,-75   ,0 ,      
 ,C,Smalling        ,MUN ,D,0.18 ,0.18 ,3.0,3.0 ,2.5 ,990 ,5.7  ,1.9 ,343   ,0 ,      
 ,C,Cédric          ,SOU ,D,0.18 ,0.18 ,2.8,2.8 ,2.8 ,1135,4.4  ,4.6 ,-86   ,0 ,      
 ,C,Coady           ,WOL ,D,0.18 ,0.18 ,2.8,2.8 ,1.5 ,1170,4.5  ,0.6 ,64    ,0 ,      
 ,J,Tarkowski       ,BUR ,D,0.13 ,0.17 ,2.6,2.8 ,-0.5,926 ,4.8  ,4.5 ,-3499 ,-1,      
 ,R,Bertrand        ,SOU ,D,0.17 ,0.17 ,2.8,2.8 ,1.5 ,1080,4.8  ,3.4 ,-1493 ,-1,      
 ,R,Bennett         ,WOL ,D,0.17 ,0.17 ,2.7,2.7 ,1.3 ,1170,4.2  ,11.7,-324  ,0 ,      
 ,J,Bennett         ,CAR ,D,0.16 ,0.16 ,2.7,2.7 ,0.5 ,810 ,4.5  ,0.6 ,-210  ,-1,      
 ,F,Hadergjonaj     ,HUD ,D,0.11 ,0.16 ,2.5,2.7 ,3.5 ,838 ,4.4  ,0.1 ,19    ,0 ,      
 ,J,Tomkins         ,CRY ,D,0.14 ,0.14 ,2.6,2.6 ,2.0 ,959 ,4.3  ,2.9 ,554   ,0 ,      
 ,M,Zanka           ,HUD ,D,0.14 ,0.14 ,2.6,2.6 ,2.5 ,977 ,4.4  ,3.0 ,-1423 ,-1,      
 ,L,Shaw            ,MUN ,D,0.14 ,0.14 ,2.7,2.7 ,0.8 ,990 ,5.0  ,5.9 ,-3226 ,-1,      
 ,S,Mustafi         ,ARS ,D,0.13 ,0.13 ,2.7,2.7 ,1.8 ,1170,5.4  ,1.3 ,-200  ,0 ,      
 ,B,Mee             ,BUR ,D,0.1  ,0.1  ,2.5,2.5 ,1.5 ,1080,4.8  ,2.3 ,-311  ,0 ,      
 ,P,Zabaleta        ,WHU ,D,0.09 ,0.09 ,2.4,2.4 ,1.0 ,882 ,4.3  ,2.6 ,-200  ,0 ,      
o,F,Balbuena        ,WHU ,D,0.09 ,0.09 ,2.4,2.4 ,3.0 ,1170,4.4  ,0.9 ,882   ,2 ,      
 ,G,Bong            ,BHA ,D,0.07 ,0.07 ,2.3,2.3 ,2.0 ,1054,4.5  ,0.2 ,-63   ,-1,      
 ,T,Kongolo         ,HUD ,D,0.05 ,0.07 ,2.2,2.3 ,3.5 ,818 ,4.3  ,0.1 ,16    ,0 ,      
 ,W,Hoedt           ,SOU ,D,0.05 ,0.05 ,2.2,2.2 ,1.5 ,1170,4.4  ,0.3 ,-81   ,0 ,      
 ,S,Morrison        ,CAR ,D,0.04 ,0.04 ,2.2,2.2 ,1.5 ,1149,4.7  ,0.3 ,2     ,0 ,      
 ,V,Lindelöf        ,MUN ,D,0.02 ,0.04 ,2.1,2.2 ,3.0 ,988 ,4.8  ,1.1 ,-14   ,0 ,      
 ,B,Ecuele Manga    ,CAR ,D,0.02 ,0.02 ,2.1,2.1 ,1.5 ,1170,4.5  ,0.1 ,-16   ,0 ,      
 ,A,Young           ,MUN ,D,0.02 ,0.02 ,2.1,2.1 ,2.3 ,810 ,5.7  ,1.3 ,218   ,0 ,      
 ,C,Taylor          ,BUR ,D,-0.05,0.0  ,1.8,2.0 ,1.8 ,900 ,4.4  ,0.3 ,-61   ,0 ,      
 ,D,Rice            ,WHU ,D,-0.05,0.0  ,1.8,2.0 ,1.3 ,855 ,4.4  ,0.3 ,37    ,0 ,      
 ,M,Lowton          ,BUR ,D,-0.02,-0.02,1.9,1.9 ,1.3 ,900 ,4.7  ,0.3 ,-50   ,0 ,      
 ,I,Diop            ,WHU ,D,-0.07,-0.07,1.7,1.7 ,1.3 ,990 ,4.3  ,0.6 ,-6    ,0 ,      
 ,M,Le Marchand     ,FUL ,D,-0.19,-0.19,1.2,1.2 ,2.0 ,869 ,4.2  ,0.2 ,246   ,2 ,      
 ,D,Odoi            ,FUL ,D,-0.27,-0.27,0.8,0.8 ,1.3 ,945 ,4.4  ,0.1 ,-11   ,0 ,      
