W,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf,112513
o,S,Agüero    ,MCI ,F,0.37,0.37 ,6.3,6.3 ,6.0 ,955 ,11.5 ,53.7,-18340,-1,      
 ,A,Lacazette ,ARS ,F,0.31,0.41 ,5.0,6.0 ,2.5 ,895 ,9.7  ,12.0,-21692,-3,      
o,C,Wilson    ,BOU ,F,0.54,0.54 ,5.7,5.7 ,6.0 ,1147,6.8  ,36.4,-2932 ,0 ,      
m,G,Murray    ,BHA ,F,0.37,0.48 ,4.5,5.2 ,4.8 ,992 ,6.7  ,5.9 ,16143 ,5 ,      
 ,H,Kane      ,TOT ,F,0.26,0.26 ,5.2,5.2 ,5.0 ,1161,12.3 ,22.1,2348  ,0 ,      
 ,J,King      ,BOU ,F,0.48,0.48 ,5.0,5.0 ,1.5 ,860 ,6.3  ,2.2 ,520   ,0 ,      
 ,A,Mitrovic  ,FUL ,F,0.44,0.44 ,4.9,4.9 ,4.3 ,1165,6.6  ,17.2,24219 ,2 ,      
m,M,Arnautovic,WHU ,F,0.41,0.41 ,4.9,4.9 ,4.0 ,899 ,7.1  ,21.1,-13476,-1,      
m,R,Jiménez   ,WOL ,F,0.42,0.42 ,4.5,4.5 ,5.5 ,1069,5.9  ,14.7,12732 ,1 ,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,~~~~~,~~~,4.5 ,~~~~,~~~ ,~~~~~,~   ,~~~   ,~~,~~~~~~
 ,R,Firmino   ,LIV ,F,0.23,0.25 ,4.1,4.3 ,4.5 ,1004,9.2  ,17.2,3958  ,0 ,      
 ,P,Aubameyang,ARS ,F,0.33,0.2  ,5.6,4.2 ,4.5 ,940 ,10.9 ,14.9,-3254 ,0 ,      
 ,R,Lukaku    ,MUN ,F,0.16,0.21 ,3.7,4.2 ,1.8 ,891 ,10.7 ,4.4 ,-1270 ,0 ,      
 ,D,Ings      ,SOU ,F,0.37,0.39 ,4.0,4.1 ,3.5 ,820 ,5.4  ,4.3 ,-4645 ,-2,      
 ,Á,Morata    ,CHE ,F,0.16,0.21 ,3.4,3.8 ,5.0 ,748 ,8.7  ,2.9 ,-1391 ,-1,      
 ,W,Zaha      ,CRY ,F,0.24,0.24 ,3.6,3.6 ,2.3 ,990 ,6.7  ,13.6,4112  ,1 ,      
o,J,Vardy     ,LEI ,F,0.21,0.17 ,3.9,3.5 ,3.3 ,777 ,8.9  ,4.2 ,-1456 ,-1,      
 ,T,Deeney    ,WAT ,F,0.22,0.22 ,3.3,3.3 ,0.8 ,858 ,5.9  ,2.6 ,4     ,0 ,      
 ,A,Pérez     ,NEW ,F,0.11,0.05 ,2.7,2.3 ,3.0 ,869 ,6.1  ,1.2 ,64    ,0 ,      
