W,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,min ,price,%   ,txn  ,gf,112513
 ,J,Pickford  ,EVE ,G,0.55,0.55 ,4.7,4.7 ,6.5 ,1170,4.9  ,15.5,2894 ,0 ,      
m,E,Ederson   ,MCI ,G,0.55,0.55 ,5.2,5.2 ,4.8 ,1170,5.8  ,26.7,380  ,0 ,      
 ,H,Lloris    ,TOT ,G,0.54,0.54 ,4.9,4.9 ,4.0 ,810 ,5.4  ,4.2 ,-34  ,0 ,      
o,J,Hart      ,BUR ,G,0.51,0.49 ,4.3,4.2 ,3.0 ,1080,4.5  ,9.0 ,193  ,0 ,      
 ,W,Hennessey ,CRY ,G,0.49,0.49 ,4.2,4.2 ,3.8 ,1170,4.5  ,6.0 ,3879 ,1 ,      
 ,A,Alisson   ,LIV ,G,0.49,0.49 ,4.8,4.8 ,4.5 ,1170,5.7  ,20.2,-492 ,0 ,      
 ,K,Kepa      ,CHE ,G,0.4 ,0.4  ,4.2,4.2 ,4.3 ,1170,5.5  ,5.4 ,-236 ,0 ,      
 ,M,Dubravka  ,NEW ,G,0.4 ,0.4  ,4.0,4.0 ,4.5 ,1080,5.0  ,0.6 ,15   ,0 ,      
m,M,Ryan      ,BHA ,G,0.39,0.39 ,3.8,3.8 ,3.8 ,1170,4.6  ,6.3 ,-383 ,0 ,      
 ,R,Patrício  ,WOL ,G,0.39,0.39 ,3.8,3.8 ,2.0 ,1170,4.6  ,10.1,-1105,0 ,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,0.39 ,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,~~~  ,~~,~~~~~~
 ,N,Etheridge ,CAR ,G,0.33,0.33 ,3.5,3.5 ,2.0 ,1170,4.5  ,5.8 ,-1279,0 ,      
 ,A,McCarthy  ,SOU ,G,0.33,0.33 ,3.5,3.5 ,3.0 ,1170,4.5  ,3.5 ,-888 ,0 ,      
m,L,Fabianski ,WHU ,G,0.33,0.33 ,3.5,3.5 ,3.0 ,1170,4.5  ,13.7,-215 ,0 ,      
 ,J,Lössl     ,HUD ,G,0.32,0.32 ,3.4,3.4 ,4.0 ,977 ,4.4  ,1.5 ,253  ,0 ,      
 ,A,Begovic   ,BOU ,G,0.29,0.29 ,3.3,3.3 ,3.0 ,1170,4.5  ,4.1 ,-1274,-1,      
 ,K,Schmeichel,LEI ,G,0.24,0.24 ,3.2,3.2 ,4.5 ,1170,5.0  ,5.1 ,-701 ,0 ,      
o,B,Foster    ,WAT ,G,0.24,0.24 ,3.1,3.1 ,4.0 ,1170,4.5  ,4.2 ,-147 ,0 ,      
 ,D,De Gea    ,MUN ,G,0.18,0.18 ,3.0,3.0 ,3.5 ,1170,5.7  ,15.9,-1450,0 ,      
