W,I,web_name       ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf,112513
m,L,Sané           ,MCI ,M,0.47 ,0.89 ,6.3,10.2,8.5 ,592 ,9.2  ,5.2 ,37091 ,12,      
m,R,Sterling       ,MCI ,M,0.58 ,0.58 ,8.6,8.6 ,11.3,931 ,11.3 ,12.0,85103 ,12,      
o,E,Hazard         ,CHE ,M,0.44 ,0.53 ,6.9,7.9 ,2.0 ,872 ,11.2 ,42.4,-45493,-2,      
 ,A,Martial        ,MUN ,M,0.54 ,0.71 ,6.1,7.4 ,7.3 ,708 ,7.6  ,14.5,-1350 ,0 ,      
o,R,Barkley        ,CHE ,M,0.34 ,0.88 ,4.0,7.2 ,5.3 ,491 ,5.9  ,8.2 ,-14181,-3,      
o,R,Richarlison    ,EVE ,M,0.51 ,0.63 ,5.6,6.4 ,6.5 ,925 ,7.0  ,31.0,-5660 ,0 ,      
o,S,Mané           ,LIV ,M,0.44 ,0.44 ,6.4,6.4 ,7.3 ,1060,9.9  ,34.2,-9532 ,0 ,      
 ,M,Salah          ,LIV ,M,0.34 ,0.34 ,6.4,6.4 ,8.3 ,1116,13.0 ,36.1,-2241 ,0 ,      
 ,D,David Silva    ,MCI ,M,0.47 ,0.47 ,6.0,6.0 ,7.0 ,922 ,8.6  ,10.2,24513 ,4 ,      
 ,S,Armstrong      ,SOU ,M,0.14 ,0.78 ,2.7,6.0 ,4.5 ,304 ,5.1  ,0.1 ,1853  ,31,      
 ,G,Sigurdsson     ,EVE ,M,0.47 ,0.53 ,5.5,5.9 ,6.8 ,1092,7.4  ,7.1 ,14740 ,4 ,      
 ,B,Alli           ,TOT ,M,0.29 ,0.43 ,4.6,5.8 ,4.3 ,552 ,8.9  ,2.7 ,4177  ,3 ,      
 ,X,Shaqiri        ,LIV ,M,0.3  ,0.53 ,4.1,5.7 ,4.5 ,378 ,7.0  ,2.9 ,-540  ,0 ,      
o,R,Fraser         ,BOU ,M,0.56 ,0.56 ,5.5,5.5 ,5.3 ,1112,6.2  ,26.1,-4196 ,0 ,      
m,J,Gudmundsson    ,BUR ,M,0.45 ,0.52 ,4.7,5.1 ,2.8 ,888 ,6.0  ,3.1 ,-3595 ,-2,      
 ,J,Milner         ,LIV ,M,0.27 ,0.54 ,3.5,5.0 ,3.3 ,794 ,5.6  ,4.8 ,-4564 ,-2,      
 ,R,Mahrez         ,MCI ,M,0.22 ,0.35 ,3.9,5.0 ,4.3 ,576 ,8.6  ,3.3 ,-9717 ,-5,      
 ,B,Bernardo Silva ,MCI ,M,0.36 ,0.4  ,4.7,5.0 ,3.8 ,960 ,7.5  ,6.3 ,-20847,-6,      
 ,L,Lucas Moura    ,TOT ,M,0.38 ,0.38 ,4.7,4.7 ,3.3 ,1002,7.1  ,12.1,-20413,-3,      
 ,R,Pereyra        ,WAT ,M,0.42 ,0.42 ,4.7,4.7 ,4.3 ,1125,6.4  ,18.2,-10203,-1,      
 ,M,Özil           ,ARS ,M,0.31 ,0.31 ,4.6,4.6 ,1.3 ,820 ,8.3  ,5.2 ,-7425 ,-2,      
 ,J,Maddison       ,LEI ,M,0.28 ,0.37 ,3.9,4.5 ,0.8 ,911 ,6.8  ,5.4 ,-12346,-4,      
 ,C,Paterson       ,CAR ,M,0.33 ,0.44 ,3.7,4.3 ,5.8 ,785 ,5.2  ,1.1 ,3283  ,5 ,      
m,F,Felipe Anderson,WHU ,M,0.32 ,0.32 ,4.2,4.2 ,6.8 ,1057,6.9  ,5.8 ,11825 ,3 ,      
 ,P,Pogba          ,MUN ,M,0.27 ,0.27 ,4.1,4.1 ,3.3 ,1029,7.9  ,11.2,-4537 ,-1,      
 ,T,Walcott        ,EVE ,M,0.3  ,0.3  ,3.9,3.9 ,3.3 ,1051,6.3  ,4.8 ,-1173 ,0 ,      
 ,A,Schürrle       ,FUL ,M,0.29 ,0.32 ,3.7,3.9 ,3.3 ,1016,5.9  ,4.9 ,4220  ,1 ,      
~,~,~~~~~~~~       ,~~~~,~,~~~~ ,~~~~~,~~~,3.82,~~~~,~~~ ,~~~~~,~   ,~~~   ,~~,~~~~~~
 ,D,Brooks         ,BOU ,M,0.35 ,0.35 ,3.8,3.8 ,4.3 ,885 ,5.1  ,2.8 ,1202  ,1 ,      
 ,A,Knockaert      ,BHA ,M,0.24 ,0.33 ,3.3,3.8 ,2.3 ,875 ,5.5  ,1.0 ,752   ,1 ,      
 ,W,Willian        ,CHE ,M,0.26 ,0.22 ,3.9,3.6 ,3.5 ,845 ,7.4  ,6.1 ,-1721 ,0 ,      
 ,R,Sessegnon      ,FUL ,M,0.18 ,0.25 ,3.1,3.5 ,3.8 ,1007,6.0  ,2.5 ,1539  ,1 ,      
 ,F,Fernandinho    ,MCI ,M,0.28 ,0.28 ,3.5,3.5 ,2.3 ,1141,5.4  ,5.5 ,-520  ,0 ,      
 ,G,Wijnaldum      ,LIV ,M,0.22 ,0.25 ,3.2,3.4 ,3.5 ,1082,5.5  ,1.4 ,533   ,1 ,      
 ,E,Capoue         ,WAT ,M,0.27 ,0.27 ,3.4,3.4 ,2.3 ,1080,5.1  ,1.4 ,-274  ,0 ,      
 ,A,Doucouré       ,WAT ,M,0.22 ,0.22 ,3.3,3.3 ,2.3 ,1170,5.9  ,1.5 ,-611  ,-1,      
 ,G,Xhaka          ,ARS ,M,0.17 ,0.23 ,2.9,3.2 ,3.3 ,1104,5.3  ,3.5 ,-474  ,0 ,      
 ,J,Seri           ,FUL ,M,0.21 ,0.23 ,3.1,3.2 ,1.8 ,989 ,5.3  ,2.4 ,-1184 ,-1,      
 ,R,Neves          ,WOL ,M,0.24 ,0.24 ,3.2,3.2 ,3.0 ,1170,5.0  ,17.7,-546  ,0 ,      
 ,J,Moutinho       ,WOL ,M,0.2  ,0.22 ,3.1,3.2 ,1.8 ,1079,5.4  ,3.0 ,-1173 ,-1,      
 ,A,Lennon         ,BUR ,M,0.22 ,0.22 ,3.1,3.1 ,1.3 ,952 ,5.0  ,1.0 ,-349  ,-1,      
 ,R,Kenedy         ,NEW ,M,0.18 ,0.22 ,2.9,3.1 ,3.0 ,848 ,4.9  ,1.6 ,834   ,1 ,      
 ,A,Mooy           ,HUD ,M,0.2  ,0.2  ,3.0,3.0 ,4.8 ,1080,5.1  ,1.4 ,638   ,1 ,      
 ,A,Pritchard      ,HUD ,M,0.13 ,0.21 ,2.6,3.0 ,4.0 ,719 ,4.8  ,0.1 ,109   ,2 ,      
 ,P,Højbjerg       ,SOU ,M,0.22 ,0.22 ,3.0,3.0 ,1.0 ,886 ,4.5  ,4.4 ,-1492 ,-1,      
 ,S,March          ,BHA ,M,0.16 ,0.18 ,2.8,2.9 ,3.5 ,917 ,5.0  ,0.3 ,-48   ,0 ,      
 ,L,Milivojevic    ,CRY ,M,0.15 ,0.15 ,2.9,2.9 ,5.0 ,1170,6.0  ,2.6 ,711   ,0 ,      
 ,V,Camarasa       ,CAR ,M,0.18 ,0.18 ,2.8,2.8 ,1.8 ,1041,4.5  ,1.7 ,1595  ,2 ,      
 ,N,Kanté          ,CHE ,M,0.16 ,0.16 ,2.8,2.8 ,3.0 ,1170,4.9  ,16.1,-895  ,0 ,      
 ,J,Jorginho       ,CHE ,M,0.16 ,0.16 ,2.8,2.8 ,2.0 ,1119,4.9  ,8.8 ,-3709 ,-1,      
 ,E,Dier           ,TOT ,M,0.17 ,0.17 ,2.8,2.8 ,1.0 ,847 ,4.8  ,1.6 ,127   ,0 ,      
 ,W,Hughes         ,WAT ,M,0.14 ,0.16 ,2.7,2.8 ,1.8 ,1009,5.0  ,1.3 ,-586  ,-1,      
 ,A,Townsend       ,CRY ,M,0.11 ,0.11 ,2.6,2.6 ,3.5 ,1133,5.7  ,1.0 ,535   ,1 ,      
 ,J,Hogg           ,HUD ,M,0.14 ,0.14 ,2.6,2.6 ,3.8 ,782 ,4.4  ,0.4 ,900   ,4 ,      
 ,W,Ndidi          ,LEI ,M,0.12 ,0.12 ,2.6,2.6 ,4.0 ,1138,4.9  ,1.1 ,-383  ,-1,      
 ,L,Torreira       ,ARS ,M,0.04 ,0.1  ,2.2,2.5 ,3.0 ,872 ,4.9  ,1.7 ,271   ,0 ,      
 ,P,Billing        ,HUD ,M,0.11 ,0.11 ,2.5,2.5 ,2.3 ,1136,4.5  ,2.2 ,-293  ,0 ,      
 ,N,Mendy          ,LEI ,M,0.11 ,0.11 ,2.5,2.5 ,2.0 ,990 ,4.5  ,1.2 ,49    ,0 ,      
 ,D,Jota           ,WOL ,M,0.0  ,0.08 ,2.0,2.5 ,0.8 ,784 ,5.9  ,0.9 ,-109  ,0 ,      
 ,J,McArthur       ,CRY ,M,0.09 ,0.09 ,2.4,2.4 ,3.0 ,1064,4.7  ,0.8 ,777   ,2 ,      
 ,M,Ritchie        ,NEW ,M,0.07 ,0.07 ,2.4,2.4 ,2.0 ,874 ,5.8  ,0.5 ,-45   ,0 ,      
 ,N,Redmond        ,SOU ,M,0.06 ,0.06 ,2.3,2.3 ,2.3 ,1151,5.2  ,0.3 ,-70   ,0 ,      
 ,M,Diamé          ,NEW ,M,0.04 ,0.04 ,2.2,2.2 ,2.0 ,1054,4.9  ,0.1 ,-13   ,0 ,      
 ,M,Lemina         ,SOU ,M,0.04 ,0.04 ,2.2,2.2 ,2.3 ,1145,4.8  ,0.2 ,-47   ,0 ,      
 ,H,Costa          ,WOL ,M,0.02 ,0.04 ,2.1,2.2 ,2.0 ,942 ,4.9  ,0.5 ,-50   ,0 ,      
 ,J,Lerma          ,BOU ,M,0.16 ,0.02 ,2.7,2.1 ,2.8 ,839 ,4.5  ,0.5 ,61    ,0 ,      
 ,I,Gueye          ,EVE ,M,0.02 ,0.02 ,2.1,2.1 ,2.3 ,1067,4.8  ,0.3 ,71    ,0 ,      
 ,D,Pröpper        ,BHA ,M,0.0  ,0.0  ,2.0,2.0 ,0.5 ,782 ,4.8  ,0.1 ,8     ,0 ,      
 ,J,Cork           ,BUR ,M,0.0  ,0.0  ,2.0,2.0 ,1.3 ,972 ,4.7  ,0.4 ,-11   ,0 ,      
 ,A,Masuaku        ,WHU ,M,-0.02,0.0  ,1.9,2.0 ,0.8 ,765 ,4.4  ,1.7 ,-415  ,0 ,      
 ,D,Stephens       ,BHA ,M,-0.14,-0.02,1.4,1.9 ,0.8 ,773 ,4.4  ,4.2 ,-1487 ,-1,      
 ,H,Arter          ,CAR ,M,-0.08,-0.06,1.6,1.7 ,0.8 ,821 ,4.9  ,0.2 ,-14   ,0 ,      
 ,J,Ralls          ,CAR ,M,-0.06,-0.06,1.7,1.7 ,1.0 ,840 ,4.7  ,0.1 ,-6    ,0 ,      
 ,N,Matic          ,MUN ,M,-0.06,-0.06,1.7,1.7 ,2.0 ,870 ,5.0  ,0.6 ,101   ,0 ,      
