O,I,web_name,team,T,VA/M,pt,g,p/g,min,m/g,price,%,net_trans,1130 23
x,R,Sterling,MCI,M,1.26,87,12,7.3,846,70,8.2,16.2,189774,
x,M,Salah,LIV,M,0.98,108,14,7.7,1041,74,9.8,51.0,139401,
,A,Young,MUN,M,2.8,48,10,4.8,887,89,5.0,2.6,90696,
x,J,Vardy,LEI,F,0.61,67,14,4.8,1232,88,8.6,15.3,82499,
,W,Rooney,EVE,F,0.87,57,12,4.8,907,76,7.2,9.3,65012,
x,Á,Morata,CHE,F,0.57,75,13,5.8,986,76,10.7,32.4,39467,
,K,De Bruyne,MCI,M,0.69,87,14,6.2,1197,86,10.1,21.7,38073,
,S,Kolasinac,ARS,D,1.38,73,13,5.6,1132,87,6.1,14.1,37548,
,S,Mané,LIV,M,0.63,49,9,5.4,600,67,9.4,8.0,28782,
,B,Mee,BUR,D,1.58,55,14,3.9,1260,90,4.7,13.7,28452,
,T,Courtois,CHE,G,1.26,62,14,4.4,1260,90,5.4,13.7,28044,
,A,Christensen,CHE,D,0.7,34,10,3.4,705,70,5.5,1.7,26774,
,A,Moreno,LIV,D,1.55,44,12,3.7,1080,90,4.6,5.2,26470,
,X,Shaqiri,STK,M,1.29,61,13,4.7,1079,83,6.1,7.1,24553,
,O,Niasse,EVE,F,3.6,39,7,5.6,377,54,5.0,5.3,22608,
x,S,Mustafi,ARS,D,2.53,54,8,6.8,720,90,5.4,3.7,21848,
,E,Hazard,CHE,M,0.42,53,11,4.8,640,58,10.7,9.3,21233,
,M,Alonso,CHE,D,0.85,68,14,4.9,1205,86,6.9,15.4,18856,
,A,Ramsey,ARS,M,1.16,73,13,5.6,1016,78,7.1,6.8,18199,
,S,Ward,BUR,D,1.63,65,14,4.6,1250,89,5.1,23.3,17709,
,C,Azpilicueta,CHE,D,1.12,76,13,5.8,1170,90,6.9,22.0,17361,
x,N,Otamendi,MCI,D,1.09,58,13,4.5,1150,88,5.8,17.2,15873,
,N,Monreal,ARS,D,1.32,68,14,4.9,1260,90,5.7,12.4,15098,
x,R,Loftus-Cheek,CRY,M,1.83,31,10,3.1,810,81,4.6,7.3,14930,
,S,Agüero,MCI,F,0.74,77,10,7.7,777,78,11.7,19.4,14146,
,R,Mahrez,LEI,M,0.66,69,14,4.9,1092,78,8.4,4.5,13734,
,M,Sakho,CRY,D,1.36,31,8,3.9,720,90,4.9,0.6,11778,
x,H,Kane,TOT,F,0.48,80,13,6.2,1119,86,12.8,38.2,10277,
x,C,Daniels,BOU,D,1.13,52,14,3.7,1260,90,5.0,13.1,10263,
,M,Özil,ARS,M,0.53,53,11,4.8,830,75,9.3,1.9,10033,
,R,Richarlison,WAT,M,1.27,74,14,5.3,1188,85,6.6,20.3,9470,
,N,Pope,BUR,G,2.91,57,11,5.2,954,87,4.6,4.1,9175,
x,L,Fabianski,SWA,G,2.18,62,14,4.4,1260,90,4.6,8.0,9038,
,J,Gomez,LIV,D,1.82,44,11,4.0,901,82,4.6,4.7,8439,
,A,Doucouré,WAT,M,1.86,65,14,4.6,1260,90,5.4,15.8,8334,
,J,Kenny,EVE,D,0.13,15,7,2.1,554,79,4.3,0.4,8215,
,C,Wood,BUR,F,0.83,40,10,4.0,663,66,6.4,1.4,8191,
,N,Kanté,CHE,M,1.78,40,11,3.6,976,89,4.9,12.1,8138,
,J,Tarkowski,BUR,D,1.27,48,14,3.4,1260,90,4.6,1.8,7827,
,R,Brady,BUR,M,1.27,55,14,3.9,1247,89,5.5,1.7,7653,
,A,Rüdiger,CHE,D,1.09,45,10,4.5,834,83,5.8,1.9,7629,
,F,Kiko Femenía,WAT,D,1.64,49,13,3.8,1118,86,4.6,5.3,7302,
,M,Albrighton,LEI,M,0.6,41,14,2.9,941,67,5.5,1.5,6418,
,A,Mariappa,WAT,D,-0.5,17,10,1.7,731,73,4.1,5.3,6265,
x,K,Naughton,SWA,D,1.45,51,14,3.6,1257,90,4.6,5.4,5603,
,J,Matip,LIV,D,0.85,48,13,3.7,1170,90,5.5,2.8,5306,
,S,Steve Cook,BOU,D,0.71,36,12,3.0,939,78,4.9,1.9,5248,
,W,Hennessey,CRY,G,1.63,30,9,3.3,810,90,4.3,1.0,4914,
,H,Maguire,LEI,D,0.94,51,14,3.6,1260,90,5.2,7.6,4809,
,A,Gray,WAT,F,0.43,42,14,3.0,891,64,6.3,2.4,4745,
,L,Dunk,BHA,D,0.67,36,14,2.6,1260,90,4.4,2.5,4691,
,A,Williams,EVE,D,0.29,27,11,2.5,843,77,5.2,2.1,4376,
,A,Begovic,BOU,G,1.6,51,14,3.6,1260,90,4.5,4.7,4287,
,D,Zappacosta,CHE,D,0.75,30,8,3.8,471,59,5.9,0.4,4267,
,J,Pickford,EVE,G,0.77,42,14,3.0,1260,90,4.8,5.9,3667,
,G,Cahill,CHE,D,0.33,29,10,2.9,764,76,6.2,3.4,3154,
,D,Calvert-Lewin,EVE,F,0.64,38,14,2.7,948,68,5.1,3.3,3125,
,B,Bruno,BHA,D,1.3,43,13,3.3,1096,84,4.5,0.7,3057,
,S,Duffy,BHA,D,1.27,48,14,3.4,1242,89,4.6,2.9,3047,
,M,Ryan,BHA,G,1.9,55,14,3.9,1260,90,4.5,1.0,2513,
,J,King,BOU,F,0.33,36,12,3.0,1063,89,7.0,1.5,2187,
,O,Oriol Romeu,SOU,M,1.0,31,13,2.4,1124,86,4.4,2.6,1907,
,L,Koscielny,ARS,D,0.88,46,11,4.2,984,89,6.0,1.1,1770,
,E,Ederson,MCI,G,0.85,52,14,3.7,1215,87,5.5,5.1,1665,
,M,Suttner,BHA,D,1.63,26,8,3.3,720,90,4.3,0.5,1649,
,S,Mignolet,LIV,G,1.07,46,13,3.5,1170,90,4.9,1.6,1542,
,D,Simpson,LEI,D,0.4,33,14,2.4,1243,89,4.5,3.7,1502,
,W,Morgan,LEI,D,0.2,31,14,2.2,1260,90,4.5,2.7,1480,
,W,Ndidi,LEI,M,0.67,37,14,2.6,1260,90,4.9,0.5,1271,
,G,Sigurdsson,EVE,M,0.22,38,13,2.9,1029,79,8.0,2.1,1205,
,C,Kabasele,WAT,D,0.8,37,13,2.8,1076,83,4.5,0.4,1117,
,K,Schmeichel,LEI,G,1.13,52,14,3.7,1260,90,5.0,4.2,1054,
,K,Gibbs,WBA,D,0.0,22,11,2.0,916,83,5.0,0.4,855,
,N,Aké,BOU,D,0.79,43,14,3.1,1252,89,4.9,4.1,802,
,R,Shawcross,STK,D,0.54,24,9,2.7,810,90,4.8,0.9,782,
,S,Rondón,WBA,F,0.0,26,13,2.0,788,61,6.0,0.9,737,
,J,Gudmundsson,BUR,M,0.8,36,13,2.8,884,68,5.0,0.2,643,
,C,Clark,NEW,D,1.5,39,11,3.5,935,85,4.5,2.1,630,
