W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn    ,gf ,120410
m,P,Aubameyang      ,ARS ,F,0.41 ,0.22 ,6.5,4.4 ,8.7 ,82 ,11.1 ,23.0,440066 ,32 ,      
o,F,Felipe Anderson ,WHU ,M,0.37 ,0.31 ,4.6,4.2 ,7.0 ,91 ,7.1  ,11.1,242080 ,37 ,      
m,H,Kane            ,TOT ,F,0.26 ,0.26 ,5.2,5.2 ,5.7 ,99 ,12.4 ,26.3,231044 ,15 ,      
o,R,Sterling        ,MCI ,M,0.58 ,0.57 ,8.7,8.6 ,9.0 ,81 ,11.5 ,20.3,207545 ,17 ,      
m,T,Alexander-Arnold,LIV ,D,0.74 ,0.74 ,5.9,5.9 ,10.3,85 ,5.3  ,27.6,159184 ,10 ,      
o,C,Wilson          ,BOU ,F,0.54 ,0.54 ,5.7,5.7 ,3.3 ,98 ,6.9  ,37.6,138754 ,6  ,      
m,L,Sané            ,MCI ,M,0.45 ,0.87 ,6.2,10.2,8.3 ,54 ,9.4  ,10.0,126849 ,21 ,      
o,M,Arnautovic      ,WHU ,F,0.4  ,0.4  ,4.9,4.9 ,3.0 ,77 ,7.2  ,23.0,96861  ,7  ,      
 ,G,Sigurdsson      ,EVE ,M,0.44 ,0.52 ,5.3,5.9 ,5.3 ,94 ,7.5  ,8.6 ,61013  ,12 ,      
 ,B,Bernardo Silva  ,MCI ,M,0.39 ,0.4  ,4.9,5.0 ,6.0 ,83 ,7.5  ,6.5 ,56473  ,15 ,      
o,A,Wan-Bissaka     ,CRY ,D,0.4  ,0.36 ,3.7,3.5 ,3.8 ,92 ,4.2  ,28.3,53693  ,3  ,      
 ,A,Townsend        ,CRY ,M,0.25 ,0.11 ,3.4,2.6 ,6.5 ,97 ,5.7  ,2.0 ,51625  ,44 ,      
 ,V,van Dijk        ,LIV ,D,0.48 ,0.4  ,4.9,4.4 ,8.3 ,97 ,6.0  ,18.5,50584  ,5  ,      
o,R,Fraser          ,BOU ,M,0.53 ,0.56 ,5.3,5.5 ,3.3 ,94 ,6.2  ,26.3,50195  ,3  ,      
o,R,Richarlison     ,EVE ,M,0.47 ,0.63 ,5.3,6.4 ,2.7 ,81 ,7.0  ,31.0,50035  ,3  ,      
o,H,Son             ,TOT ,M,0.14 ,0.27 ,3.2,4.2 ,4.7 ,38 ,8.3  ,2.6 ,47007  ,31 ,      
 ,S,March           ,BHA ,M,0.28 ,0.18 ,3.4,2.9 ,5.3 ,80 ,5.0  ,1.1 ,45089  ,69 ,      
 ,J,Chicharito      ,WHU ,F,0.19 ,0.24 ,3.2,3.5 ,5.0 ,34 ,6.2  ,1.8 ,41979  ,39 ,      
 ,P,Pedro           ,CHE ,M,0.43 ,0.76 ,4.7,6.8 ,6.3 ,50 ,6.3  ,4.7 ,37578  ,14 ,      
 ,R,Pereira         ,LEI ,D,0.59 ,0.51 ,5.0,4.6 ,6.7 ,84 ,5.1  ,6.6 ,36960  ,9  ,      
 ,C,Eriksen         ,TOT ,M,0.16 ,0.25 ,3.5,4.3 ,5.3 ,60 ,9.2  ,5.0 ,36060  ,12 ,      
 ,I,Gündogan        ,MCI ,M,0.59 ,0.7  ,5.2,5.8 ,6.3 ,42 ,5.4  ,2.3 ,35296  ,26 ,      
o,L,Fabianski       ,WHU ,G,0.4  ,0.33 ,3.8,3.5 ,4.3 ,100,4.5  ,14.3,34010  ,4  ,      
 ,L,Torreira        ,ARS ,M,0.08 ,0.1  ,2.4,2.5 ,3.3 ,76 ,4.9  ,2.3 ,34009  ,25 ,      
 ,S,Duffy           ,BHA ,D,0.45 ,0.36 ,4.1,3.7 ,4.0 ,100,4.7  ,8.0 ,28613  ,6  ,      
 ,A,Mitrovic        ,FUL ,F,0.41 ,0.44 ,4.7,4.9 ,4.5 ,100,6.6  ,18.3,27108  ,3  ,      
o,M,Keane           ,EVE ,D,0.58 ,0.64 ,4.9,5.2 ,5.7 ,86 ,5.0  ,4.5 ,26943  ,10 ,      
 ,J,McArthur        ,CRY ,M,0.19 ,0.09 ,2.9,2.4 ,5.0 ,91 ,4.7  ,1.3 ,25327  ,33 ,      
 ,J,Maddison        ,LEI ,M,0.32 ,0.37 ,4.2,4.5 ,2.0 ,79 ,6.8  ,5.6 ,22898  ,7  ,      
m,A,Laporte         ,MCI ,D,0.44 ,0.48 ,4.7,4.9 ,3.3 ,100,6.1  ,16.7,20459  ,2  ,      
 ,A,Alisson         ,LIV ,G,0.54 ,0.49 ,5.1,4.8 ,7.3 ,100,5.7  ,20.6,19215  ,2  ,      
 ,D,Brooks          ,BOU ,M,0.29 ,0.35 ,3.5,3.8 ,2.7 ,72 ,5.2  ,3.3 ,18162  ,9  ,      
m,S,Armstrong       ,SOU ,M,0.2  ,0.78 ,3.0,6.0 ,7.7 ,31 ,5.1  ,0.5 ,17759  ,60 ,      
 ,L,Digne           ,EVE ,D,0.29 ,0.37 ,3.4,3.8 ,5.0 ,78 ,4.9  ,3.3 ,17581  ,9  ,      
o,W,Hennessey       ,CRY ,G,0.53 ,0.49 ,4.4,4.2 ,5.0 ,100,4.5  ,6.7 ,16916  ,4  ,      
m,B,Alli            ,TOT ,M,0.25 ,0.43 ,4.2,5.8 ,5.7 ,50 ,8.9  ,3.3 ,16355  ,8  ,      
 ,J,King            ,BOU ,F,0.44 ,0.49 ,4.8,5.1 ,3.0 ,75 ,6.3  ,2.6 ,15091  ,10 ,      
